chapter,wak,cut_shape,current,opt_333,opt_423,opt_324,verdict,note
phraAphai_28.txt,แล้วสั่งให้โหรชำระดูพระเคราะห์,"1st clean, 2nd mid","[3, 3, 3]",แล้วสั่งให้ | โหรชำระ | ดูพระเคราะห์,แล้วสั่งให้โหร | ชำระ | ดูพระเคราะห์,แล้วสั่งให้ | โหรชำ | ระดูพระเคราะห์,,
phraAphai_115.txt,ผู้วิเศษเอามาให้ลาภใหญ่หลวง,"1st clean, 2nd mid","[3, 3, 3]",ผู้วิเศษ | เอามาให้ | ลาภใหญ่หลวง,ผู้วิเศษเอา | มาให้ | ลาภใหญ่หลวง,ผู้วิเศษ | เอามา | ให้ลาภใหญ่หลวง,,
phraAphai_108.txt,มาลาขนการะเวกลงเลขยันต์,"1st clean, 2nd mid","[3, 3, 3]",มาลาขน | การะเวก | ลงเลขยันต์,มาลาขนกา | ระเวก | ลงเลขยันต์,มาลาขน | การะ | เวกลงเลขยันต์,,
phraAphai_15.txt,ให้หวิวหวิวหวาดไหวฤทัยถวิล,"1st clean, 2nd mid","[3, 3, 3]",ให้หวิวหวิว | หวาดไหวฤทัย | ถวิล,ให้หวิวหวิวหวาด | ไหวฤทัย | ถวิล,ให้หวิวหวิว | หวาดไหว | ฤทัยถวิล,,
phraAphai_125.txt,พระตรัสพลางทางชักอัศวราช,"1st clean, 2nd mid","[3, 3, 3]",พระตรัสพลาง | ทางชักอัศว | ราช,พระตรัสพลางทาง | ชักอัศว | ราช,พระตรัสพลาง | ทางชัก | อัศวราช,,
phraAphai_112.txt,ให้สมแค้นที่มึงทำให้ช้ำมัว,"1st clean, 2nd mid","[3, 3, 3]",ให้สมแค้น | ที่มึงทำ | ให้ช้ำมัว,ให้สมแค้นที่ | มึงทำ | ให้ช้ำมัว,ให้สมแค้น | ที่มึง | ทำให้ช้ำมัว,,
phraAphai_107.txt,อยู่สักปีหนึ่งก็เห็นจะเป็นการ,"1st clean, 2nd mid","[3, 3, 3]",อยู่สักปี | หนึ่งก็เห็น | จะเป็นการ,อยู่สักปีหนึ่ง | ก็เห็น | จะเป็นการ,อยู่สักปี | หนึ่งก็ | เห็นจะเป็นการ,,
phraAphai_23.txt,ฝ่ายพระองค์ทรงโฉมประโลมสวาท,"1st clean, 2nd mid","[3, 3, 3]",ฝ่ายพระองค์ | ทรงโฉมประ | โลมสวาท,ฝ่ายพระองค์ทรง | โฉมประ | โลมสวาท,ฝ่ายพระองค์ | ทรงโฉม | ประโลมสวาท,,
phraAphai_32.txt,อย่าให้เขาเอาไปทำให้ซ้ำร้าย,"1st clean, 2nd mid","[3, 3, 3]",อย่าให้เขา | เอาไปทำ | ให้ซ้ำร้าย,อย่าให้เขาเอา | ไปทำ | ให้ซ้ำร้าย,อย่าให้เขา | เอาไป | ทำให้ซ้ำร้าย,,
phraAphai_29.txt,เป็นกองหลังตั้งตามพยุหทัพ,"1st clean, 2nd mid","[3, 3, 3]",เป็นกองหลัง | ตั้งตามพยุห | ทัพ,เป็นกองหลังตั้ง | ตามพยุห | ทัพ,เป็นกองหลัง | ตั้งตาม | พยุหทัพ,,
phraAphai_102.txt,พระจะให้มึงไปตกนรกนาน,"1st clean, 2nd mid","[3, 3, 3]",พระจะให้ | มึงไปตก | นรกนาน,พระจะให้มึง | ไปตก | นรกนาน,พระจะให้ | มึงไป | ตกนรกนาน,,
phraAphai_27.txt,เอาใส่หีบจีบจับระดับกระดาษ,"1st clean, 2nd mid","[3, 3, 3]",เอาใส่หีบ | จีบจับระ | ดับกระดาษ,เอาใส่หีบจีบ | จับระ | ดับกระดาษ,เอาใส่หีบ | จีบจับ | ระดับกระดาษ,,
phraAphai_129.txt,แข็งพระทัยกราบก้มประนมสนอง,"1st clean, 2nd mid","[3, 3, 3]",แข็งพระทัย | กราบก้มประ | นมสนอง,แข็งพระทัยกราบ | ก้มประ | นมสนอง,แข็งพระทัย | กราบก้ม | ประนมสนอง,,
phraAphai_30.txt,ยังไม่ตายแต่ว่ายากลำบากครัน,"1st clean, 2nd mid","[3, 3, 3]",ยังไม่ตาย | แต่ว่ายาก | ลำบากครัน,ยังไม่ตายแต่ | ว่ายาก | ลำบากครัน,ยังไม่ตาย | แต่ว่า | ยากลำบากครัน,,
phraAphai_28.txt,แม้นพบพานพี่จะมาหาพระน้อง,"1st clean, 2nd mid","[3, 3, 3]",แม้นพบพาน | พี่จะมา | หาพระน้อง,แม้นพบพานพี่ | จะมา | หาพระน้อง,แม้นพบพาน | พี่จะ | มาหาพระน้อง,,
phraAphai_30.txt,ตะวันบ่ายเห็นจะมาถึงหน้าเมือง,"1st clean, 2nd mid","[3, 3, 3]",ตะวันบ่าย | เห็นจะมา | ถึงหน้าเมือง,ตะวันบ่ายเห็น | จะมา | ถึงหน้าเมือง,ตะวันบ่าย | เห็นจะ | มาถึงหน้าเมือง,,
phraAphai_113.txt,ลุกจากที่ไม่ใคร่ได้ใจระทวย,"1st clean, 2nd mid","[3, 3, 3]",ลุกจากที่ | ไม่ใคร่ได้ | ใจระทวย,ลุกจากที่ไม่ | ใคร่ได้ | ใจระทวย,ลุกจากที่ | ไม่ใคร่ | ได้ใจระทวย,,
phraAphai_29.txt,ขึ้นรอนราญรบรับสลับสลอน,"1st clean, 2nd mid","[3, 3, 3]",ขึ้นรอนราญ | รบรับสลับ | สลอน,ขึ้นรอนราญรบ | รับสลับ | สลอน,ขึ้นรอนราญ | รบรับ | สลับสลอน,,
phraAphai_100.txt,เอาให้ได้ลังกาสุธาทวีป,"1st clean, 2nd mid","[3, 3, 3]",เอาให้ได้ | ลังกาสุ | ธาทวีป,เอาให้ได้ลัง | กาสุ | ธาทวีป,เอาให้ได้ | ลังกา | สุธาทวีป,,
phraAphai_22.txt,หรือดวงจิตจะมาอางขนางหนี,"1st clean, 2nd mid","[3, 3, 3]",หรือดวงจิต | จะมาอาง | ขนางหนี,หรือดวงจิตจะ | มาอาง | ขนางหนี,หรือดวงจิต | จะมา | อางขนางหนี,,
phraAphai_104.txt,เชิญเอาสารไปลังกาสักห้านาย,"1st clean, 2nd mid","[3, 3, 3]",เชิญเอาสาร | ไปลังกา | สักห้านาย,เชิญเอาสารไป | ลังกา | สักห้านาย,เชิญเอาสาร | ไปลัง | กาสักห้านาย,,
phraAphai_104.txt,สำเนียงสัตว์ร้องขานประสานถวาย,"1st clean, 2nd mid","[3, 3, 3]",สำเนียงสัตว์ | ร้องขานประ | สานถวาย,สำเนียงสัตว์ร้อง | ขานประ | สานถวาย,สำเนียงสัตว์ | ร้องขาน | ประสานถวาย,,
phraAphai_102.txt,ให้สาธารณ์มิได้ตั้งอยู่ยั่งยืน,"1st clean, 2nd mid","[3, 3, 3]",ให้สาธารณ์ | มิได้ตั้ง | อยู่ยั่งยืน,ให้สาธารณ์มิ | ได้ตั้ง | อยู่ยั่งยืน,ให้สาธารณ์ | มิได้ | ตั้งอยู่ยั่งยืน,,
phraAphai_120.txt,พระขึ้นนั่งหลังพระยาม้ามังกร,"1st clean, 2nd mid","[3, 3, 3]",พระขึ้นนั่ง | หลังพระยา | ม้ามังกร,พระขึ้นนั่งหลัง | พระยา | ม้ามังกร,พระขึ้นนั่ง | หลังพระ | ยาม้ามังกร,,
phraAphai_27.txt,แล้วทรงเสื้อสวมปิดสนิทถนอม,"1st clean, 2nd mid","[3, 3, 3]",แล้วทรงเสื้อ | สวมปิดสนิท | ถนอม,แล้วทรงเสื้อสวม | ปิดสนิท | ถนอม,แล้วทรงเสื้อ | สวมปิด | สนิทถนอม,,
phraAphai_101.txt,ดาบสินีจะใคร่ตีฝีปากตอบ,"1st clean, 2nd mid","[3, 3, 3]",ดาบสินี | จะใคร่ตี | ฝีปากตอบ,ดาบสินีจะ | ใคร่ตี | ฝีปากตอบ,ดาบสินี | จะใคร่ | ตีฝีปากตอบ,,
phraAphai_17.txt,น้อมประณตนั่งฟังรับสั่งสลอน,"1st clean, 2nd mid","[3, 3, 3]",น้อมประณต | นั่งฟังรับ | สั่งสลอน,น้อมประณตนั่ง | ฟังรับ | สั่งสลอน,น้อมประณต | นั่งฟัง | รับสั่งสลอน,,
phraAphai_127.txt,เธอตรึกตราที่จะบวงสรวงนคร,"1st clean, 2nd mid","[3, 3, 3]",เธอตรึกตรา | ที่จะบวง | สรวงนคร,เธอตรึกตราที่ | จะบวง | สรวงนคร,เธอตรึกตรา | ที่จะ | บวงสรวงนคร,,
phraAphai_14.txt,จะจำตายตกนรกอเวจี,"1st clean, 2nd mid","[3, 2, 4]",จะจำตาย | ตกนรก | อเวจี,จะจำตายตก | นรก | อเวจี,จะจำตาย | ตกนรก | อเวจี,,
phraAphai_24.txt,ดูดังเลือดขึ้นหน้าเกศาสยอง,"1st mid, 2nd mid","[3, 3, 3]",ดูดังเลือด | ขึ้นหน้าเกศา | สยอง,ดูดังเลือดขึ้น | หน้าเกศา | สยอง,ดูดังเลือด | ขึ้นหน้า | เกศาสยอง,,
phraAphai_121.txt,พระบิตุรงค์องค์ชนนีนาฏ,"1st mid, 2nd mid","[3, 3, 3]",พระบิตุ | รงค์องค์ชนนี | นาฏ,พระบิตุรงค์ | องค์ชนนี | นาฏ,พระบิตุ | รงค์องค์ | ชนนีนาฏ,,
phraAphai_22.txt,จะขาดใจเสียด้วยคิดถึงบิดา,"1st mid, 2nd mid","[3, 3, 3]",จะขาดใจ | เสียด้วยคิด | ถึงบิดา,จะขาดใจเสีย | ด้วยคิด | ถึงบิดา,จะขาดใจ | เสียด้วย | คิดถึงบิดา,,
phraAphai_126.txt,พระยุรยาตรตรงมายังหน้าฉาน,"1st mid, 2nd mid","[3, 3, 3]",พระยุรยาตร | ตรงมา | ยังหน้าฉาน,พระยุรยาตร | ตรงมา | ยังหน้าฉาน,พระยุรยาตร | ตรง | มายังหน้าฉาน,,
phraAphai_28.txt,พระมารดรวอนว่าด้วยอาลัย,"1st mid, 2nd mid","[3, 3, 3]",พระมารดร | วอนว่า | ด้วยอาลัย,พระมารดร | วอนว่า | ด้วยอาลัย,พระมารดร | วอน | ว่าด้วยอาลัย,,
phraAphai_127.txt,ให้สองนัดดาสมอารมณ์ถวิล,"1st mid, 2nd mid","[3, 3, 3]",ให้สองนัด | ดาสมอา | รมณ์ถวิล,ให้สองนัดดา | สมอา | รมณ์ถวิล,ให้สองนัด | ดาสม | อารมณ์ถวิล,,
phraAphai_18.txt,พระชนนีชี้ชวนชมดารา,"1st mid, 2nd mid","[3, 3, 3]",พระชนนี | ชี้ชวน | ชมดารา,พระชนนี | ชี้ชวน | ชมดารา,พระชนนี | ชี้ | ชวนชมดารา,,
phraAphai_1.txt,ซึ่งรู้สาตราเวทวิเศษขยัน,"1st mid, 2nd mid","[3, 3, 3]",ซึ่งรู้สา | ตราเวทวิ | เศษขยัน,ซึ่งรู้สาตรา | เวทวิ | เศษขยัน,ซึ่งรู้สา | ตราเวท | วิเศษขยัน,,
phraAphai_109.txt,ให้พวกที่จะไประไวระวัง,"1st mid, 2nd mid","[3, 3, 3]",ให้พวกที่ | จะไประ | ไวระวัง,ให้พวกที่จะ | ไประ | ไวระวัง,ให้พวกที่ | จะไป | ระไวระวัง,,
phraAphai_16.txt,ถือเป็นที่บูชารักษาสงวน,"1st mid, 2nd mid","[3, 3, 3]",ถือเป็นที่ | บูชารัก | ษาสงวน,ถือเป็นที่บู | ชารัก | ษาสงวน,ถือเป็นที่ | บูชา | รักษาสงวน,,
phraAphai_127.txt,พอกันข้าศึกไประไวระวัง,"1st mid, 2nd mid","[3, 3, 3]",พอกันข้า | ศึกไประ | ไวระวัง,พอกันข้าศึก | ไประ | ไวระวัง,พอกันข้า | ศึกไป | ระไวระวัง,,
phraAphai_132.txt,สั่งให้จัดแจงตั้งบัลลังก์สนาน,"1st mid, 2nd mid","[3, 3, 3]",สั่งให้จัด | แจงตั้งบัล | ลังก์สนาน,สั่งให้จัดแจง | ตั้งบัล | ลังก์สนาน,สั่งให้จัด | แจงตั้ง | บัลลังก์สนาน,,
phraAphai_24.txt,นิ่งสังเกตว่าสีกามาแต่ไหน,"1st mid, 2nd mid","[3, 3, 3]",นิ่งสังเกต | ว่าสีกา | มาแต่ไหน,นิ่งสังเกตว่า | สีกา | มาแต่ไหน,นิ่งสังเกต | ว่าสี | กามาแต่ไหน,,
phraAphai_27.txt,ไหนจะคิดถึงสมบัติพัสถาน,"1st mid, 2nd mid","[3, 2, 4]",ไหนจะคิด | ถึงสมบัติ | พัสถาน,ไหนจะคิดถึง | สมบัติ | พัสถาน,ไหนจะคิด | ถึงสม | บัติพัสถาน,,
phraAphai_127.txt,ให้เป็นที่รับรองประคองสงวน,"1st mid, 2nd mid","[3, 3, 3]",ให้เป็นที่ | รับรองประ | คองสงวน,ให้เป็นที่รับ | รองประ | คองสงวน,ให้เป็นที่ | รับรอง | ประคองสงวน,,
phraAphai_127.txt,ให้สองนัดดาบำรุงกรุงสยาม,"1st mid, 2nd clean","[3, 3, 3]",ให้สองนัด | ดาบำรุง | กรุงสยาม,ให้สองนัดดา | บำรุง | กรุงสยาม,ให้สองนัด | ดาบำ | รุงกรุงสยาม,,
phraAphai_121.txt,ว่างามราวกะอนงค์องค์อัปสร,"1st mid, 2nd clean","[3, 3, 3]",ว่างามราว | กะอนงค์ | องค์อัปสร,ว่างามราวกะ | อนงค์ | องค์อัปสร,ว่างามราว | กะอนงค์ | องค์อัปสร,,
phraAphai_28.txt,ทั้งหน่อกษัตริย์หัสไชยใจสบาย,"1st mid, 2nd clean","[3, 3, 3]",ทั้งหน่อกษัตริย์ | หัสไชย | ใจสบาย,ทั้งหน่อกษัตริย์ | หัสไชย | ใจสบาย,ทั้งหน่อกษัตริย์ | หัส | ไชยใจสบาย,,
phraAphai_126.txt,พอสุริยงลงลับพยับฟ้า,"1st mid, 2nd clean","[3, 3, 3]",พอสุริ | ยงลงลับ | พยับฟ้า,พอสุริยง | ลงลับ | พยับฟ้า,พอสุริ | ยงลง | ลับพยับฟ้า,,
phraAphai_101.txt,ท่านเทศนาชี้แจงแห่งบาลี,"1st mid, 2nd clean","[3, 3, 3]",ท่านเทศนา | ชี้แจง | แห่งบาลี,ท่านเทศนา | ชี้แจง | แห่งบาลี,ท่านเทศนา | ชี้ | แจงแห่งบาลี,,
phraAphai_105.txt,ขึ้นอัสดรเหาะไปในเวหา,"1st mid, 2nd clean","[3, 3, 3]",ขึ้นอัสดร | เหาะไป | ในเวหา,ขึ้นอัสดร | เหาะไป | ในเวหา,ขึ้นอัสดร | เหาะ | ไปในเวหา,,
phraAphai_32.txt,ฝ่ายสินสมุทรกับสามเจ้าพราหมณ์พร้อม,"1st mid, 2nd clean","[3, 3, 3]",ฝ่ายสินสมุทร | กับสาม | เจ้าพราหมณ์พร้อม,ฝ่ายสินสมุทร | กับสาม | เจ้าพราหมณ์พร้อม,ฝ่ายสินสมุทร | กับ | สามเจ้าพราหมณ์พร้อม,,
phraAphai_109.txt,ถึงจะยอมให้มันใช้เห็นไม่ฟัง,"1st mid, 2nd clean","[3, 3, 3]",ถึงจะยอม | ให้มันใช้ | เห็นไม่ฟัง,ถึงจะยอมให้ | มันใช้ | เห็นไม่ฟัง,ถึงจะยอม | ให้มัน | ใช้เห็นไม่ฟัง,,
phraAphai_14.txt,จะคอยเดินสารสำเภาชาวบุรี,"1st mid, 2nd clean","[3, 3, 3]",จะคอยเดิน | สารสำเภา | ชาวบุรี,จะคอยเดินสาร | สำเภา | ชาวบุรี,จะคอยเดิน | สารสำ | เภาชาวบุรี,,
phraAphai_109.txt,ให้แสนโทมนัสใจไม่สบาย,"1st mid, 2nd clean","[3, 3, 3]",ให้แสนโท | มนัสใจ | ไม่สบาย,ให้แสนโทมนัส | ใจ | ไม่สบาย,ให้แสนโท | มนัส | ใจไม่สบาย,,
phraAphai_126.txt,จัตุรงคเสนาพลาพล,"1st mid, 2nd clean","[3, 3, 3]",จัตุรงค | เสนา | พลาพล,จัตุรงค | เสนา | พลาพล,จัตุรงค | เส | นาพลาพล,,
phraAphai_132.txt,สั่งให้ถอนสมอเลื่อนเคลื่อนเภตรา,"1st mid, 2nd clean","[3, 3, 3]",สั่งให้ถอน | สมอเลื่อน | เคลื่อนเภตรา,สั่งให้ถอนสมอ | เลื่อน | เคลื่อนเภตรา,สั่งให้ถอน | สมอ | เลื่อนเคลื่อนเภตรา,,
phraAphai_104.txt,เป็นสิ้นทุกข์สุขเกษมเปรมในจิต,"1st mid, 2nd clean","[3, 3, 3]",เป็นสิ้นทุกข์ | สุขเกษม | เปรมในจิต,เป็นสิ้นทุกข์สุข | เกษม | เปรมในจิต,เป็นสิ้นทุกข์ | สุขเกษม | เปรมในจิต,,
phraAphai_100.txt,ป่างพระศรีสุวรรณวงศ์พงศ์กษัตริย์,"1st mid, 2nd clean","[3, 3, 3]",ป่างพระศรี | สุวรรณวงศ์ | พงศ์กษัตริย์,ป่างพระศรีสุ | วรรณวงศ์ | พงศ์กษัตริย์,ป่างพระศรี | สุวรรณ | วงศ์พงศ์กษัตริย์,,
phraAphai_1.txt,กระบองกระบี่ถี่ถ้วนทุกวิชา,"1st mid, 2nd clean","[3, 3, 3]",กระบองกระ | บี่ถี่ถ้วน | ทุกวิชา,กระบองกระบี่ | ถี่ถ้วน | ทุกวิชา,กระบองกระ | บี่ถี่ | ถ้วนทุกวิชา,,
phraAphai_12.txt,อยากฟังฝีปากเล่นจะเป็นไฉน,"1st mid, 2nd clean","[3, 3, 3]",อยากฟังฝี | ปากเล่นจะ | เป็นไฉน,อยากฟังฝีปาก | เล่นจะ | เป็นไฉน,อยากฟังฝี | ปากเล่น | จะเป็นไฉน,,
phraAphai_119.txt,ข้าพิศดูรูปร่างสำอางพักตร์,"1st mid, 2nd clean","[3, 3, 3]",ข้าพิศดู | รูปร่าง | สำอางพักตร์,ข้าพิศดู | รูปร่าง | สำอางพักตร์,ข้าพิศดู | รูป | ร่างสำอางพักตร์,,
phraAphai_103.txt,ป่างพระศรีสุวรรณวงศ์พงศ์กษัตริย์,"1st mid, 2nd clean","[3, 3, 3]",ป่างพระศรี | สุวรรณวงศ์ | พงศ์กษัตริย์,ป่างพระศรีสุ | วรรณวงศ์ | พงศ์กษัตริย์,ป่างพระศรี | สุวรรณ | วงศ์พงศ์กษัตริย์,,
phraAphai_23.txt,พระชนนีตีอกตกพระทัย,"1st mid, 2nd clean","[3, 3, 3]",พระชนนี | ตีอก | ตกพระทัย,พระชนนี | ตีอก | ตกพระทัย,พระชนนี | ตี | อกตกพระทัย,,
phraAphai_131.txt,ขอเชิญเสด็จเสร็จไปในสันดอน,"1st mid, 2nd clean","[3, 3, 3]",ขอเชิญเสด็จ | เสร็จไป | ในสันดอน,ขอเชิญเสด็จ | เสร็จไป | ในสันดอน,ขอเชิญเสด็จ | เสร็จ | ไปในสันดอน,,
phraAphai_21.txt,แต่เลี้ยวลัดแล่นวนอยู่จนสว่าง,"1st clean, 2nd clean","[3, 3, 3]",แต่เลี้ยวลัด | แล่นวนอยู่ | จนสว่าง,แต่เลี้ยวลัดแล่น | วนอยู่ | จนสว่าง,แต่เลี้ยวลัด | แล่นวน | อยู่จนสว่าง,,
phraAphai_122.txt,ตามเสด็จพระมุนินทร์ปิ่นอภัย,"1st clean, 2nd clean","[3, 3, 3]",ตามเสด็จ | พระมุนินทร์ | ปิ่นอภัย,ตามเสด็จพระ | มุนินทร์ | ปิ่นอภัย,ตามเสด็จ | พระมุ | นินทร์ปิ่นอภัย,,
phraAphai_124.txt,ฝ่ายพระจอมธิบดินทร์นรินทร์รัตน์,"1st clean, 2nd clean","[3, 3, 3]",ฝ่ายพระจอม | ธิบดินทร์ | นรินทร์รัตน์,ฝ่ายพระจอมธิ | บดินทร์ | นรินทร์รัตน์,ฝ่ายพระจอม | ธิบดินทร์ | นรินทร์รัตน์,,
phraAphai_103.txt,สามพระหน่อวรนาถว่าราชการ,"1st clean, 2nd clean","[3, 2, 4]",สามพระหน่อ | วรนาถว่าราชการ | ,สามพระหน่อวร | นาถว่าราชการ | ,สามพระหน่อ | วรนาถ | ว่าราชการ,,
phraAphai_13.txt,รูปไม่ห้ามหามิได้ให้เป็นทาน,"1st clean, 2nd clean","[3, 3, 3]",รูปไม่ห้าม | หามิได้ | ให้เป็นทาน,รูปไม่ห้ามหา | มิได้ | ให้เป็นทาน,รูปไม่ห้าม | หามิ | ได้ให้เป็นทาน,,
phraAphai_14.txt,ส่องสว่างกลางทะเลพระเวหา,"1st clean, 2nd clean","[3, 3, 3]",ส่องสว่าง | กลางทะเล | พระเวหา,ส่องสว่างกลาง | ทะเล | พระเวหา,ส่องสว่าง | กลางทะ | เลพระเวหา,,
phraAphai_112.txt,ข้าทั้งสิ้นขอขึ้นเกาะจะเสาะไป,"1st clean, 2nd clean","[3, 3, 3]",ข้าทั้งสิ้น | ขอขึ้นเกาะ | จะเสาะไป,ข้าทั้งสิ้นขอ | ขึ้นเกาะ | จะเสาะไป,ข้าทั้งสิ้น | ขอขึ้น | เกาะจะเสาะไป,,
phraAphai_26.txt,เวสาลีวาหุโลมโรมวิสัย,"1st clean, 2nd clean","[3, 3, 3]",เวสาลี | วาหุโลม | โรมวิสัย,เวสาลีวา | หุโลม | โรมวิสัย,เวสาลี | วาหุ | โลมโรมวิสัย,,
phraAphai_18.txt,ปรนนิบัติกษัตราเฝ้าอาทร,"1st clean, 2nd clean","[3, 3, 3]",ปรนนิบัติ | กษัตรา | เฝ้าอาทร,ปรนนิบัติกษัต | รา | เฝ้าอาทร,ปรนนิบัติ | กษัต | ราเฝ้าอาทร,,
phraAphai_115.txt,ถึงสิงคุตรกุฎีที่ประทับ,"1st clean, 2nd clean","[3, 3, 3]",ถึงสิงคุต | รกุฎี | ที่ประทับ,ถึงสิงคุตร | กุฎี | ที่ประทับ,ถึงสิงคุต | รกุ | ฎีที่ประทับ,,
phraAphai_12.txt,คาดเข็มขัดประจำยามงามหนักหนา,"1st clean, 2nd clean","[3, 3, 3]",คาดเข็มขัด | ประจำยาม | งามหนักหนา,คาดเข็มขัดประ | จำยาม | งามหนักหนา,คาดเข็มขัด | ประจำ | ยามงามหนักหนา,,
phraAphai_104.txt,นึกในจิตเหมือนแต่ก่อนไม่หย่อนยอม,"1st clean, 2nd clean","[3, 3, 3]",นึกในจิต | เหมือนแต่ก่อน | ไม่หย่อนยอม,นึกในจิตเหมือน | แต่ก่อน | ไม่หย่อนยอม,นึกในจิต | เหมือนแต่ | ก่อนไม่หย่อนยอม,,
phraAphai_119.txt,ตรงจำเพาะรู้กระไรใครจะเหมือน,"1st clean, 2nd clean","[3, 3, 3]",ตรงจำเพาะ | รู้กระไร | ใครจะเหมือน,ตรงจำเพาะรู้ | กระไร | ใครจะเหมือน,ตรงจำเพาะ | รู้กระ | ไรใครจะเหมือน,,
phraAphai_12.txt,จึงมาในทะเลลมยมนา,"1st clean, 2nd clean","[3, 3, 3]",จึงมาใน | ทะเลลม | ยมนา,จึงมาในทะ | เลลม | ยมนา,จึงมาใน | ทะเล | ลมยมนา,,
phraAphai_100.txt,จนรุ่งฉายสายกระสินธุ์ไม่สิ้นเชิง,"1st clean, 2nd clean","[3, 3, 3]",จนรุ่งฉาย | สายกระสินธุ์ | ไม่สิ้นเชิง,จนรุ่งฉายสาย | กระสินธุ์ | ไม่สิ้นเชิง,จนรุ่งฉาย | สายกระ | สินธุ์ไม่สิ้นเชิง,,
phraAphai_123.txt,พวกคนใช้ไปแถลงให้แจ้งการ,"1st clean, 2nd clean","[3, 3, 3]",พวกคนใช้ | ไปแถลง | ให้แจ้งการ,พวกคนใช้ไป | แถลง | ให้แจ้งการ,พวกคนใช้ | ไปแถลง | ให้แจ้งการ,,
phraAphai_24.txt,แต่โปรดเกล้าเล่าแถลงให้แจ้งความ,"1st clean, 2nd clean","[3, 3, 3]",แต่โปรดเกล้า | เล่าแถลง | ให้แจ้งความ,แต่โปรดเกล้าเล่า | แถลง | ให้แจ้งความ,แต่โปรดเกล้า | เล่าแถลง | ให้แจ้งความ,,
phraAphai_33.txt,มันข้ามเขาเข้าไปได้ในปราการ,"1st clean, 2nd clean","[3, 3, 3]",มันข้ามเขา | เข้าไปได้ | ในปราการ,มันข้ามเขาเข้า | ไปได้ | ในปราการ,มันข้ามเขา | เข้าไป | ได้ในปราการ,,
phraAphai_107.txt,ตามรับสั่งพระนรินทร์ปิ่นประชา,"1st clean, 2nd clean","[3, 3, 3]",ตามรับสั่ง | พระนรินทร์ | ปิ่นประชา,ตามรับสั่งพระ | นรินทร์ | ปิ่นประชา,ตามรับสั่ง | พระนรินทร์ | ปิ่นประชา,,
