๏ ฝ่ายฝรั่งลังกาพวกข้าศึก	ล้วนเหิมฮึกห้าวหาญชาญสนาม
ฝรั่งร้ายวายปราณไม่ทานแรง	ลำอื่นแซงซอกซอนเข้ารอนราญ
เจ้าวิลาสฆาตกลองเร่งกองรบ	ให้สมทบซ้ายขวาโยธาหาญ
พอเภตราห้าพันประจัญบาน	จะหักด่านไปให้ได้ดังใจจง ฯ
๏ ฝ่ายทัพท้าวเจ้าประเทศทุกเขตแคว้น	ต่างหลีกแล่นเข้าถึงฝั่งดังประสงค์
เห็นทัพบกยกทหารชาญณรงค์	ทั้งเอกองค์เจ้าเมืองหนุนเนื่องมา
ด้วยจะใคร่ได้ผู้หญิงชิงกันรบ	ไม่สมทบถ้อยทีประสีประสา
เสียงทหารขานโห่เป็นโกลา	เดินโยธาข้ามทุ่งเข้ากรุงไกร ฯ
๏ ฝ่ายพวกพลบนเชิงเทินเนินหอรบ	ล้วนเจนจบจ้องปืนยืนไสว
เห็นกองทัพคับคั่งคอยชั่งใจ	พอจวนใกล้ปล่อยปืนเสียงครื้นครึก
ลูกสายโซ่โยทะกาลงดาดาษ	ดูกลิ้งกลาดกลางทุ่งกรุงผลึก
ปืนป้อมเปรี้ยงเสียงสนั่นลั่นพิลึก	ถูกข้าศึกล้มตายลงหลายพัน
ที่เหลือตายนายต้อนเข้าถอนขวาก	บ้างแล่นลากปืนยิงวิ่งถลัน
ด้วยหลายทัพนับแสนแน่นอนันต์	เข้ากระชั้นเชิงเทินเนินกำแพง
พวกรักษาหน้าที่ไม่หนีหลบ	ยิงปืนรบรำดาบกำซาบแผลง
ถูกไพร่นายวายวางลงกลางแปลง	ที่เหลือแซงซอกซอนเข้ารอนราญ
เมืองมะหุ่งกรุงเตนกุเวนฉวี	สำปะลีวิลยาล้วนกล้าหาญ
ต่างยกอ้อมล้อมรอบขอบปราการ	ทัพละด้านอื้อวิ่งเข้าชิงแดน
ถูกปืนตับยับย่อยผอยผอยล้ม	ยิงระดมดาษดื่นเป็นหมื่นแสน
เสียงข้าศึกฮึกโห่ป้องโล่แพน	ถือหลาวแหลนรบพุ่งชาวกรุงไกร ฯ
๏ ฝ่ายสุวรรณมาลีนารีราช	อยู่ปราสาทเสียงรบพิภพไหว
อุตส่าห์กลั้นกันแสงแข็งพระทัย	ตรงเข้าไปแท่นรัตน์พระภัสดา
บังคมทูลมูลความไปตามเรื่อง	บัดนี้เมืองใหญ่น้อยร้อยภาษา
มาพรั่งพร้อมล้อมรอบขอบพารา	ยังรบรายิงปืนเสียงครื้นเครง
พระอภัยได้ฟังว่าช่างเขา	ใครใช้เจ้ากับสนมมาข่มเหง
จึงพวกพ้องของอนงค์องค์ละเวง	มาครื้นเครงคราวนี้ไม่มีใคร
พระตรัสพลางทางสรวลสำรวลเย้ย	แล้วก็เลยลืมองค์ด้วยหลงใหล
สงสารนางอย่างชีวันจะบรรลัย	สะอื้นไห้ทูลลาพระสามี
น้องจะขอต่อยุทธ์จนสุดฤทธิ์	เอาชีวิตแทนทดบทศรี
ขอพระคุณบุญญาฝ่าธุลี	ให้ไพรีย่อยยับอัปรา
แม้นสิ้นบุญทูลกระหม่อมจอมกษัตริย์	จะสูญขัตติยราชพระศาสนา
ขอม้วยมรณ์ก่อนกษัตริย์ภัสดา	พลางโศกากอดบาทไม่คลาดคลาย
พอเสียงปืนครื้นครั่นสนั่นก้อง	กลับมาห้องมนเทียรวิเชียรฉาย
รีบจัดองค์ทรงแต่งแปลงเป็นชาย	สะพักสายแสงศรเคยรอนราญ
ทั้งสาวใช้ใหญ่น้อยห้าร้อยเศษ	ต่างแปลงเพศโพกศีรษะเหมือนทหาร
ถือเกาทัณฑ์สันทัดหัดชำนาญ	มากราบกรานเตรียมเสร็จเสด็จจร
ออกจากวังดังหนึ่งองค์พระทรงยศ	ขึ้นทรงรถเนาวรัตน์ประภัสสร
ขุนนางแห่แลสล้างกลางนคร	อัสดรเดินรอบขอบกำแพง
เที่ยวตรวจพลบนเชิงเทินเนินหอรบ	จนจวนพลบทินกรก็อ่อนแสง
เห็นทหารด้านเหนือนั้นเหลือแรง	ข้าศึกแทงเจ็บป่วยลงม้วยมรณ์
ให้หยุดทัพขับพหลพลทหาร	ขึ้นรอนราญรบรับสลับสลอน
แล้วโฉมยงลงจากรถบทจร	เที่ยวไล่ต้อนโยธาเข้าราวี
แล้วแลดูผู้คนพลข้าศึก	ล้วนเหี้ยมฮึกหาญรบไม่หลบหนี
บ้างถอนขวากลากล้อเข้าต่อตี	แต่ล้วนมีโซ่สำหรับสับกำแพง
บ้างปีนป่ายบันไดไม้ไผ่พาด	ชาวเมืองฟาดฟันมันกันด้วยแผง
ทั้งแหลนหลาวง้าวทวนเข้าสวนแทง	ต่างต่อแย้งยิงกันประจัญบาน
นางดูศึกฮึกฮักเห็นหนักแน่น	ไม่ทดแทนถึงขนาดจะอาจหาญ
ดำริพลางนางกษัตริย์มาจัดการ	จะต้านทานทัพหลวงทะลวงฟัน
ทั้งพลโล่โตมรศรกำซาบ	ทหารดาบสองเล่มล้วนเข้มขัน
กับทวนทองกองหน้าทั้งห้าพัน	ช้างน้ำมันกล้างานั่นห้าร้อย
เปิดประตูพรูพรั่งออกคั่งคับ	เข้าตีทัพเมืองลยาไม่ล่าถอย
เที่ยวลุยไล่ไพร่นายตายไม่น้อย	ทั้งกองร้อยรุมกันเข้าฟันแทง
โยธาทัพรับรบจนพลบค่ำ	นางก็ซ้ำต้อนทหารชาญกำแหง
เร่งรถทรงตรงออกนอกกำแพง	ทหารแซงซ้ายขวาล้วนนารี
เข้าหักโหมโจมทัพไม่ยับยั้ง	ข้าศึกพังแพ้พ่ายกระจายหนี
พลผลึกฮึกโหมกระโจมตี	ได้ท่วงทีแทงฟันกระชั้นไป
เจ้ามะหุ่งกรุงเตนเผ่นตวาด	ไล่พิฆาตพลขันธ์เสียงหวั่นไหว
จะชิงพลรบพุ่งเอากรุงไกร	พลไพร่โห่ลั่นสนั่นดัง
พอพบกับทัพพระมเหสี	เข้ารุมตีซ้ายขวาทั้งหน้าหลัง
เสียงครึกครื้นปืนตึงปึงปึงปัง	เพียงจะพังแผ่นพิภพด้วยรบกัน
สงสารพระมเหสีอยู่ที่ล้อม	ข้าศึกห้อมหุ้มทัพไว้คับขัน
จะเข้าประตูบูรีก็มิทัน	ต้องแยกกันรบรับทุกทัพชัย
ทั้งช้างม้ากล้าหาญทะยานยุทธ์	อุตลุดไล่กันเสียงหวั่นไหว
จะผินพักตร์หักหาญออกด้านใด	ก็ไม่ได้เป็นเวลาเข้าราตรี
แต่พวกข้าสาพิภักดิ์เพราะรักเจ้า	ทั้งนายบ่าวอุตส่าห์รบไม่หลบหนี
จนดึกดื่นครื้นครั่นประจัญตี	จนซากผีพลตายก่ายอนันต์ ฯ
๏ ฝ่ายทัพเรือเมื่อกุมารออกราญรบ	เลี้ยวตลบเข่นฆ่าให้อาสัญ
ข้าศึกแตกแยกย้ายวายชีวัน	ได้กำปั่นปืนผาสารพัด
มอบให้เหล่าชาวด่านเป็นการหลวง	ไม่แหนหวงห้ามปรามตามถนัด
พอพลบค่ำน้ำขึ้นเป็นคลื่นซัด	ให้แล่นลัดเลียบคุ้งเข้ากรุงไกร
ถึงปากน้ำสำเนียงเสียงสนั่น	ดังฟ้าลั่นโลกาสุธาไหว
ศึกตลบรบพุ่งถึงกรุงไกร	พระตกใจจัดแจงแบ่งโยธา
ให้น้องน้อยคอยรับทัพเรือรบ	ช่วยสมทบกองตระเวนเกณฑ์อาสา
แต่พลโล่โตมรศรศัสตรา	เป็นหมื่นห้าพันยกขึ้นบกไป
รีบเดินทัพขับนิลสินธพ	ด้วยเพลิงคบส่งทางสว่างไสว
เป็นการด่วนจวนรุ่งถึงกรุงไกร	เห็นทัพใหญ่ล้อมรอบขอบกำแพง
แต่พวกพลบนหน้าที่ไม่หนีหลบ	พอสู้รบรับกันด้วยขันแข็ง
แต่ทหารด้านเหนือเห็นเหลือแรง	บนกำแพงพลไพร่มิใคร่มี
จึงรีบยกวกทางมาข้างหลัง	เห็นฝรั่งรบพุ่งชาวกรุงศรี
ให้ลั่นฆ้องร้องป่าวชาวบุรี	พลางโจมตีติดพันไล่ฟันแทง
มหาดเล็กเด็กชาทั้งห้าร้อย	ต่างผลุนพลอยแล่นลั่นเกาทัณฑ์แผลง
ฝรั่งแขกแตกพล่านไม่ทานแรง	ต่างพลัดแพลงผลุนวิ่งทิ้งอาวุธ
ทั้งทัพเงาะเกาะวลำสำปะหลัง	พลอยแตกทั้งสามทัพรับไม่หยุด
พระหน่อไทได้ทีเที่ยวตีรุด	อุตลุดรบพุ่งจนรุ่งราง ฯ
๏ ฝ่ายทัพพระมเหสีพ้นที่ล้อม	รีบยกอ้อมมาถึงเนินเชิงเทินขวาง
เห็นพวกพลคนหลามมาตามทาง	ให้ขุนนางถามดูว่าผู้ใด
ทราบว่าองค์ทรงยศโอรสราช	พระนางนาฏยินดีจะมีไหน
จึงหยุดยั้งสั่งมหาเสนาใน	ไปบอกให้ทูลแถลงแจ้งคดี ฯ
๏ ฝ่ายพระหน่อบพิตรอดิศร	สุดสาครรู้ว่าพระมเหสี
จึงรอรั้งยั้งหยุดพวกโยธี	ด้วยยินดีจะได้เข้าเฝ้าบิดา
ลงจากหลังมังกรสอนทหาร	ให้หมอบกรานบังคมก้มเกศา
ชวนเข้าเฝ้าชาวบุรีแล้วลีลา	ทั้งเสนาน้อยน้อยพลอยไปตาม ฯ
๏ นางกษัตริย์ทัศนาพระหน่อนาถ	ยุรยาตรเยื้องย่างมากลางสนาม
ไม่เพี้ยนผิดบิดาสง่างาม	ทหารตามแต่ล้วนเด็กเล็กทั้งนั้น
ลงจากรถบทจรมาจูงหัตถ์	หน่อกษัตริย์ทรุดคำนับนางรับขวัญ
ประคององค์ตรงขึ้นรถสุวรรณ	ให้นั่งบัลลังก์รัตน์ชัชวาล
แล้วโลมลูบจูบจอมถนอมพักตร์	ยังเล็กนักเล็กหนาน่าสงสาร
มาช่วยแก้แม่จึงได้พ้นภัยพาล	หาไม่มารดาหมายว่าวายชนม์
เพราะทรงฤทธิ์บิตุเรศของลูกรัก	ประชวรหนักสารพัดจะขัดสน
ครั้นไพรีมีมาเข้าตาจน	ต้องคุมพลรบพุ่งกันกรุงไกร
ซึ่งให้พ่อรอรั้งตั้งอยู่ด่าน	คอยภูบาลบิตุรงค์ยังหลงใหล
พระลูกยาอย่าละห้อยน้อยพระทัย	แม่นี้ไม่เกียดกันด้วยฉันทา ฯ
๏ สุดสาครร้อนจิตด้วยบิตุเรศ	น้ำพระเนตรพร่างพรายทั้งซ้ายขวา
ศิโรราบกราบกรานพระมารดา	ซึ่งศึกมาตั้งล้อมป้อมปราการ
จะขอรับดับเข็ญเป็นธุระ	มิให้พระภูวนาถเสียราชฐาน
แต่ลูกรักหนักจิตคิดรำคาญ	ถึงภูบาลบิตุราชไม่คลาดคลาย
ประชวรนั้นฉันใดมิได้เห็น	เสียแรงเป็นหน่อเนื้อในเชื้อสาย
มาถึงวังยังมิได้เข้าใกล้กราย	พลางฟูมฟายชลนาโศกาลัย ฯ
๏ นางกษัตริย์ตรัสปลอบให้ชอบชื่น	เมื่อวานซืนแม่ไม่เห็นเป็นไฉน
เดี๋ยวนี้มาหาแม่แน่ในใจ	คงจะได้รักษาพยาบาล
จงรั้งรอพอสงบที่รบรับ	ให้กองทัพออกไปไกลสถาน
เดี๋ยวนี้เล่าเขาก็ล้อมป้อมปราการ	จะคิดอ่านชิงชัยฉันใดดี ฯ
๏ พระหน่อไทได้สดับอภิวาท	ขอรองบาทบงกชบทศรี
แต่พวกพ้องของข้าจะราวี	ให้ไพรีย่อยยับทุกทัพชัย
เชิญพระองค์จงกลับไปยับยั้ง	อยู่ในวังอย่าได้พรั่นประหวั่นไหว
แล้วกราบกรานมารดาลาครรไล	มาตรวจไพร่พลรบยังครบครัน
ขึ้นทรงนั่งหลังม้าให้คลาเคลื่อน	โห่สะเทื้อนสะท้านทั่วทั้งไอศวรรย์
เห็นไพรีตีเมืองยิ่งเคืองครัน	เร่งกระชั้นพลนิกรเข้ารอนราญ
พวกโยธาการะเวกเอกระ	เคยชนะทัพวิลาสด้วยอาจหาญ
เข้าหักโหมโรมรันประจัญบาน	ใครไม่ทานแทงฟันกระชั้นชิด
ฝรั่งรับสัประยุทธ์อาวุธสั้น	ทั้งแทงฟันก็ไม่ถูกลูกหนิดหนิด
มันปลิ้นปล้อนรอนราญผลาญชีวิต	รอไม่ติดแตกพ่ายกระจายไป ฯ
๏ เจ้ามะหุ่งกรุงเตนกุเวนลวาด	เห็นประหลาดลูกเล็กเด็กที่ไหน
เป็นหลายร้อยพลอยวิ่งมาชิงชัย	จึงขัดใจวิ่งสมทบเข้ารบรับ
พวกโยธีสี่เมืองมาเนืองแน่น	สักสิบแสนห้อมหุ้มรุมกันจับ
พลกุมารต้านตีทั้งสี่ทัพ	ดูกลอกกลับกลางแปลงบ้างแทงฟัน
เด็กน้อยน้อยพลอยรบตลบไล่	ผลาญผู้ใหญ่โยธาให้อาสัญ
ยิ่งฆ่าตายนายต้อนเข้ารอนรัน	โจนประจัญจับกุมตะลุมบอน ฯ
๏ พระหน่อนาถอาจองทรงสินธพ	ควบเข้ารบนายทหารชาญสมร
ไม้เท้าฟาดขาดสะบั้นดังฟันฟอน	ม้ามังกรกัดตายลงก่ายกอง
ใครขวางกีดดีดผางเอาคางโขก	สะบัดโบกหางหันผันผยอง
แต่โยธีสี่เมืองมาเนืองนอง	เข้าแซ่ซ้องสัประยุทธ์ยุทธนา ฯ
๏ ฝ่ายองค์พระมเหสีอยู่ที่ป้อม	เห็นศึกล้อมลูกรักเป็นหนักหนา
ให้อำมาตย์ฆาตฆ้องกลองสัญญา	ยกโยธาออกช่วยรบสมทบทัพ
บ้างรำทวนสวนแทงแผลงกำซาบ	ทั้งดั้งดาบโดดฟาดเสียงฉาดฉับ
ฝรั่งแขกแยกกันประจัญรับ	ตีสำทับรบรุมตะลุมบอน ฯ
๏ ฝ่ายพวกเงาะเกาะวลำสำปะหลัง	ซึ่งแตกพังพ่ายแพ้ไปแต่ก่อน
ต่างมั่วสุมคุมพหลพลนิกร	แล้วยกย้อนทางมาถึงธานี
เห็นชาวเมืองเคืองแค้นแล่นตลบ	เข้ารุมรบทัพพระมเหสี
ทั้งซ้ายขวาหน้าหลังประดังตี	ชาวบุรีแตกพลัดกระจัดกระจาย
แต่ขุนพลมนตรีเสนีใหญ่	ยังคุมไพร่ต่อตีไม่หนีหาย
ข้างฝ่ายหญิงยิงธนูช่วยผู้ชาย	อยู่เรียงรายรอบรถทั้งอดทน
บ้างถูกง้าวหลาวแหลนแสนสาหัส	จนเลือดหยัดหยดชุ่มทุกขุมขน
ไม่ทิ้งเจ้าคราวทัพถึงอับจน	สู้อดทนแทงฟันประจัญบาน
พอทัพท้าวเจ้าวลำถลำไล่	เข้ามาใกล้รถท้าตรงหน้าฉาน
นางโฉมยงก่งศรเข้ารอนราญ	แล้วน้าวผลาญแผลงหมายนายโยธี
พอลั่นลูกถูกท้าวเจ้าวลำ	ไม่ทันซ้ำเสนามันพาหนี
โยธาทัพกลับกลุ้มเข้ารุมตี	ต้องราวีอยู่ในหว่างกลางสงคราม ฯ
๏ ฝ่ายโยธาการะเวกเอกอำมาตย์	กับหน่อนาถชิงชัยในสนาม
เห็นทัพพระมเหสีออกตีตาม	พอทัพสามเมืองพร้อมเข้าล้อมรบ
พระตกใจให้กลับทัพทหาร	หันออกด้านนางมาลีตีตลบ
ทัพมะหุ่งกรุงเตนเกณฑ์สมทบ	เข้ากลุ้มกลบกลาดทางที่กลางแปลง
เสียงทหารต่อทหารทะยานยุทธ์	แกว่งอาวุธหอกดาบวะวาบแสง
บ้างรับรองป้องกันบ้างฟันแทง	บ้างยิงแย้งเยียดยัดสกัดทาง
แต่หน่อนาถอาจองทรงสินธพ	เข้าไล่ขบโขกดีดคนกีดขวาง
ฝรั่งแขกแยกย้ายบ้างวายวาง	พอแหวกทางออกมาได้มันไล่ตาม
แต่อำมาตย์มหาดเล็กเด็กผู้ใหญ่	ออกไม่ได้ด้วยว่าคนนั้นล้นหลาม
กุมารากล้าหาญชาญสงคราม	ใครติดตามตีตายลงก่ายกัน
พอเห็นพระมเหสีเสียทีทัพ	รีบควบขับม้าที่นั่งดังกังหัน
เข้าลุยไล่ไพรีทั้งตีรัน	คอยป้องกันนางพระยาอยู่หน้ารถ
พวกข้าศึกฮึกโหมเข้าโจมจับ	พระรบรับตีแยกแตกไปหมด
ไล่ข้างหน้ามาข้างหลังเหมือนดังมด	ต้องขับรถรับพลางอยู่กลางทัพ ฯ
๏ ฝ่ายพี่น้องสองกุมารอยู่ด่านสมุทร	แต่คอยสุดสาครนอนไม่หลับ
จนรุ่งเช้าเฝ้าชะแง้ยิ่งแลลับ	ไม่เห็นกลับคืนมายิ่งอาวรณ์
จึงจัดพลคนละหมื่นห้าร้อยถ้วน	ถือแต่ล้วนดั้งดาบกำซาบศร
พระพี่น้องสองกษัตริย์ทรงอัสดร	แล้วรีบร้อนยกมายังธานี
เห็นสมทบรบรับกันคับคั่ง	ดูแน่นทั้งท้องทุ่งริมกรุงศรี
ข้างฝรั่งพรั่งพร้อมเข้าล้อมตี	ข้างพระพี่เคว้งขวางอยู่กลางทัพ
ต่างตกใจให้ทหารเข้าราญรบ	ตีสมทบแทงฟันประจัญจับ
ฝรั่งแขกแยกย้ายล้มตายยับ	พอพบทัพที่ขึ้นมาแต่ราตรี
ถามถึงองค์ทรงเดชพระเชษฐา	เขาทูลว่าไปช่วยพระมเหสี
ทั้งพี่น้องร้องเร่งขุนเสนี	ให้โจมตีตัดทางไปกลางพล
เป็นสามทัพคับคั่งทั้งดั้งดาบ	ยิงกำซาบศัสตราดังห่าฝน
พวกไพรีหนีพล่านไม่ทานทน	ต้องย่อย่นแยกย้ายกระจายไป ฯ
๏ เจ้ามะหุ่งกรุงเตนกุเวนลวาด	ต้อนตวาดพลขันธ์เสียงหวั่นไหว
ให้หันกลับรับรบสมทบไว้	แล้วแลไปเห็นพี่น้องสองกุมาร
นึกดูว่าลูกใครที่ไหนเล่า	เล็กสักเท่าตุ๊กตาทำกล้าหาญ
ถ้าแม้ว่าฆ่านายให้วายปราณ	พวกทหารก็จะแยกแตกกระจาย
ปรึกษาพลางต่างองค์ทรงสินธพ	ควบเข้ารบหน่อนาถประมาทหมาย
กุมารีพี่นางขวางน้องชาย	ต่างลั่นสายศรซ้ำด้วยชำนาญ
ถูกพระชงฆ์องค์ท้าวเจ้ามะหุ่ง	ตกม้าผลุงผลุนวิ่งทิ้งทหาร
เจ้ากรุงเตนเผ่นโผนโจนทะยาน	เข้าตีต้านติดพันไม่ทันยิง
นางแทงกักชักกริชโลหิตฉีด	ผวาหวีดเวทนาประสาหญิง
พวกฝรั่งทั้งปวงบ้างช่วงชิง	แบกเจ้าวิ่งเลี้ยวลัดเที่ยวพลัดแพลง
แต่องค์ท้าวเจ้าลวาดประมาทเด็ก	ถือหลาวเหล็กข้างละเล่มด้วยเข้มแข็ง
ขับอาชาถาโถมเข้าโจมแทง	ก็พลาดแพลงพลั้งพลัดตกอัสดร
หน่อกษัตริย์หัสไชยก็ไล่ซ้ำ	โดดลงปล้ำเจ้าลวาดฟาดด้วยศร
ด้วยฤทธิ์แก้วแววตากล้าราญรอน	จับผู้ใดให้อ่อนทั้งอินทรีย์
พอวางมือรื้อแรงตะแคงผลุด	ทะลึ่งหลุดแล่นโลดกระโดดหนี
พระขึ้นม้าพาไพร่เข้าไล่ตี	พวกโยธีแตกตายกระจายไป ฯ
๏ องค์พระสุดสาครเข้ารอนรบ	ตีตลบหลีกออกข้างนอกได้
พามารดาล่าเลี่ยงเข้าเวียงชัย	พอแลไปเห็นพี่น้องสองกุมาร
กวักพระหัตถ์ตรัสเรียกมาริมรถ	ต่างประณตพร้อมพรั่งทั้งทหาร
พระน้องยาว่าฝรั่งมันจังฑาล	ฉันรอนราญรบรุกสนุกใจ ฯ
๏ ฝ่ายโฉมยงองค์มิ่งมเหสี	เมื่อไพรีรุมจับรับไม่ไหว
ถูกเกาทัณฑ์กลั้นแกล้งแข็งพระทัย	เอาสไบพันทับให้ลับตา
ต่างหยุดรถลดองค์ดำรงนั่ง	โลหิตหลั่งไหลซาบอาบอังสา
ให้เสียวซาบอาบจิตด้วยพิษยา	ยังอุตส่าห์สั่งความสามกุมาร
แม่นี้ถูกลูกธนูอยู่ไม่ได้	จะไปใส่ยาแก้แผลสมาน
สักครู่หนึ่งจึงจะมาไม่ช้านาน	พ่อช่วยต้านตั้งมั่นกันพารา
แล้วเอียงไหล่ให้แลดูแผลเจ็บ	ยังเมื่อยเหน็บจนกระทั่งถึงอังสา
สุดสาครถอนสะอื้นกลืนน้ำตา	แล้ววันทาทูลองค์นางนงคราญ
พระมารดาอย่าพะวงทรงวิตก	ลูกจะยกทัพไปไล่สังหาร
มิให้เขาเข้าล้อมป้อมปราการ	เชิญพระมารดาไปอยู่ในวัง
ให้หมอแก้แผลศรถอนยาพิษ	ให้สนิทหายแผลเหมือนแต่หลัง
พอเสียงโห่โยธาประดาดัง	เห็นทัพทั้งเจ็ดเมืองมาเนืองนอง
จึงทูลลาพาพระน้องสองกษัตริย์	มาทรงอัศวราชผาดผยอง
ต่างคุมพลคนละทัพออกรับรอง	ให้ตีฆ้องแข่งหน้าเข้าราวี ฯ
๏ ฝ่ายพวกเงาะเกาะวลำสำปะหลัง	กุเวนทั้งวิลยาชวาฉวี
เป็นเจ็ดทัพคับคั่งประดังตี	พวกโยธีแทงฟันประจัญบาน
บ้างแกว่งง้าวหลาวแหลนโล่แพนโผน	เด็กมันโจนจับศีรษะฉะด้วยขวาน
บ้างตายกลิ้งวิ่งซุกบ้างคลุกคลาน	พลกุมารมีแรงไล่แทงฟัน
สุดสาครกรน้าวไม้ท้าวหวด	ดูเร็วรวดแรงดังว่ากังหัน
พลนิกายนายทัพรับไม่ทัน	บ้างหักลันล้มตายลงก่ายกอง
เจ้าวลำสำปะหลังประดังรับ	พระหวดพับลงกับดินสิ้นทั้งสอง
เจ้าเมืองเงาะกระเดาะปากลากกระบอง	กับพวกพ้องเงาะป่าเข้าราวี
อันองค์พระกนิษฐานุชาเล็ก	กับพวกเด็กกลัวเงาะละเลาะหนี
แต่เชษฐากล้ากลับขับพาชี	เข้าโจมตีเงาะตายกระจายไป
ทัพฉวีวิลยาชวาแขก	ก็พลอยแตกต่อต้านทานไม่ไหว
ต่างวุ่นวิ่งทิ้งอาวุธทุกทัพชัย	กุมารไล่ตีตามทั้งสามทัพ
บ้างโถมทันฟันแทงด้วยแรงเรี่ยว	บ้างลดเลี้ยวไล่ลัดสกัดจับ
พวกไพรีหนีหลบไม่รบรับ	ต่างล่าทัพถอยหลังข้างคงคา
พระหน่อไทไล่รบจนพลบค่ำ	เห็นหมอกคล้ำคลุ้มทะเลพระเวหา
แล้วหยุดทัพยับยั้งสั่งโยธา	ให้ตรวจตราพร้อมทั่วทุกตัวคน
แล้วยับยั้งตั้งรายอยู่ปลายทุ่ง	คอยรบพุ่งปิดทางไว้กลางหน
อันข้าวน้ำลำเลียงเสบียงพล	วิเสทขนเอาไปเลี้ยงแต่เวียงชัย ฯ
๏ ฝ่ายทัพท้าวเจ้าวลาชวาฉวี	พอราตรีตรงมาชลาไหล
ให้ตั้งค่ายรายเรียงเคียงกันไป	คอยรับไพร่พลนิกรให้ผ่อนพัก
ทั้งบกเรือเหลือตายยังหลายแสน	จะแก้แค้นคิดการเข้าหาญหัก
