๏ ฝ่ายพระจอมจักรพงษ์ดำรงราชย์	ตรัสประภาษไปพลันด้วยหรรษา
๏ ท้าวทศวงศ์ทรงฟังว่าครั้งนี้	เห็นจะดีกันหมดโอรสา
จะได้สืบวงศ์กษัตริย์ขัตติยา	พ่อเห็นว่าควรจะต้องไปป้องกัน
ฝ่ายองค์พระอัยกีแกตีอก	ตาอย่างกพูดเพ้อละเมอฝัน
เมื่อครั้งก่อนมันต้อนไปตามกัน	ขังไว้ชั้นเชิงชลาเมืองป่าตาล
นี่หากว่าแม่รำภาวัณฬาราช	มาพิฆาตมันจึงไปไกลสถาน
หาไม่จักตายดิ้นจนสิ้นปราณ	ทั้งลูกหลานมิได้เหลือในเชื้อวงศ์
ตามันโง่เต็มประดาแล้วอย่าพูด	มันจะปูดภายหน้าพ่ออย่าหลง
อันปัญญาตาเฒ่าเหมือนเข้ากรง	แกมันหลงแต่อีสาวเที่ยวเคล้าคลึง
พ่อจะไปแล้วจงจำเอาคำแม่	ไปอยู่แต่ไกลไกลอย่าให้ถึง
สืบเรื่องราวเข้าไปอย่าให้อึง	ได้ทีจึงรบเร้าคิดเอาชัย
แม้นไม่สมปรารถนาแล้วล่ากลับ	มันยากยับช่างหัวมันอย่าหวั่นไหว
ถึงลูกหลานว่านเครือเชื่อมันไย	ไปพอให้ถึงถิ่นกันนินทา
ท้าวทศวงศ์ทรงฟังมเหสี	ว่ายายนี้พูดเพ้อเจ้อนักหนา
ชะนางพวกแม่ทัพไปจับปลา	มาใส่คาย่างแล้วให้แมวกิน
พ่ออย่าเชื่อยายเฒ่าเจ้าโทโส	แกโกโรดีแต่หึงอย่าพึงถวิล
จะเสียชื่อเสียงไปในแผ่นดิน	ให้เขาหมิ่นประมาทเป็นชาติชาย
นางพระยาว่าข้าเกลียดขี้เกียจกล่าว	จะยืดยาวขายหูไม่รู้หาย
พลางอวยพรโพยภัยอย่าใกล้กราย	ดั่งนารายณ์อานุภาพไปปราบมาร
ทั้งสององค์อวยสวัสดิ์พิพัฒน์ผล	กับพวกพลที่จะไปไกลสถาน
อย่าขัดขวางทางจะไปให้สำราญ	ทั้งทหารรี้พลบนเภตรา ฯ
๏ พระรับพรสองพระองค์ดำรงภพ	แล้วนอบนบบังคมก้มเกศา
อภิวาทบาทมูลแล้วทูลลา	กษัตราสององค์อยู่จงดี
ขอฝากองค์นงลักษณ์อัคเรศ	ทั้งแก้วเกศกัลยารำภาสะหรี
กับลูกเต้าเหล่าอาณาประชาชี	พระภูมีโปรดว่าบัญชาการ
แล้วทูลลามาปรางค์สองนางนาฏ	สถิตอาสน์รจนามุกดาหาร
ดำรัสสั่งสองสุดายุพาพาล	แม้นเกิดการเคืองขุ่นถึงวุ่นวาย
พี่จะให้คนถือหนังสือสาร	เยาวมาลย์ให้พี่พราหมณ์สามสหาย
เขายกหนุนตามไปทั้งไพร่นาย	กับโฉมฉายรำภาพงางอน
พระสั่งพลางทางเสด็จเข้าห้องสรง	สำอางองค์เรืองจำรัสประภัสสร
ฝ่ายเสนาข้าเฝ้าเหล่านิกร	บ้างก็ถอนสายสมอขันช่อใบ
เรือที่นั่งบัลลังก์หงส์ปักธงตาด	พวกอำมาตย์นั่งเคียงเรียงไสว
ที่นั่งรองเรือครุฑวุฒิไกร	มีธงชัยปักประจำเป็นสำคัญ
ทั้งเรือแห่เรือทหารชำนาญรบ	เกณฑ์สมทบทุกตำแหน่งล้วนแข็งขัน
มาเตรียมเสร็จดาษดื่นนับหมื่นพัน	คอยทรงธรรม์เจ้าแผ่นดินปิ่นประชา
๏ ฝ่ายพระศรีสุวรรณวงศ์พงศ์กษัตริย์	พระรีบรัดแต่งองค์ทรงภูษา
จับพระแสงเนาวรัตน์อัษฎา	เสร็จออกหน้าพระที่นั่งบัลลังก์ทอง
พระญาติวงศ์องค์มิ่งมเหสี	รำภาสะหรีเกษรามาทั้งสอง
เขยสะใภ้พวกประยูรทูลละออง	มาแซ่ซ้องพร้อมพรักตำหนักแพ
คอยส่งท้าวเจ้าบุรินทร์ปิ่นกษัตริย์	มานั่งอัดเรียงรายชายกระแส
จวนเวลาเป่าประดังทั้งสังข์แตร	กระบวนแห่นำเสด็จจากเขตคัน
ท้าวทศวงศ์ทรงราชยานรัตน์	จอมกษัตริย์ตามเสด็จจากเขตขัณฑ์
พระมาตุรงค์ทรงวอจรจรัล	ตามเขยขวัญเสด็จไปในกระบวน
มาถึงที่พร้อมพรักตำหนักน้ำ	ตำรวจนำไปถึงท่าหน้าฉนวน
กรมแสงถือเสน่าทั้งง้าวทวน	โดยกระบวนยาตราพลากร
ถึงประทับกับเกยเลยลีลาศ	สมเด็จนาฏอัยกีศรีสมร
ลงจากพระที่นั่งอลังกรณ์	บทจรตามกษัตริย์ภัสดา ฯ
๏ ฝ่ายพระศรีสุวรรณวงศ์ดำรงราชย์	ยุรยาตรมาบังคมก้มเกศา
ศิโรราบกราบประนมบังคมลา	พระกฤษณาตรีพลำสามพระองค์
สองกษัตริย์อวยพรถาวรสวัสดิ์	จงพิพัฒน์ไพบูลย์ประยูรหงส์
ปราบศัตรูให้กระจายทำลายลง	ได้เหมือนองค์พระนารายณ์ไวยกูณฐ์
พวกอรินทร์ถิ่นประเทศเขตมิจฉา	ให้อัปราทั่วไปทั้งไอศูรย์
พอได้ฤกษ์โหรประนมบังคมทูล	พวกประยูรพฤฒาเฒ่าคลานเข้าไป
ถวายสังข์ทักขิณามหาผล	พุทธมนต์วารินกระสินธุ์ใส
แล้วเป่าสังข์กึกก้องลั่นฆ้องชัย	บังคมไทเสร็จตรงมาลงเรือ
ให้โห่ครื้นปืนสัญญาโกลาลั่น	ออกกำปั่นคลี่ใบใส่หางเสือ
ได้ลมล่องต้องท้ายพวกนายเรือ	คัดหางเสือออกจากอ่าวเจ้าพระยา ฯ
๏ ตามกันเรื่อยเฉื่อยฉ่ำออกน้ำเขียว	คลื่นเป็นเกลียวชมสัตว์ฝูงมัจฉา
พวกกุเราเหล่ากระโห้แลโลมา	ฝูงพิมพาพากันว่ายในสายชล
พวกฉนากล้วนฉนากไม่จากคู่	เป็นหมู่หมู่ว่ายแซงทุกแห่งหน
ฝูงทุกังมังกงเที่ยววงวน	ในสาชลมากมายมีหลายพรรณ
ฝูงฉลามล้วนฉลามตามเป็นหมู่	ไม่ห่างคู่ว่ายเวียนดูเหียนหัน
ตะเพียนทองล่องน้ำไปตามกัน	ราหูหันหันเหียนเวียนเป็นวง
ฝูงเหราร่ารายขึ้นว่ายกลาด	บ้างดำฟาดกินเหยื่อไม่เหลือหลง
ฝูงปลาวาฬพ่นชลเป็นวนวง	แล้วดำลงฟาดหางกลางสินธู
ฝูงม้าน้ำทำท่าดังม้าเผ่น	ขึ้นโลดเต้นยกหางทั้งกางหู
ฝูงช้างน้ำดำด้นบ้างพ่นฟู	ทั้งเงือกงูลอยล่องท้องทะเล
อีกกริวกราวเต่ากระว่ายคละเคล้า	เป็นเหล่าเหล่าคลื่นป่วนซัดหวนเห
จะพรรณนาว่าไปในทะเล	เหลือคะเนมิใช่น้อยนับร้อยพัน ฯ
๏ พระสุริยงลงลับพยับฟ้า	ดวงดาราจันทร์กระจ่างกลางสวรรค์
พวกต้นหนคนสำหรับทั้งกัปตัน	เอาเข็มนั้นตั้งจำเพาะเกาะลังกา
ไม่ขัดข้องล่องแล่นแสนเป็นสุข	เข้าห้องขลุกกินแต่เหล้าเมานักหนา
ขึ้นสองชั้นตีกรับขับเสภา	พวกกัญชากัดอ้อยอร่อยใจ
แต่องค์พระกฤษณาไม่ผาสุก	ระทมทุกข์เต็มประดาน้ำตาไหล
คิดถึงนุชสุดที่รักให้หนักใจ	ถอนฤทัยหวนคะนึงถึงยุพิน
ตรีพลำก็ยิ่งซ้ำแสนเทวศ	ถึงดวงเนตรอัมพวันกระสันถวิล
ป่านนี้แก้วกัลยาจะราคิน	จะโดยดิ้นหาพี่ทุกวี่วัน
โอ้น้องแก้วแววเนตรของเชษฐา	เมื่อจากมาน้องวิโยคทั้งโศกศัลย์
มิใช่กิจบิตุรงค์พระทรงธรรม์	ไม่จากขวัญนุชเจ้าลำเพาพาล
มิรบพุ่งยุ่งยิ่งจะนิ่งเสีย	อยู่กับเมียเป็นสุขสนุกสนาน
นอนเสียให้สุโขมโหฬาร	ใครจ้างวานก็ไม่ไปให้ไกลรัง
มีเมียสาวมีข้าวกินไม่ดิ้นโลด	อยู่เป็นโสดตามสบายเหมือนใจหวัง
ใครจะว่าเราแกะแทะข้าวตัง	เฉยเสียมั่งช่างใครทำไมเรา
เธอครวญคร่ำร่ำไรไห้สะอื้น	จนดึกดื่นร้อนฤทัยดั่งไฟเผา
แสนวิโยคโศกศัลย์ไม่บรรเทา	แล้วลุกเข้าไปนั่งชิดพระกฤษณา
ถอนใจใหญ่เหหวนรัญจวนจิต	แล้วสะกิดเพลาพลางทางปรึกษา
ว่าน้องนี้ไม่สบายหลายเวลา	ที่โรคาพระจะเห็นเป็นอย่างไร
กฤษณาว่าโรคของพระน้องรัก	พี่ประจักษ์มั่นคงไม่สงสัย
ถึงโรคพี่น้องเล่าก็เข้าใจ	เป็นวิสัยพวกที่มาตำราเดียว
นี่แลน้องตรองไปไม่ตลอด	เหมือนตาบอดมืดแท้จะแลเหลียว
เพราะไม่เห็นถิ่นวิถีเช่นนี้เจียว	ให้เปล่าเปลี่ยวฟั่นเฟือนเหมือนกับเรา
จะผ่อนผันฉันใดเห็นไม่โปรด	จะเกิดโทษวุ่นวายต้องอายเขา
ทนไปเถิดการทัพสำหรับเรา	พี่กับเจ้าไม่พ้นอย่าบ่นเลย
พลางปรึกษามาในลำเรือกำปั่น	จนพระจันทร์ลับฟ้าเจ้าข้าเอ๋ย
ไม่มีสุขทุกข์ในใจไม่เสบย	เรือก็เลยแล่นมาในสาคร ฯ
๏ อโณทัยไขแสงแจ้งกระจ่าง	ส่องสว่างแจ่มจำรัสประภัสสร
โกกิลากากินเที่ยวบินจร	ปักษาร่อนร้องเรียกกันเพรียกรัง
แต่แล่นล่องมาในท้องมหาสมุทร	มิได้หยุดรีบไปดั่งใจหวัง
พอเดือนหนึ่งถึงสิงหลข้ามวนวัง	ไม่รอรั้งทอดท่าหน้าบุรินทร์ ฯ
๏ จะกล่าวฝ่ายนายด่านลังกาเกาะ	ให้เรือเสาะตระเวนไปในกระสินธุ์
คอยระวังศัตรูหมู่ไพริน	ตามแถวถิ่นเกาะแก่งตำแหน่งทาง
พอแลเห็นกำปั่นสุวรรณหงส์	แลดูธงถนัดไม่ขัดขวาง
แวะเข้าเฝ้าเจ้านครเหมือนก่อนปาง	พวกขุนนางรู้จักร้องทักทาย ฯ
๏ ฝ่ายไทท้าวเจ้าบุรีรมจักร	ปราศรัยทักพวกพหลพลทั้งหลาย
ว่าบ้านเมืองค่อยเป็นสุขสนุกสบาย	ทั้งไพร่นายทั่วจังหวัดปัถพี
กองตระเวนได้ฟังรับสั่งถาม	จึงทูลความแล้วประณตบทศรี
ในเขตแคว้นแดนจังหวัดปัถพี	มิได้มีราษฎรจะร้อนรน
อยู่ทำมาหากินในถิ่นฐาน	ค่อยสำราญวัฒนาสถาผล
ทั่วประเทศเขตแคว้นแดนมณฑล	ในสิงหลมั่งคั่งทั้งแผ่นดิน
ครั้นทูลเรื่องเสร็จสรรพกลับมาด่าน	แจ้งอาการกับพระยาท่ากระสินธุ์
ขุนนางรู้รีบไปในบุรินทร์	ทูลพระปิ่นนคเรศนิเวศน์วัง ฯ
๏ ป่างพระสุดสาครบวรนาถ	สั่งอำมาตย์โยธาทั้งหน้าหลัง
รถสุวรรณพรรณรายพระฉายบัง	ทั้งที่นั่งราชยานพุดตานทอง
รีบลงไปคั่งคับรับเสด็จ	กระบวนเสร็จรวมกันถึงพันสอง
พระเสด็จทรงม้าเหลืองผูกเครื่องทอง	ยกเป็นกองนำพลสกลไกร
พอถึงด่านธารท่าชลาสินธุ์	หน่อนรินทร์เจ้าลังกาอัชฌาสัย
เสด็จลงหลังพระยาอาชาไนย	ก็ตรงไปเรือกำปั่นด้วยทันที
ฝ่ายพระจอมอิศยมรมจักร	เห็นหลานรักมาประณตบทศรี
ประภาษถามทั้งจังหวัดปัถพี	อยู่เปรมปรีดิ์ทั้งอาณาประชาชน
เรือลูกค้ามาขายหลายภาษา	ยังไปมาในจังหวัดหรือขัดสน
ทำนาไร่ในประเทศเขตมณฑล	ทั้งฟ้าฝนตกงามหรือทรามไป
ทั้งสามพระนักสิทธ์สถิตสถาน	ยังสำราญหรือว่าเห็นเป็นไฉน
สุดสาครทูลพลันด้วยทันใด	ทั้งพลไพร่ปรีดาสถาวร
พระนักสิทธ์สามองค์ทรงสวัสดิ์	ไม่ข้องขัดภิญโญสโมสร
ทั้งลูกค้ามาทั่วทุกนคร	ไม่เดือดร้อนมั่งคั่งทั้งบุรินทร์ ฯ
๏ ฝ่ายพระศรีสุวรรณวงศ์ดำรงราชย์	บรมนาถถามในพระทัยถวิล
เห็นบริบูรณ์มั่งคั่งทั้งแผ่นดิน	พระทราบสิ้นแล้วดำรัสแก่นัดดา
ว่าบัดนี้มังคลานราราช	กับสังฆราชรบพุ่งยุ่งนักหนา
ใช้พวกทูตให้มาง้อขอขมา	บอกให้อากับเจ้าด้วยไปช่วยกัน
กับสินสมุทรวุฒิไกรให้ไปด้วย	แม้นมิช่วยดับร้อนช่วยผ่อนผัน
แล้วเรียกทูตทูลยุบลกำพลพลัน	มาอภิวันท์กราบก้มบังคมทูล
แล้วถวายสาราหน้าที่นั่ง	พระตรัสสั่งมหาดไทยในไอศูรย์
ให้คลี่สารอ่านนำในคำทูล	นเรนทร์สูรสองพระองค์เธอทรงฟัง ฯ
๏ ในเรื่องสารมังคลานราราช	บังคมบาทภูวไนยเหมือนใจหวัง
พระเชษฐาสุริย์วงศ์ดำรงวัง	แต่ก่อนยังคบพาลสันดานดึง
ได้ผิดพลั้งครั้งใดพระได้โปรด	ประทานโทษชอบผิดคิดไม่ถึง
พระช่วยชุบอุปถัมภ์เหมือนรำพึง	ให้สมซึ่งอนุชาที่ว่าวอน ฯ
๏ พอจบเรื่องศุภสารอ่านถวาย	คำภิปรายศุภลักษณ์ในอักษร
สองพระองค์ทรงปรึกษาที่ว่าวอน	เป็นการร้อนจะไม่ไปก็ใช่ที
มันก็เป็นว่านเครือในเชื้อไข	จะต้องไปช่วยสักพักไว้ศักดิ์ศรี
ครั้นจะนิ่งเฉยอยู่ดูไม่ดี	เขาก็มีสารขอมาง้องอน
พ่อจะเห็นเป็นอย่างไรใจของหลาน	จงกันการครหาอาจะสอน
เป็นผู้ใหญ่เฉยเชือนเหมือนหนึ่งงอน	เป็นการร้อนจะมิไปก็ใช่ที ฯ
๏ สุดสาครบังคมบรมนาถ	โปรดประภาษควรนักเป็นศักดิ์ศรี
จะมิไปใครเขารู้ดูไม่ดี	เพราะเขาหนีร้อนรึงมาพึ่งเย็น
หลานจะไปตามเสด็จไม่เข็ดขาม	เอาไว้นามไว้ผลให้คนเห็น
ที่เหนื่อยยากกรากกรำต้องจำเป็น	เพราะเชื้อเช่นเนื้อไขในตระกูล
ครั้นทราบเสร็จเชิญเสด็จเข้าวังหลวง	ทุกกระทรวงแห่ไปเข้าไอศูรย์
ประทับยังวังในอันไพบูลย์	ท้าวนางทูลเสาวคนธ์สุมณฑา
ว่าพระจอมรมจักรนัคเรศ	นางแจ้งเหตุรีบพลันด้วยหรรษา
ไปรับองค์พงศ์เผ่าพระเจ้าอา	เสด็จเข้ามาพร้อมพรั่งทั้งพระวงศ์
พระกฤษณาตรีพลำต่างคำรพ	พลางนอบนบในตระกูลประยูรหงส์
พนักงานสารพัดจัดประจง	ตั้งเครื่องทรงเครื่องเสวยทั้งเนยนม
พวกขับไม้มโหรีตีบัณเฑาะว์	สำเนียงเพราะตามอย่างปางประถม
สี่กษัตริย์นั่งเสวยทั้งเนยนม	เครื่องขนมโอชาสารพัน
เสวยพลางทางปรึกษาบรรดาหลาน	อาตรองการก็เห็นจริงทุกสิ่งสรรพ์
เปรียบเหมือนคนเจ็บป่วยต้องช่วยกัน	รักษามันพอให้ปลอดรอดชีวัง
พระตรัสพลางทางสั่งให้หาทูต	เข้ามาพูดไต่ถามตามประสงค์
ขุนเสนีอภิวาทบาทบงสุ์	ขอพระองค์โปรดปรานการจะไป
ถวายสารพระผู้ผ่านเมืองผลึก	ด้วยการศึกเหลือล้นทนไม่ไหว
ฝ่ายพระศรีสุวรรณวงศ์ผู้ทรงชัย	รับสั่งให้พวกฝรั่งเมืองลังกา
เอากำปั่นใช้ใบไปกับทูต	จะได้พูดโดยจำนงส่งภาษา
ทั้งหกนายกราบถวายบังคมลา	ลงเภตราไปผลึกตามตรึกตรอง
สิบห้าวันบรรลุถึงสถาน	ถวายสารแล้วประมูลทูลฉลอง
พระจึ่งให้คลี่สารในลานทอง	ซึ่งจำลองลายลักษณ์อักขรา ฯ
๏ ในเรื่องราวขอประนมบังคมบาท	ภูวนาถทรงเดชพระเชษฐา
เมื่อก่อนได้ผิดพลั้งแต่หลังมา	ให้เคืองฝ่าบาทบงสุ์พระทรงธรรม์
เพราะคบคนพาลาพาให้ชั่ว	จนหมองมัวแทบชีวาจะอาสัญ
แล้วกลับเป็นศัตรูมาสู้กัน	ในเขตคันร้อนเราทุกเช้าเย็น
ขอพระองค์ทรงเดชผู้เชษฐา	โปรดได้มาระงับช่วยดับเข็ญ
เหมือนวารินใสสดรดให้เย็น	น้องขอเป็นเกือกทองฉลองคุณ
ได้ผิดพลั้งครั้งใดจงได้โปรด	ประทานโทษน้องนุชช่วยอุดหนุน
แม้นสิบไปเบื้องหน้าถ้าทารุณ	ให้เคืองขุ่นจงประหารผลาญชีวา ฯ
๏ พอจบสารพระผู้ผ่านเมืองผลึก	เธอตรองตรึกแจ้งคดีที่ปรึกษา
ใครจะเห็นอย่างไรใจเสนา	เขาก็มาสารภาพว่าหลาบจำ
แม้นมิไปใครรู้จะดูหมิ่น	ต้องละถิ่นไปช่วยชุบอุปถัมถ์
แล้วตรัสสั่งเสนีที่ประจำ	ให้จัดลำเรือที่นั่งบัลลังก์พลัน
ทั้งเรือรบเรือไล่ให้หลายร้อย	เครื่องใช้สอยรอกเชือกให้เลือกสรร
จัดล้าต้าต้นคนคนสำคัญ	เรือสุบรรณเป็นที่นั่งบัลลังก์ทรง
ครั้นสั่งเสร็จพระเสด็จขึ้นจากอาสน์	ขุนอำมาตย์สั่งความตามประสงค์
จ่ายทหารชาวป้อมพวกล้อมวง	เกณฑ์ให้ลงเรือที่นั่งตั้งบาญชี
ทหารรบหกหมื่นปืนปลายหอก	เร่งหมายบอกไปให้ครบใครหลบหนี
ให้นายหมวดตรวจส่งลงบาญชี	วันพรุ่งนี้เกณฑ์ตรงไปลงเรือ
ลำที่นั่งดั้งกันสักพันร้อย	มาจอดคอยทอดไว้ทั้งใต้เหนือ
ขนเสบียงดิบสุกบรรทุกเรือ	ทั้งข้าวเกลืออย่าให้ขาดราชการ ฯ
๏ ฝ่ายพระจอมธิบดินทร์ปิ่นผลึก	เธอตรองตรึกยังสงสัยเสร็จไปศาล
ให้หาพวกทรงผีมามินาน	จึงโองการให้คนทรงมาลงดู
แล้วเชิญท่านมารดาให้มาด้วย	จะได้ช่วยบอกกล่าวให้เข้าหู
จะเท็จจริงอย่างไรจะใคร่รู้	เรียกให้ผู้คนทรงมาลงพลัน
จุดธูปเทียนบายศรีพลีศาล	เชิญนางมารมาตุรงค์มาทรงฉัน
ปีศาจแว่วแจ้วดังกระทั่งกรรณ	ลุกผลุนผลันเหลียวแลซะแงเป
เห็นธูปเทียนรุ่งเรืองเมืองผลึก	ผีเสื้อนึกว่าร้อนเย็นเป็นไฉน
แล้วลุกขึ้นเผ่นโผนโจนลงไป	ประเดี๋ยวใจก้องกังวานสะท้านดัง
เข้าคนทรงสั่นรัวกลอกหัวหู	ให้หากูมาทำไมในใจหวัง
จะไต่ถามความอะไรเล่าให้ฟัง	ลุกขึ้นนั่งกินหมูนั่งชูคอ
สินสมุทรจึงถามความประสงค์	มาตุรงค์เห็นอย่างไรไฉนหนอ
มังคลาสรรเสริญเจริญยอ	ให้มาง้อรับผิดโดยจิตปอง
เชิญให้ลูกไปกำราบช่วยปราบศึก	ที่ตื้นลึกจะเป็นกลหรือหม่นหมอง
อยากจะแจ้งความในน้ำใจปอง	เชิญช่วยตรองในคดีเขามีมา ฯ
๏ นางปีศาจล่วงรู้เพราะหูผี	แจ้งคดีเล่าแก่บุตรไม่มุสา
เมื่อเดือนก่อนกูเที่ยวไปในคงคา	มันรบราฆ่าฟันกันบรรลัย
แต่เมืองด่านชานชลาริมท่าน้ำ	เสียระยำปี้ป่นทนไม่ไหว
ความที่บอกมาจริงอย่ากริ่งใจ	บาทหลวงได้ปากน้ำที่สำคัญ
เอ็งรีบยกไปกำราบช่วยปราบคึก	คงสมนึกดับรอนช่วยผ่อนผัน
จะได้สืบสุริย์วงศ์ตามพงศ์พันธุ์	พี่น้องกันก็จะได้เห็นใจเรา
พอบอกเสร็จคนทรงที่ลงผี	เอามือตีผางผางเข้ากลางเสา
ล้มนอนหงายกายสั่นอยู่เทาเทา	เหมือนกินเหล้าลุกล้มไม่สมประดี ฯ
๏ ฝ่ายพระหน่อนฤเบศเกศกษัตริย์	ได้ความชัดแจ้งกระจ่างเพราะนางผี
แล้วตรัสสั่งพวกพหลพลมนตรี	ว่าพรุ่งนี้เช้าตรู่กูจะไป
แล้วเสด็จขึ้นเข้าข้างในที่ไสยาสน์	ตรัสประภาษเล่าแจ้งแถลงไข
ฝ่ายโฉมยงองค์อรุณทูลพิไร	พระจอมไปใครจะอยู่ดูบุรินทร์
ฉวยเกิดคึกฮึกหาญมาราญรบ	จะหลีกหลบเห็นไม่ได้ดังใจถวิล
ใครจะช่วยรบสู้กู้แผ่นดิน	น้องจะผินพักตราไปหาใคร
พระตรัสพลางทางว่าอย่าปรารภ	จะสมทบทัพทุกแควไว้แก้ไข
แต่บรรดาเมืองขึ้นอย่าตื่นไป	ไม่เป็นไรดอกนะเจ้าเยาวมาลย์
