๏ ฝ่ายกษัตริย์รายาชวาฉวี	ครั้นฤกษ์ดีเสด็จท่าชลาสินธุ์
๏ ฝ่ายกำปั่นเทวสินธุ์นรินทร์ราช	พอภาณุมาศลับเงาภูเขาเขิน
แล่นมาถึงเกาะใหญ่ริมชายเนิน	ให้หนาวเกินกับฤดูทุกผู้คน
แต่บรรดากำปั่นสักพันเศษ	ผิดสังเกตแต่ในจิตคิดฉงน
ลมก็คล่องว่องไวติดใบบน	แล่นไม่พ้นชายหาดประหลาดใจ
พวกล้าต้าต้นหนคนทั้งนั้น	ปรึกษากันหลากจิตคิดสงสัย
จะเกิดเหตุเภทพาลประการใด	จึ่งทูลไทสามกษัตริย์ขัตติยา
กับไทท้าวเจ้าพาราชวาฉวี	เหตุจะมีแม่นแท้แน่นักหนา
ทั้งหนาวเนื้อเหลือทนพ้นปัญญา	อันเภตราอยู่กับที่แล่นมิเดิน
ลมก็ดีชักใบขึ้นใส่พร้อม	จะแล่นอ้อมไปก็ตกกระหกระเหิน
ดูเหมือนคนฉุดไว้ริมชายเนิน	จะขอเขิญอารักษ์อันศักดา
มาถามเหตุเภทภัยให้ประจักษ์	จะได้ทักทายไปในทิศา
สามพระองค์ทรงฟังทั้งพระยา	เจ้าชวาเห็นพร้อมยอมด้วยกัน
แล้วให้ตั้งบายศรีที่บวงสรวง	ตามกระทรวงสารพัดเร่งจัดสรร
เอาคนทรงลงมานั่งตั้งภิวันท์	บนก้นขันสาครร้องวอนไป
แล้วจุดธูปเทียนบูชากระยาสังเวย	ทั้งนมเนยตามประเภทข้างเพทไสย
เราขอเขิญเทวาสุราลัย	ที่อยู่ในเขาเขินเนินคีรี
มาเข้าทรงจะได้ถามเนื้อความท่าน	ทุกฉ้อชั้นบรรพตาในราศี
ที่เหตุผลหนหลังอย่างคดี	ขอภูมีรับสรวงเข้าบวงบน ฯ
๏ จะกล่าวถึงผีปีศาจที่อาจหาญ	คือท้าวละมานรู้แจ้งแห่งนุสนธิ์
ว่าเขาตั้งเครื่องสรวงทั้งบวงบน	วิ่งเข้าคนทรงสั่นยิงฟันพลาง
แล้วเหลือกตาว่าออเจ้าคนเหล่านี้	ลุกขึ้นชี้มือด่านัยน์ตาขวาง
ไม่รู้จักกูหรือไรในหนทาง	กูจะล้างชีวันให้บรรลัย
อันตัวกูผู้เป็นเจ้าเกาะเหล่านี้	เองมานี่จะไปหนตำบลไหน
จงบอกความตามจริงทุกสิ่งไป	กูนี้ไซร้เป็นเจ้าของท้องทะเล
เองเรียกมาว่ากระไรจะไต่ถาม	จงแจ้งความจริงไปอย่าไพล่เผล
ท้าวปีศาจนึกนิยมสมคะเน	จะคิดเพทุบายกินให้สิ้นเชิง ฯ
๏ ฝ่ายท่านท้าวเจ้าชวาอาณาเขต	เธอแจ้งเหตุปีศาจเชื่อดูเหลือเหลิง
จำจะหาให้มันกินจนสิ้นเชิง	พอรื่นเริงแล้วจะได้ไล่เอาความ
จึงวอนว่าข้าแต่เจ้าของเกาะ	ช่วยสงเคราะห์ทางจะไปขอไต่ถาม
เอ็นดูเถิดชี้ให้จะไปตาม	ให้สมความปรารถนาข้าทั้งปวง
แล้วท้าวไทให้ยกเอาเครื่องเซ่น	สัตว์ที่เป็นต่างต่างมาวางสรวง
ทั้งเหล้าเข้มของกินสิ้นทั้งปวง	มาบวงสรวงท้าวละมานให้ท่านกิน ฯ
๏ ฝ่ายปีศาจเห็นไก่น้ำลายหยด	ด้วยความอดชื่นชมสมถวิล
แล้วจับไหใส่สุราออกมาริน	ยกขึ้นกินกลอกหน้านัยน์ตาวาว
มือหนึ่งจับไก่ดิบหยิบกระชาก	เอาใส่ปากเคี้ยวเหยอทั้งเรอหาว
จับเอาแพะฉีกเชือดเลือดออกพราว	แลบลิ้นยาวเลียดูดพูดออกอึง
เรียกให้พวกบริวารทหารผี	มาอึงมี่บนเภตราตาถลึง
ไม่เห็นตัวเป็นแต่เสียงสำเนียงอึง	กินของซึ่งตั้งไว้หายไปพลัน
ทั้งแพะแกะไก่เหล้ากับข้าวของ	ก็บกพร่องหมดเลี่ยนล่อนเชี่ยนขัน
กระดูกกระเดี้ยวเคี้ยวป่นไม่ทนฟัน	แต่เสียงมันได้ยินสิ้นทุกคน
อันพวกมันที่มาไม่ปรากฏ	ดูเหมือนปดกันเล่นไม่เห็นหน
เป็นแต่อ้ายคนทรงเดินวงวน	แล้วขึ้นบนเก้าอี้นั่งชี้มือ
ท้าวรายาสามกษัตริย์จึ่งตรัสถาม	มันแจ้งความมาแต่หลังจะฟังหรือ
เมื่อครั้งนางวัณฬามาหารือ	จัดทูตถือสารไปให้แก่เรา
กับรูปวาดให้เรามาอาสาศึก	แม้นสมนึกหวังใจจะได้เขา
จึ่งยกพวกพลละมานทหารเรา	ไปเมืองเขาขึ้นประจบสมทบกัน
ยังมิได้รบพุ่งกรุงผลึก	เวลาดึกฟังปี่ดีขยัน
ก็ระงับหลับใหลไปด้วยกัน	มันจับพันธนาได้เอาใส่กรง
แล้วก็เอามาไว้ในเกาะนี้	สิ้นชีวีแหลกกระจุยเป็นผุยผง
เพราะอดอยากกรากตายอยู่ในกรง	อ้ายคนทรงเล่าไปที่ในเรือ
ว่าดูราฝรั่งทั้งออแขก	เองจะแยกไปข้างใต้หรือฝ่ายเหนือ
กูขอบใจเองให้เหล้าทั้งข้าวเกลือ	อีกเนื้อเบื้อแกะไก่ให้กูกิน
หาไม่จะล่มกำปั่นทั้งพันเศษ	ให้อาเพศแตกจมสมถวิล
แล้วจะได้ฉะเชือดสูบเลือดกิน	เอาให้สิ้นแต่บรรดามาด้วยกัน
นี้พวกเองอ่อนน้อมมายอมเลี้ยง	ไม่ทุ่มเถียงรบสู้เป็นคู่ขัน
จงเซ่นกูอยู่อีกสักสามวัน	จะให้ปันของวิเศษทั้งเวทมนตร์
พรุ่งนี้เช้ามึงขึ้นไปที่ในเกาะ	ช่วยกันเจาะของเอาไปจะให้ผล
คือจินดาที่ประสงค์ทั้งคงทน	สำหรับตนแทงฟันไม่บรรลัย
เรียกว่าเพชรเจ็ดสีมณีโชติ	อยู่บนโขดเขาเขินเนินไศล
แม้นรบศึกเอาแกว่งเป็นแสงไฟ	เองเอาไปคงกระพันกันไพรี ฯ
๏ ฝ่ายพระหน่อนฤเบศเกศกษัตริย์	ได้แจ้งอรรถปรีดิ์เปรมเกษมศรี
แล้วพากันนั่งยามตามอัคคี	อยู่ตามที่ในกำปั่นทั้งพันลำ
ที่หนาวเหน็บเจ็บเบาบรรเทาหาย	ค่อยสบายผีช่วยชุบอุปถัมภ์
พอแสงจันทร์แจ่มกระจ่างน้ำค้างพรำ	เรไรร่ำเฉื่อยเสนาะบนเกาะเกียน
จังหรีดเรื่อยเอื่อยเสียงสำเนียงแจ้ว	วิเวกแว่วฝูงสัตว์ฉวัดเฉวียน
จักจั่นหวั่นหวาดดาษเดียร	ฝูงกะเรียนร่อนร้องก้องกังวาน
ดุเหว่าแว่วแจ้วเจื้อยระเรื่อยร้อง	ประสานซ้องบรรเลงวังเวงหวาน
สกุณากาสักในคัคนานต์	ไก่ประสานขานขันสนั่นครวญ
สุมาลัยไขกลิ่นระรินรส	ดอกไม้สดบานพร้อมทั้งหอมหวน
กลิ่นตลบอบฟูเรณูนวล	พระพายหวนหอมฟุ้งจรุงใจ
เสียงปีศาจครื้นครั่นสนั่นเกาะ	บ้างกระเดาะปากเดินบนเนินไศล
ที่กู่ก้องร้องเรียกกันเพรียกไป	บนเขาใหญ่ดินกลาดบนหาดทราย
ฝีโป่งป่ามาประชุมกันกลุ้มเกลื่อน	ตะโกนเพื่อนกู่กันให้ผันผาย
เที่ยวเก็บหอยลอยกลาดบนหาดทราย	ทั้งภูตพรายดาษดาริมสาชล
แต่ล้วนพวกผีดิบสักสิบแสน	อเนกแน่นร้ายแรงทุกแห่งหน
เห็นแต่เงาหรุบหรู่คล้ายผู้คน	ที่เดินบ่นพึมพำตามทะเล
เขาย่อมเรียกอธิบายว่าพรายน้ำ	มันยึดลำกำปั่นให้หันเห
สีเหมือนไฟลอยล่องท้องทะเล	สมคะเนบินขึ้นเพลาเสากระโดง
มิใช่พวกอื่นไกลอ้ายเหล่านี้	คือว่าผีเกาะใหญ่ที่ตายโหง
แม้นมันขึ้นไปได้ปลายกระโดง	เรือก็โคลงจมไปเสียหลายลำ
คือปีศาจชายเขาอ้ายเหล่านี้	มันเป็นผีอดอยากถลากถลำ
คอยเรือลงตรงกรูเข้าจู่ทำ	ยึดเอาลำเรือไว้บ้างป่ายปีน
ที่เขารู้ติดไฟขนไก่เผา	แล้วก็เอาดาบฟาดขาดเป็นสีน
พวกที่มาแต่ลำพังฝรั่งจีน	เห็นมันปีนขึ้นไปเอาไฟลน ฯ
๏ ฝ่ายองค์พระเทวสินธุ์นรินทร์รัช	ดึกสงัดจันทร์กระจ่างกลางเวหน
น้ำค้างย้อยพรอยพรายดังสายชล	พระพายฝนมืดอับพยับโพยม
ดารากรอ่อนแสงเข้าแฝงเมฆ	แสนวิเวกยามดึกเสียงฮึกโหม
จวนจะแจ้งแสงทองส่องโพยม	พระทรงโฉมพลิกฟื้นตื่นไสยา
เชิญท้าวไทอัยการเจ้าตาเลี้ยง	มานั่งเคียงตรองตรึกพลางปรึกษา
พอรุ่งแจ้งแสงสว่างกระจ่างตา	เราจะพาขึ้นไปบนชายเนิน
หาแก้วเก็จเพชรดีมณีโชติ	ที่บนโขดลำเนาภูเขาเขิน
ไปตั้งศาลอารักษ์แล้วชักเชิญ	เจ้าที่เนินโขดเขาท้าวละมาน
แล้วสั่งเหล่าพวกพหลพลไพร่	ให้ตัดไม้เชิงเขาทำเสาศาล
เครื่องบวงสรวงเป็ดไก่จัดใส่จาน	ทั้งคาวหวานเหล้ายาหาขึ้นไป
อีกโคแพะแกะเป็นได้เซ่นวัก	อย่าช้านักแต่พอตรู่สุริย์ใส
เสนารับอัภิวันท์ด้วยทันใด	มาเรียกไพร่พร้อมทั่วทุกตัวคน
ขึ้นตัดไม้ไผ่เกลาทำเสาศาล	ดาดเพดานเสร็จไปให้ไพร่ขน
ตั้งของกินเครื่องสรวงจะบวงบน	ช่วยกันขนมาพร้อมหอมขจร
เจ้าพวกผีวุ่นวายน้ำลายหยด	เลียบบรรพตบ้างก็วิ่งบนสิงขร
ฝ่ายท่านท้าวเจ้าประเทศเขตนคร	เสด็จจรจากบัลลังก์ที่นั่งทรง
สามพระหน่อนฤเบศเกศกษัตริย์	ก็รีบรัดขึ้นมาตามความประสงค์
ถึงเชิงผาแล้วให้หาเจ้าคนทรง	มานั่งตรงหน้าศาลตั้งการพลี
จึงเชิญท้าวเจ้าละมานที่ย่านเกาะ	แล้วก็เคาะรำมะนาเรียกหาผี
ปีศาจแว่วแก้วหูรู้คดี	ก็เดินรี่แฝงเงาเข้าคนทรง
อ้ายแขกสั่นรันรำล้มคว่ำหงาย	มือตะกายตีนตะกุยพลางคุ้ยผง
จึงลุกขึ้นยืนฟังแล้วนั่งลง	อ้ายคนทรงพูดพลางทางครางครวญ
แล้วจึงว่าฮ้าฮ้ายอ้ายเหล่านี้	ใจมึงดีมีคุณไม่หุนหวน
เพราะมันถือซื่อแท้ไม่แปรปรวน	กูจะชวนมึงไปให้ของดี
ท้าวรายาว่าเชิญรับเครื่องเซ่น	จะได้เป็นที่รักเป็นศักดิ์ศรี
