๏ ฝ่ายสุวรรณมาลีศรีสุวรรณ	อยู่พร้อมกันที่ลำกำปั่นใหญ่
๏ อุศเรนรู้สึกนึกอนาถ	เห็นประหลาดลูกเล็กเด็กนักหนา
จึงถามพวกพระอภัยว่าใครมา	เขาทูลว่าพระโอรสยศไกร
จึงเรียกไพร่ในเรือให้รู้สึก	อึกทึกในกำปั่นอยู่หวั่นไหว
ช่วยนวดฟั้นคั้นองค์พระอภัย	ก็กลับได้สติฟื้นเหมือนตื่นนอน
ลืมพระเนตรเห็นบุตรกับอุศเรน	หัศเกนพวกฝรั่งนั่งสลอน
สินสมุทรอภิวาทบาทบิดร	สะอื้นอ้อนทูลถามตามสงกา
เมื่อพลัดพรากยากเย็นเป็นไฉน	ลูกมิได้รู้ความเที่ยวตามหา
ไฉนองค์ทรงฤทธิ์พระบิดา	จึงได้มาเรือฝรั่งเป็นอย่างไร ฯ
๏ พระฟังคำน้ำพระเนตรลงพรากพราก	จะออกปากปิ้มว่าเลือดตาไหล
จึงเล่าความตามจริงทุกสิ่งไป	จนถึงได้โดยสารมาพานพบ
อันพ่อนี้วิตกอกจะแยก	ด้วยเรือแตกตายเป็นไม่เห็นศพ
แล้วตรัสถามลูกยาด้วยปรารภ	นี่พ่อพบผู้ใดจึงได้มา ฯ
๏ สินสมุทรได้ฟังรับสั่งถาม	จึงตอบตามคำแขกแปลกภาษา
เมื่อเรือแตกแหลกไปในคงคา	ลมก็กล้ากลางคืนเพราะคลื่นตี
แม่ผีเสื้อเหลือใจไล่สกัด	ลูกจึงพลัดไปกับเหล่านางสาวศรี
ได้พบแต่แม่สุวรรณมาลี	ก็แบกหนีไปในน้ำแต่ลำพัง
ถึงเจ็ดวันบรรลุถึงเกาะใหญ่	เข้าอาศัยแต่พอชื่นได้คืนหลัง
พอพบพวกโจรเรือหลงเชื่อฟัง	จะเข้าฝั่งชลธารโดยสารมัน
มันคิดคดลดเลี้ยวเกี้ยวพระแม่	ลูกจึงแก้แค้นฆ่าให้อาสัญ
ที่เหลือตายนายไพร่พร้อมใจกัน	ยกกำปั่นใหญ่ให้ได้ไคลคลา
เที่ยวไต่ถามตามองค์พระทรงเดช	ทุกประเทศทางทะเลเที่ยวเร่หา
จนไปถึงรมจักรนัครา	พบพระอาถามทักรู้จักกัน
จึงเกณฑ์คนพลรบสมทบทัพ	เดี๋ยวนี้อามากับกระหม่อมฉัน
พอเสียงปี่ที่เป่าเป็นสำคัญ	ก็หมายมั่นว่าพระองค์ไม่สงกา
ลูกรำลึกตรึกถึงพระผ่านเกล้า	จึงดื้อเดาโดดน้ำดำมาหา
เชิญเสด็จภูวไนยไปเภตรา	พระเจ้าอาก็ละห้อยคอยพระองค์ ฯ
๏ พระรู้ว่าอนุชามาด้วยบุตร	ยิ่งแสนสุดชื่นชมสมประสงค์
จึงตรัสบอกอุศเรนเจนณรงค์	นี่แหละองค์สินสมุทรบุตรข้าน้อย
เมื่อเรือแตกแบกนางมากลางน้ำ	จึงได้กำปั่นใหญ่ไว้ใช้สอย
กับเรือน้องของข้ามาห้าร้อย	เที่ยวแล่นลอยล่องหาในสาคร
เดชะบุญคุณพระมาปะพบ	ไม่ต้องรบชิงช่วงดวงสมร
คงได้คู่สู่สมสยมพร	อย่าทุกข์ร้อนเลยพระองค์จงสำราญ
เชิญไปลำกำปั่นของลูกรัก	ให้พบพักตร์วรนุชสุดสงสาร
ประภาษพลางทางสุนทรสอนกุมาร	ให้กราบกรานอุศเรนเจนณรงค์ ฯ
๏ ฝ่ายลูกท้าวเจ้าลังกาหน้าเป็นเหม	แสนเกษมสมจิตคิดประสงค์
เรียกกุมารหลานเลี้ยงมาเคียงองค์	พ่อแสนทรงฤทธิ์เลิศประเสริฐชาย
ช่วยชีวิตขนิษฐาของอาไว้	ให้คืนได้ดวงสวาทเหมือนมาดหมาย
ไม่ลืมคุณหลานขวัญจนวันตาย	พลางแนบกายกอดจูบลูบกุมาร
เอาเครื่องทรงสำอางอย่างกษัตริย์	เพชรรัตน์รจนามุกดาหาร
ทั้งเพชรนิลจินดามาประทาน	พระกุมารเมินหน้าแล้วว่าพลัน
อย่าว่าแต่แก้วแหวนแสนสมบัติ	ถึงจะจัดเอาอะไรมาให้ฉัน
ไม่มุ่งมาดปรารถนาสารพัน	ข้ารักแต่แม่สุวรรณมาลี ฯ
๏ พระอภัยสุริย์วงศ์ทรงพระสรวล	แกล้งเสชวนอุศเรนอันเรืองศรี
อย่าตอบถ้อยถือความเลยตามที	เชิญภูมีมาไปหาสุดาดวง ฯ
๏ อุศเรนฟังว่าค่อยผาสุก	เหมือนทิ้งทุกข์สักเท่าภูเขาหลวง
สั่งล้าต้าต้นหนคนทั้งปวง	ตามกระทรวงซ้ายขวาสิบห้าลำ
ทั้งลำทรงธงทองเป็นสองแถว	เลิศแล้วลายหลังคาเลขาขำ
หัศเกนเจนปืนยืนประจำ	เข้าเคียงลำกำปั่นใหญ่ดังใจจง
อุศเรนรื่นเริงบันเทิงจิต	เข้าสถิตเตียงทองที่ห้องสรง
ไขสุหร่ายปรายละอองมาต้ององค์	แล้วสอดทรงสนับเพลาเนาวรัตน์
ฉลององค์ทรงสวมกรวมสลับ	ดุมประดับแต่ล้วนเพชรเจ็ดกะรัต
ปั้นเหน่งเนื่องเฟื่องกระหนกกระหนาบรัด	แล้วทรงทัดพระมหามาลาระบาย
แซมดอกไม้ไหวสว่างหางการเวก	เป็นอย่างเอกอวดผู้หญิงหยิ่งใจหาย
ธำมรงค์ทรงหัตถ์จำรัสพราย	พระกรซ้ายเกี้ยวผ้าเช็ดหน้ากรอง
สอดเสน่าเหน็บตรีกระบี่ถือ	สนับมือสอดใส่ไว้ทั้งสอง
ส่านจุหรี่สีกุหร่าคั่นหน้าทอง	สอดฉลองพระบาทเพชรเสด็จมา
ทหารปืนถือปืนยืนสองข้าง	ตามเยี่ยงอย่างยศศักดิ์คอยรักษา
แล้วเชิญพระอภัยให้ไคลคลา	มาเภตราลำใหญ่ดังใจปอง ฯ
๏ ศรีสุวรรณนั้นมารับคำนับพี่	แต่สุวรรณมาลีหนีเข้าห้อง
พระอภัยพี่ยาน้ำตานอง	ขึ้นแท่นทองที่นั่งทั้งอุศเรน
เหล่าโยธีศรีสุวรรณกับสินสมุทร	ถืออาวุธพร้อมพรั่งทั้งดั้งเขน
พลฝรั่งลังกาพวกหัศเกน	ล้วนจัดเจนประจุปืนยืนระวัง ฯ
๏ ศรีสุวรรณอัญชลีพระพี่เจ้า	กำสรดเศร้าโศกคิดถึงความหลัง
จะกลั้นกลืนขืนใจก็ไม่ฟัง	พระชลนัยน์ไหลหลั่งลงพรั่งพราย
พลางประณตบทเรศพระเชษฐา	น้องนึกว่าสิ้นบุญจะสูญหาย
เที่ยวติดตามถามข่าวก็เปล่าดาย	หากหลานชายชี้แจงจึงแจ้งใจ
แล้วทูลถึงสามพราหมณ์ตามมาด้วย	เป็นเพื่อนม้วยมรณาจะหาไหน
พลางตรัสเรียกลูกน้อยกลอยฤทัย	ไปกราบไหว้ให้ชิดพระบิตุลา ฯ
๏ สงสารองค์พระอภัยวิไลโฉม	ลูบประโลมหลานน้อยละห้อยหา
อุ้มขึ้นวางกลางตักพิศพักตรา	พระชลนานองเนตรสังเวชใจ
จะเล่าความตามยากเมื่อจากน้อง	ก็ขัดข้องเขาจะแจ้งแถลงไข
จึงว่าพี่นี้ก็แสนสลดใจ	หมายว่าไม่พบญาติแล้วชาตินี้
หากกุศลหนหลังเราทั้งสอง	ได้พบน้องนัดดามารศรี
ยังทุกข์หนึ่งถึงชนกชนนี	จะร้ายดีมิได้รู้ถึงหูเลย
พระร่ำพลางต่างองค์ทรงกันแสง	โอ้เสียแรงเกิดมานิจจาเอ๋ย
ไม่เคยยากกรากกรำต้องจำเคย	เมื่อไรเลยจะพร้อมวงศ์พงศ์ประยูร
พระพี่น้องสององค์สะอื้นไห้	ด้วยอาลัยไกลญาติเพียงขาดสูญ
ทั้งลูกน้อยนัดดาก็อาดูร	ต่างเพิ่มพูนโศกเศร้าไม่เบาบาง ฯ
๏ อุศเรนร่ำปลอบให้ชอบจิต	เห็นวายคิดขุ่นข้องที่หมองหมาง
จึงปราศรัยไต่ถามเนื้อความพลาง	เดี๋ยวนี้นางนุชน้องอยู่ห้องใด
พระโปรดด้วยช่วยบอกโฉมเฉลา	ให้นงเยาว์รู้แจ้งแถลงไข
ว่าพระชนนีนาถจะขาดใจ	กันแสงไห้โหยหาไม่ราวัน
จึงใช้ข้าพยายามตามแสวง	พระก็แจ้งความจริงทุกสิ่งสรรพ์
ช่วยเล้าโลมโฉมสุดาวิลาวัณย์	อย่าให้ขวัญเนตรหมางระคางใจ ฯ
๏ สินสมุทรสุดเคืองชำเลืองค้อน	แกล้งตัดรอนขวางความตามวิสัย
รำคาญหูจู้จี้นี่กระไร	เขาร้องไห้ไม่ทันหายวายน้ำตา
ขืนจะเฝ้าเร้ารบพบผู้หญิง	ขันจริงจริงใจฝรั่งชังหนักหนา
มิใช่การภารธุระพระบิดา	แม่ของข้าข้าไม่ให้ใครไปเลย ฯ
๏ พระอภัยได้ฟังสินสมุทร	จึงว่าสุดเสนหาบิดาเอ๋ย
อย่าว้าวุ่นหุนหันเช่นนั้นเลย	เหมือนทรามเชยช่วยธุระพระบิดา
อันองค์อุศเรนนี้อารีนัก	เธอผูกรักซื่อตรงเหมือนวงศา
พ่อโดยสารท่านก็รับลงเรือมา	จึงเห็นหน้าลูกน้อยกลอยฤทัย
ช่วยบอกความตามแต่แม่ของเจ้า	น้ำใจเขาจะคิดเห็นเป็นไฉน
เธอเป็นคู่สู่ขออรไท	มิใช่ใครนอกนั้นจะกั้นกาง ฯ
๏ สินสมุทรสุดแค้นให้แน่นจิต	ทั้งสุดคิดสารพัดจะขัดขวาง
ลงจากแท่นแค้นใจร้องไห้พลาง	มาหานางนั่งสะอื้นกลืนน้ำตา ฯ
๏ นางสวมสอดกอดองค์โอรสไว้	แล้วถามไต่ลูกน้อยละห้อยหา
เมื่อตะกี้ที่เขาตามบิดามา	เขาพูดจาว่ากระไรไปหรือยัง ฯ
๏ สินสมุทรพูดจาประสาซื่อ	นั่นแลคือตัวความมาตามหลัง
พระรักเขาชาวลังกาหรือว่าชัง	อย่าปิดบังบอกความลูกตามจริง
เดี๋ยวนี้เล่าเขาจะรับไปอภิเษก	เป็นองค์เอกอิศราพระยาหญิง
เห็นรูปร่างข้างเขาก็เพราพริ้ง	จะต้องทิ้งลูกเสียแท้แล้วแม่คุณ ฯ
๏ นางแกล้งว่าน่าเบื่อเหลือแล้วเจ้า	อะไรเฝ้าโกรธเกรี้ยวทำเฉียวฉุน
ถึงสู่ขอก็มิใช่ได้เคยคุ้น	จะมาวุ่นว่าขานรำคาญใจ
เดี๋ยวนี้เล่าเจ้าจะให้แม่ไปหรือ	กลัวฝีมือเขากระมังนั่งร้องไห้
พระบิดาว่าขานประการใด	อย่าร่ำไรเลยช่วยแปลให้แม่ฟัง ฯ
๏ กุมารว่าพระแม่ไม่เห็นจิต	ปัจจามิตรมากน้อยไม่ถอยหลัง
แต่แค้นจิตพระบิดานี้น่าชัง	รักฝรั่งนี่กระไรจะให้คืน
ให้ลูกยามาถามความพระแม่	ว่าตามแต่ประดิพัทธไม่ขัดขืน
พระมารดาอย่าฟังจงยั่งยืน	ว่าไม่คืนไปลังกาจะว่าไร
ถึงฝรั่งคั่งแค้นแม้นจะรบ	ไม่หลีกหลบเลยพระองค์อย่างสงสัย
จะสังหารผลาญชีวันให้บรรลัย	ว่าแต่ใจของพระแม่จะแชเชือน ฯ
๏ นางฟังความยามวิโยคยิ่งโศกซ้ำ	ให้แค้นคำพระอภัยใครจะเหมือน
เสียแรงหวังตั้งจิตไม่บิดเบือน	มาแชเชือนเสียไม่รับให้อับอาย
แต่แรกเล่าเขาว่าผัวเป็นชั่วช้า	จะเอาหน้าไว้ที่ไหนน่าใจหาย
มิขออยู่สู้สิ้นชีวาวาย	พลางฟูมฟายชลนาแล้วพาที
กรรมของแม่แน่แล้วลูกแก้วเอ๋ย	ไม่ควรเลยสารพัดจะบัดสี
เขาเลื่องลืออื้ออึงถึงเพียงนี้	ตายเสียดีกว่าอยู่รับอัประมาน
ช่างกระไรใจคอพระพ่อเจ้า	พูดกับเราไว้แต่ก่อนล้วนอ่อนหวาน
เป็นน่าแค้นแสนเสียดายสายสังวาล	จะให้ทานเสียก็ดีไม่มีภัย
แล้วนางถอดธำมรงค์ของทรงยศ	ให้โอรสร่ำว่าน้ำตาไหล
แหวนนี้เจ้าเอามาแต่ผู้ใด	เอาไว้ให้ท่านเถิดพ่อจะขอลา
อัปยศอดสูอยู่ไม่รอด	จะม้วยมอดเสียมิให้ใครเห็นหน้า
แล้วชักกริชคิดจะตายวายชีวา	พระลูกยาแย่งยุดนางฉุดชิง ฯ
๏ กุมาราว่าดูเอาเจ้าแม่เอ๋ย	กระไรเลยใจจิตผิดผู้หญิง
ฉวยกระชากจากนางแล้วขว้างทิ้ง	แค้นจริงจริงใจคอใช่พอดี
พระบิดาให้ถามดูตามซื่อ	ควรแล้วหรือแม่จะตายให้อายผี
ถึงมาดแม้นแค้นบิดาไม่ปรานี	ลูกยังมีแม่ก็ไม่อาลัยเลย ฯ
๏ นางกอดบุตรสุดขืนสะอื้นไห้	เหลืออาลัยแล้วพ่อคุณของแม่เอ๋ย
เหมือนหญิงร้ายชายชังไม่หวังเชย	จะแหงนเงยดูมนุษย์ก็สุดอาย
ถึงม้วยแล้วแก้วตาอย่าปรารภ	จะขอพบสุดสวาทเหมือนมาดหมาย
ขอให้พ่อก่อเกิดกับร่างกาย	ได้กินสายกษิรามารดาเดียว
เจ้ารักแม่แม่ก็รู้อยู่ว่ารัก	มิใช่จักลืมคุณทำฉุนเฉียว
แต่เหลืออายหลายสิ่งจริงจริงเจียว	เป็นหญิงเดียวชายสองต้องหมองมัว
เมื่อแรกเราเล่าบอกเขาออกอื้อ	อ้างเอาชื่อพระบิดาว่าเป็นผัว
ครั้นคู่เก่าเขามารับก็กลับกลัว	แกล้งออกตัวให้มาถามว่าตามใจ
จึงเจ็บจิตคิดแค้นแม้นจะอยู่	ก็อดสูเสียสัตย์ต้องตัดษัย
กันแสงพลางทางสะอื้นขืนอาลัย	พระชลนัยน์ไหลซาบอาบพักตรา ฯ
๏ สินสมุทรสุดแสนสงสารแม่	อุตส่าห์แก้แทนบิดรชะอ้อนว่า
ที่จริงจิตบิตุเรศของลูกยา	ไม่รู้ว่าเราจะอ้างเอาอย่างนั้น
จึงให้ถามตามซื่ออย่างถือโทษ	ถึงจะโกรธก็แต่ว่าอุตส่าห์กลั้น
เขาไปแล้วลูกจะว่าสารพัน	แม่เชื่อฉันเถิดนะจ๋าอย่าเพ่อตาย
แหวนวงนี้ที่ท่านวานฉันมาให้	จงเก็บไว้ต่อว่าอย่าให้หาย
ถ้าทีนี้มิรับยังกลับกลาย	จะทวงสายสังวาลเก่าของเรามา
ถึงงอนง้อก็ฉันไม่พันผูก	อยู่แม่ลูกตามที่ประสีประสา
สอพลอพลางทางประนมบังคมลา	ลุกออกมากวักพระหัตถ์ตรัสเรียกน้อง
แม่อรุณรัศมีมานี่หน่อย	แล้วจึงค่อยกระซิบสั่งกันทั้งสอง
ไปอยู่เป็นเพื่อนป้าหนาแม่น้อง	จะขัดข้องฆ่าชีวันให้บรรลัย ฯ
๏ นางอรุณรัศมีฟังพี่เล่า	ว่าแม่เจ้าเอ๋ยกรรมจะทำไฉน
ลูกตายจริงวิ่งมาหาป้าสะใภ้	บังคมไหว้วอนถามตามสงกา ฯ
๏ สินสมุทรออกมานั่งบัลลังก์นอก	แล้วแกล้งบอกตามจิตประดิษฐ์ว่า
แม่สุวรรณมาลีมิอยากมา	แล้วก็ว่าไม่รู้จักมิพักไป ฯ
๏ อุศเรนเห็นทำนองจะข้องขัด	ยิ่งกลุ้มกลัดกล่าวแกล้งแถลงไข
อาบน้ำร้อนก่อนเจ้าข้าเข้าใจ	เมื่อไม่ให้แล้วก็ว่าสารพัน
บิดาเจ้าเล่าก็รู้อยู่เต็มจิต	มิใช่คิดโหยกเหยกมาเสกสรร
ได้ขอสู่ผู้ใหญ่ท่านให้ปัน	นางสุวรรณมาลีนี้ของเรา
จึงต้องตามทรามสงวนนวลหง	ได้รับองค์พระอภัยมาให้เจ้า
เจ้าชอบแต่คืนองค์นางนงเยาว์	มาให้เราจึงจะต้องทำนองใน ฯ
๏ สินสมุทรพูดจาประสาเด็ก	ถึงเราเล็กก็ไม่ส่งอย่าสงสัย
รับบิดามาก็ช่างใครเป็นไร	หรือข้าใช้สอยเจ้าให้เอามา
เราตามติดบิตุรงค์ก็คงพบ	ไม่รักคบคนนอกพระศาสนา
เจ้าเลิกทัพกลับหลังไปลังกา	จะได้หาเมียงามเอาตามใจ
ที่ตรงนี้มิได้คืนอย่าขืนแค่น	ถึงจะแสนโศกาเลือดตาไหล
ก็ตายเปล่าเราไม่ยักให้ใครไป	อย่ากวนใจจู้จี้ข้าขี้คร้าน ฯ
๏ อุศเรนคั่งแค้นแสนพิโรธ	แกล้งกลั้นโกรธตรัสประภาษด้วยอาจหาญ
ตัวของเจ้าเยาว์ยังกำลังพาล	เหมือนหนึ่งหลานลามลวนไม่ควรเลย
อันเรากับพระอภัยได้ให้สัตย์	ไม่ข้องขัดกันทุกสิ่งจริงเจ้าเอ๋ย
จึงงอนง้อขอกันฉันคุ้นเคย	อย่าเยาะเย้ยเลยเจ้าไม่เข้ายา
แล้วว่ากับพระอภัยวิไลลักษณ์	น้องก็รักภูวเรศเหมือนเชษฐา
พระก็รู้อยู่กับใจแต่ไรมา	จะเมตตาหรืออย่างไรอย่าได้พราง ฯ
๏ พระฟังคำอ้ำอึ้งตะลึงคิด	จะเบือนบิดป้องปัดก็ขัดขวาง
สงสารลูกเจ้าลังกาจึงว่าพลาง	เราเหมือนช้างงางอกไม่หลอกลวง
ถึงเลือดเนื้อเมื่อน้องต้องประสงค์	พี่ก็คงยอมให้มิได้หวง
แต่ลูกเต้าเขาไม่เหมือนคนทั้งปวง	จะได้ช่วงชิงให้ไปกระนั้น
พี่ว่าเขาเขาก็ว่ามากระนี้	มิใช่พี่นี้จะแกล้งแสร้งเสกสรร
เพราะเหตุเขารักใคร่อาลัยกัน	ค่อยผ่อนผันพูดจาอย่าราคี
แล้วตรัสบอกลูกน้อยกลอยสวาท	เจ้าหน่อเนื้อเชื้อชาติดังราชสีห์
อันรักษาศีลสัตย์กัตเวที	ย่อมเป็นที่สรรเสริญเจริญคน
ทรลักษณ์อกตัญญุตาเขา	เทพเจ้าก็จะแช่งทุกแห่งหน
ให้ทุกข์ร้อนงอนหง่อทรพล	พระเวทมนตร์เสื่อมคลายทำลายยศ
เพราะบิดามาด้วยอุศเรนนี้	คุณเขามีมากล้นพ้นกำหนด
เจ้าทำผิดก็เหมือนพ่อทรยศ	จงออมอดเอ็นดูพ่อแต่พองาม ฯ
๏ สินสมุทรสุดจะคิดถึงบิตุเรศ	ไม่สังเกตกลศึกให้นึกขาม
ศรีสุวรรณครั้นเห็นหลานจะเบาความ	จึงตอบตามถ้อยคำพอนำทาง
จะถือโทษโกรธไปก็ไม่ชอบ	ถึงจะมอบให้ก็คงจะขัดขวาง
ด้วยหญิงชายอายจิตคิดระคาง	ที่ไหนนางจะยอมไปเหมือนใจจง
ถ้าแม้นพี่น้องนางมาด้วย	จะได้ช่วยฝากฝังดังประสงค์
นี่ใจนางก็ไม่วางในพระองค์	จะมาลงเอาหลานฉันอย่างไร
แม้นโฉมยงปลงใจจะไปด้วย	ที่ตรงหลานฉันจะช่วยพูดแก้ไข
แต่ใจนางนฤมลนั้นจนใจ	จะว่าใครขัดข้องก็ตรองดู ฯ
๏ อุศเรนเจนจัดจึงตรัสตอบ	พระว่าชอบหญิงกับชายอายอดสู
แต่เข้าหอพ่อแม่ให้เลี้ยงดู	คงเป็นคู่แล้วยังไม่ใคร่จะยอม
อันนางนี้ที่จะให้ว่าไปด้วย	ก็เขินขวยเพราะไม่เคยเชยถนอม
ถ้าแม้นให้ไปประโลมค่อยโน้มน้อม	ก็คงยอมพระก็รู้อยู่แก่ใจ ฯ
๏ ศรีสุวรรณชั้นเชิงฉลาดแหลม	จึงเยื้อนแย้มยิ้มย่องสนองไข
จะโลมเล้าเยาวมาลย์ประการใด	ตามแต่ใจจะถนัดไม่ขัดกัน
แม้นโฉมยงปลงใจจะไปด้วย	จะได้ช่วยกันไปส่งลงกำปั่น
นี่แหละงามตามตรงเหมือนพงศ์พันธุ์	จะให้ฉันช่วยฉุดนั้นสุดใจ ฯ
๏ อุศเรนฟังคำทำหัวเราะ	พระพูดเพราะพร่ำว่าอัชฌาสัย
แต่เช่นนั้นนั่นก็เหมือนไม่ให้ไป	พูดทำไมว่าจะช่วยให้ป่วยการ
อันนารีนี้เป็นของต้องประสงค์	หรือพระองค์เจตนาเร่งว่าขาน
จงโปรดว่ามาให้เสร็จสำเร็จการ	อย่าหน่วงนานน้องจะได้ครรไลลา ฯ
๏ ศรีสุวรรณกับพระพี่มีคำตอบ	จึงว่าคิดผิดระบอบเป็นนักหนา
ถึงจะบอกออกเหมือนท่านจำนรรจา	ใครจะมาว่ากับใครอย่างไรมี
นี่รักกันฉันจึงว่าประสาซื่อ	ควรแล้วหรือพูดรังเกียจมาเสียดสี
เมื่อนึกแหนงแคลงความก็ตามที	ฉันกับพี่ก็มิใช่ว่าได้นาง
สินสมุทรนั้นแหละเขาเป็นเจ้าของ	ตามทำนองแต่ถนัดไม่ขัดขวาง
แล้วแสแสร้งแกล้งพูดกับพี่พลาง	เมื่อความอย่างนี้จะโกรธโทษเอาใคร
ซึ่งคุณเขาเอามาด้วยก็ช่วยว่า	จนลูกยาอนุญาตประสาทให้
เมื่อใจเขาเจ้าตัวไม่ยอมไป	ก็จนใจอยู่ด้วยกันเท่านั้นเอง ฯ
๏ อุศเรนเหลือแค้นแน่นอุระ	ว่าชิชะพูดเพราะช่างเหมาะเหมง
โดยจะว่าถ้าไม่ใช่คนกันเอง	ก็จะเกรงกันทำไมมิใช่นาย
ซึ่งวอนว่าพระอภัยให้ช่วยขอ	คิดว่าพ่อลูกกันเหมือนมั่นหมาย
เมื่อรักหญิงทิ้งสัตย์ตัดผู้ชาย	ไม่เสียดายคำแล้วก็แล้วไป
แต่หากว่าถ้าฉันกับสินสมุทร	สัประยุทธ์กันก็จิตจะคิดไฉน
จะช่วยฉันหรือว่าพระจะช่วยใคร	ขอรู้ใจจงแถลงให้แจ้งการณ์ ฯ
๏ พระอภัยใจอ่อนถอนสะอื้น	อุตส่าห์กลืนชลนาน่าสงสาร
แล้วห้ามปรามตามใจอาลัยลาน	คุณของท่านเลิศลบภพไตร
แต่สุดที่พี่จะคิดให้มิดมืด	เหมือนใจจืดเจ้าก็คงจะสงสัย
เพราะลูกเต้าเขาไม่ชั่วไม่กลัวใคร	จึงจนใจจำนิ่งทุกสิ่งอัน
แม้นรบสู้ผู้ใดก็ไม่ช่วย	จะอยู่ด้วยอนุชาประสาฉัน
ถ้าลูกยาฆ่าน้องจะป้องกัน	แม้นท่านฟันลูกยาไม่ว่าไร
เป็นความจริงสิ่งสัตย์บรรทัดเที่ยง	ไม่หลีกเลี่ยงเลยพระองค์อย่างสงสัย
แต่จะห้ามตามประสายังอาลัย	จะชิงชัยสินสมุทรจงหยุดยั้ง
เขาเรี่ยวแรงแข็งขันทั้งสันทัด	สารพัดจะศึกษาวิชาขลัง
