๏ บทนี้ข้าจะยกไว้ก่อน	จะกล่าวกลอนให้เรื่องเนื่องไปใหม่
บ้างเชิญเครื่องเนื่องแลวิไลลาน	ดังนางในวิมานเมืองอินทร์
รูปทรงส่งสัณฐานรื่นรวย	บ้างเกล้ามวยแซมดอกไม้ใส่ปิ่น
แวดล้อมพระองค์ทรงธรณินทร์	รวยกลิ่นเฟื่องฟุ้งจรุงใจ
หมอบกลาดดาษเฝ้าลออพักตร์	จำเริญรักเป็นที่พิสมัย
บ้างห่มขลิบริ้วทองกรองใน	สอดสีแลวิไลละลานตา
งามกรอ่อนช้อยเมื่อคลานเฝ้า	งามเกล้าผมสูงดูสมหน้า
พระสุริย์ฉายบ่ายคล้อยได้เวลา	เสด็จมาที่สรงชลธาร
ชำระสระสรงทรงสุคนธ์	เครื่องต้นปนปรุงหอมหวาน
ทรงเครื่องเรืององค์อลงการ	ออกท้องพระโรงธารทันใด
เสด็จเหนือพระที่นั่งเนาวรัตน์	ภายใต้เศวตฉัตรสูงใหญ่
ตรัสประภาษราชกิจในเวียงชัย	เสนาในทูลเรื่องเนื่องมา
ทรงพระสรวลสำราญพระหฤทัย	ข้าเฝ้าน้อยใหญ่อยู่พร้อมหน้า
เพี้ยผู้ใหญ่อธิบดีมีปัญญา	ก้มหน้าแล้วกราบบังคมพลัน
ขอเดชะชีวิตอยู่ใต้บาท	พระอิศราธิราชรังสรรค์
ควรมิควรพระองค์ผู้ทรงธรรม์	เชียงใหม่นั้นบัดนี้มีสารมา
ให้ราชทูตถือสารมากับของ	ดอกไม้ทองบรรณาการมากหนักหนา
ให้คุมไว้ยังมิได้พาเข้ามา	แล้วอ่านสาราถวายพลัน ฯ
๏ ในเรื่องราวลักษณราชสาร	พระผู้ผ่านเชียงใหม่มไหศวรรย์
ทรงพระนามเชียงอินท์ปิ่นกำนัล	ครองขัณฑเสมาธานินทร์
เป็นหลักปักโลกทั้งโกฏิแสน	ทุกด้าวแดนย่อท้อไม่ต่อสิ้น
ระอาทั่วกลัวฤทธิทั้งแผ่นดิน	ทั่วถิ่นทุกประเทศธานี
ทั้งกรุงนาคนะหุตมงกุฎภพ	เลิศลบทั่วโลกราศี
ทั้งสองกรุงบำรุงธรณี	พระเกียรตินั้นก็มีเสมอกัน
ได้ทราบข่าวกล่าวโฉมพระธิดา	ว่าโสภาพริ้งเพริศเฉิดฉัน
พร้อมทั้งสุริวงศ์พงศ์พันธุ์	ควรมอบไอศวรรย์เป็นคู่ครอง
มาดอื่นหมื่นกษัตริย์ร้อยประเทศ	ไม่ควรคู่เยาวเรศภิรมย์สอง
ไม่สมพักตร์ต่ำศักดิกว่าละออง	จะเศร้าหมองเสื่อมสิ้นพระเดชา
จะขอองค์พระธิดาดวงเนตร	เยาวเรศไปไว้เป็นฝ่ายขวา
ขอประทานสร้อยทองละอองตา	ไปเป็นบาทบริจาเจ้าเชียงอินท์
ถ้าทราบสารแม้นประทานดวงสมร	สองนครจะเป็นสุขเกษมสิ้น
ตะพานเงินทองมาถึงธานินทร์	สิ้นสารแล้วก็กราบลงสามลา ฯ
๏ ครานั้นพระองค์ได้ทรงฟัง	แค้นคั่งพระทัยเป็นหนักหนา
กระทืบบาทผาดเสียงประเปรี้ยงมา	ท้าวพระยาฟังดูอยู่พร้อมกัน
ทั้งลูกเมียก็มีอยู่อักนิษฐ	ลูกเรากระจิริดมาหมายมั่น
ช่างโอหังฟังเล่นได้เห็นกัน	มิสำคัญอยู่ว่าดีมีสารมา
เป็นกษัตริย์ตรัสไม่พิเคราะห์ก่อน	ช่างไม่กลัวราษฎรเขาจะว่า
น่าหัวช่างไม่กลัวความนินทา	ด้านหน้ามาขอลูกสาวกู
แล้วตรัสประภาษปรึกษาไป	ผู้ใหญ่ที่นั่งฟังดูหรู
ว่าเล่นเจรจาข้ามหน้ากู	พร้อมกันอยู่เร่งยกกองทัพไป
กูจะไปล้อมเมืองอ้ายเชียงอินท์	ฆ่าเสียให้สิ้นไม่ไว้ได้
อ้ายผู้ถือสารามานั้นไซร้	เร่งเอาไปตัดหัวเสียบประจาน
ตรัสกริ้วกระทืบพระบาทา	จับพระแสงเงื้อง่าจะสังหาร
สนั่นก้องทั่วท้องพระโรงธาร	เพี้ยกวานภาวนาพึมพำไป ฯ
๏ ฝ่ายว่าอุปฮาดก็กราบทูล	ขอพระนเรนทร์สูรผู้เป็นใหญ่
งดก่อนผ่อนไว้ในพระทัย	อันพระเจ้าเชียงใหม่ให้สารมา
อย่าเพ่อทรงพระโกรธพิโรธนัก	ไม่ควรจักฆ่าทูตให้สังขาร์
เป็นแต่ข้าของท่านท่านใช้มา	ทุกประเทศจะนินทาไม่ควรการ
ชอบสั่งให้กลับไปยังเมือง	ยักเยื้องโต้ตอบราชสาร
อย่าตัดพ้อแต่พอเป็นประมาณ	ปานกลางว่านางยังไม่ควร
เยาว์อยู่ไม่ควรคู่เสมอพักตร์	ไม่หาญหักเห็นจะไว้พระทัยหวน
จะเจือใจว่าเราไว้อาลัยครวญ	จึงค่อยประมวลรี้พลเข้าโจมตี
อันเมืองเชียงใหม่กระจ้อยร่อย	ดังหิ่งห้อยเทียมแสงพระสุริย์ศรี
ไม่ครันมือครือฟัดเป็นภัศม์ธุลี	ไม่ช้าทีตีประเดี๋ยวก็ได้การ
ไว้เป็นพนักงานเกล้ากระหม่อม	เพี้ยกวานเห็นพร้อมเหล่าทหาร
มิให้เคืองเบื้องบาทบทมาลย์	ขอเดชะมีสารนั้นตอบไป ฯ
๏ ครานั้นพระองค์ผู้ทรงเดช	ฟังเหตุก็สงบพระทัยได้
ให้แต่งสารพลันทันใด	คืนไปทั้งเครื่องบรรณาการ
ส่วนราชทูตให้ประทานของ	รางวัลเงินทองทั้งคาวหวาน
เหล้าข้าวเป็ดไก่ชัยบาน	ประทานของแล้วสั่งให้กลับไป ฯ
๏ ราชทูตประนมบังคมลา	ออกมาทิมดาบหาช้าไม่
ขนของขึ้นม้าพากันไป	ควบขับอาชาไนยเร่งรีบมา
ดั้นดัดลัดป่าพนาสัณฑ์	สิบห้าวันถึงเชียงใหม่มิได้ช้า
เอาบรรณาการกับสารที่ตอบมา	เรียนเพี้ยพระยาโดยฉับพลัน
ครั้นถึงเวลาในทันใด	พากันเข้าไปขมีขมัน
บรรณาการตั้งหน้าพระลานพลัน	แล้วพากันเข้าพระโรงทันใด ฯ
๏ พอเสด็จออกท้องพระโรงธาร	เพี้ยกวานหมอบราบกราบไสว
ขอเดชะพระองค์ผู้ทรงชัย	มีสารไปล้านช้างนั้นตอบมา
ในลักษณสารเจ้าล้านช้าง	บิดานางสร้อยทองเสนหา
แจ้งสารเชียงใหม่ที่ให้มา	ว่าขอองค์พระธิดาเยาวมาลย์
ซึ่งพระเจ้าเชียงอินท์เป็นใหญ่	ต้องพระทัยธิดายอดสงสาร
อันโฉมยงองค์สร้อยสุดามาลย์	ยุพาพาลพึ่งได้สิบห้าปี
ยังไม่ควรสู่สมอุปภิเษก	เป็นองค์เอกอรรคราชมเหสี
ไม่คลาศแม่แหห่างสักราตรี	ยังเด็กอยู่ดูไม่ดีในพระทัย
ทุกประเทศธานินทร์จะหมิ่นทั่ว	เรากลัวครหาจะว่าได้
ดอกไม้ทองสิ่งของถวายไป	นั้นคืนให้แก่พระเจ้าเชียงอินท์
ค่อยค่อยก็จะเป็นอะไรมี	ดีกว่าอย่าให้ลาวเขากล่าวฉิน
จงแจ้งใจตอบไปถึงเชียงอินท์	อ่านสิ้นเสร็จสารบังคมลง ฯ
๏ เชียงอินท์ทรงฟังพระราชสาร	ดำริการว่ากล่าวเป็นสูงส่ง
เป็นยลแยบแอบอำคำไม่ตรง	แล้วทรงพระดำริประภาษไป
เราได้ไปขอเป็นไมตรี	โดยดีมิยกลูกสาวให้
จะยกพหลสกลไกร	ถ้ารบกันฟันให้เป็นภัศม์ธุลี
ล้อมเมืองหํ้าหั่นฟันฆ่า	รับองค์พระธิดามารศรี
สร้อยทองมาไว้ในบุรี	ตรัสแล้วเข้าที่ข้างในพลัน ฯ
๏ จะกล่าวถึงพระองค์ทรงธรณินทร์	เป็นปิ่นล้านช้างไอศวรรย์
เสด็จเหนือแท่นแก้วแพรวพรรณ	เดือดดั้นพระทัยอยู่ไปมา
ด้วยถ้อยคำเชียงอินท์ช่างว่าได้	อ้ายเชียงใหม่โอหังนี้หนักหนา
เดือดร้อนในพระทัยไปมา	เรียกมเหสีโสภาแล้วตรัสความ
บัดนี้เชียงใหม่ให้สารมา	ขอสร้อยทองเสนหาไปเป็นห้าม
พี่ตอบสารว่าไปเป็นใจความ	ว่ากันแต่ตามโดยดี
ว่าลูกเรายังเด็กเล็กนัก	ไม่ควรจักภิรมย์สมศรี
ถ้าละไว้นานไปภัยจะมี	จะมาล้อมบุรีตีเอาเมือง
แก้วพี่จะคิดฉันใด	อันกรุงไทยเกียรติยศนั้นฟุ้งเฟื่อง
จะพึ่งพาอาศัยเห็นไม่เคือง	เขาฤๅเลื่องทรงธรรม์อยุธยา
อานุภาพปราบไปในทศทิศ	ฦๅฤทธิทุกประเทศภาษา
เราถวายสร้อยทองพระธิดา	ถึงเชียงใหม่ยกมาก็รบกัน
ทหารอยุธยาจะมาช่วย	ไม่ทิ้งเราให้ม้วยอาสัญ
ด้วยพระองค์ทรงยศอยู่ในธรรม์	จะคิดกันฉันใดให้ว่ามา ฯ
๏ ครานั้นจึงโฉมนางเกสร	ยอกรประนมก้มเกศา
นางดำริตริความแล้วทูลมา	พระบัญชาตรัสชอบด้วยเหตุมี
อันเจ้าเชียงใหม่นี้ฮึกฮัก	อาจองทะนงศักดิสูงศรี
อันพระเจ้าอยุธยาธานี	ไม่มีข่าวร้ายระคายพาล
ประเวณีต้นไม้ตายเพราะลูก	เราฝังปลูกเสียให้เป็นแก่นสาร
อันนางสร้อยทองเยาวมาลย์	จำจะมีราชสารถวายไป
ให้ขึ้นมารับองค์พระธิดา	แต่งการวิวาห์เสียจงได้
ถ้าละไว้ช้าทีจะมีภัย	พระดำรินั้นไซร้ก็เห็นควร ฯ
๏ ครานั้นพระองค์ผู้ทรงภพ	เลิศลบล้านช้างก็แย้มสรวล
ได้ทรงทราบกราบทูลก็เห็นควร	โดยด่วนเสด็จมาหน้ามุขพลัน
ตรัสสั่งอุปฮาดแสนหลวง	เสนาทั้งปวงขมีขมัน
หมอบกลาดดาษเฝ้าบังคมคัล	เร่งจัดสรรเครื่องราชบรรณาการ
ทั้งแผ่นทองจารึกเรื่องถวาย	บรรยายข้อความสองสถาน
ว่าเราถวายเอกองค์นงคราญ	สู่โพธิสมภารณะกรุงไทย
อนึ่งเจ้าเชียงอินท์ก็ให้สาร	ขอองค์เยาวมาลย์เราไม่ให้
อิกเครื่องบรรณาการทั้งนั้นไซร้	ถวายพระเจ้ากรุงไกรอยุธยา ฯ
๏ อำมาตย์รับสั่งแล้ววางวิ่ง	จัดสิ่งบรรณาการนั้นหนักหนา
แผ่นทองทำจำลองซึ่งสารา	ทั้งช้างม้าไพร่พลมนตรี
เสร็จสรรพกราบทูลพระทรงภพ	เลิศลบล้านช้างบุรีศรี
พระดำรัสตรัสสั่งไปทันที	บรรณาการทั้งนี้ไปกรุงไทย ฯ
๏ อำมาตย์รับสั่งบังคมลา	คลานถอยออกมาหาช้าไม่
ลงเรือข้ามส่งล่องลงไป	ถึงท่าใหญ่ปากโมงทันที
ขึ้นม้าแล้วก็พากันรีบไป	ดั้นดัดลัดไพรพนาศรี
ข้ามป่าฝ่าทุ่งมุ่งจรลี	ถึงคีรีเขาศาลล่วงด่านไป
พักม้ากินหญ้าพอหายเหนื่อย	ลมเฉื่อยขึ้นม้าหาช้าไม่
หยุดร้อนนอนป่าพนาลัย	มาได้สามหมอรีบต่อมา
ถึงลำพาชีรี่ออกทาง	ชักม้าสะบัดย่างมากลางป่า
ถึงบ้านด่านโคราชสีมา	เข้าหาชาวบ้านด่านหมื่นไวย
แจ้งความตามเรื่องราชสาร	ชาวด่านพามาไม่ช้าได้
ตัดตรงลงโคราชทันใด	ผูกม้าพักไว้เข้าในเมือง ฯ
๏ ครั้นถึงจึงขึ้นศาลากลาง	เอาบอกวางกรมการตามเรื่อง
พวกลาวคุมไว้ที่ในเมือง	สิ่งของกับเครื่องบรรณาการ
ผู้รั้งสั่งให้จัดซึ่งที่อยู่	เลี้ยงดูพวกเหล่าชาวทหาร
ให้กินเหล้าข้าวนํ้าสำราญ	เปรี้ยวหวานสุขเกษมเปรมใจ ฯ
๏ ฝ่ายเจ้าเมืองโคราชกรมการ	แจ้งความตามสารหาช้าไม่
เขียนบอกลงพลันทันใด	สั่งให้พวกไทยนั้นถือมา
แจ้งความตามเรื่องที่ในสาร	ว่าเพี้ยกวานพวกลาวมาหนักหนา
นำสิ่งดอกไม้ทองของบรรณา	ถวายพระเจ้าอยุธยากรุงไทย
รองปลัดผู้ถือหนังสือบอก	จัดแจงดาบหอกทั้งบ่าวไพร่
เร่งรีบขึ้นม้าอาชาไนย	ดั้นดัดลัดไพรพนาลี
ถึงภูเขาลาดเดินพาดมา	สูงเนินโคกพญาหยุดม้าขี่
เหนื่อยนักให้พักพาชี	เพลาบ่ายได้ที่ขึ้นม้าไป
ข้ามเขาเขื่อนลั่นดัดดั้นมา	รีบขับอาชาหาช้าไม่
ตัดตรงเข้าดงพญาไฟ	ห้าคืนมาได้แก่งคอยพลัน
พลบคํ่าอาบน้ำแล้วกินข้าว	รุ่งเช้าขึ้นม้าผายผัน
รีบเร่งตะเบงมาไม่ช้าพลัน	หกคืนเจ็ดวันถึงบุรี
เอาบอกวางเวรมหาดไทย	แจ้งเนื้อความไปเป็นถ้วนถี่
นายเวรพาเรียนท่านจักรี	ตามที่มีบอกโคราชมา
ฝ่ายว่าขุนนางผู้น้อยใหญ่	แจ้งในใบบอกแล้วปรึกษา
ว่าล้านช้างเขาถวายของบรรณา	แล้วก็พาไปเฝ้าพระทรงธรรม์ ฯ
๏ ครานั้นพระผู้ผ่านนัคเรศ	มงกุฎเกศกรุงไกรไอศวรรย์
สถิตในปรางค์แก้วแพรวพรรณ	เกษมสันต์สุโขโอฬาร์
เสวยสุขแสนสนุกสำราญรื่น	ดาษดื่นหมื่นสนมเสนอหน้า
หมอบกลาดดาษเฝ้าเจ้านัครา	โสภาเลิศล้ำวิไลวรรณ
ทรงภูษาผ้าต้นพรรณราย	มงกุฎเก็จเพชรพรายฉายฉัน
สร้อยประดับทับทรวงพวงสุวรรณ	ทรงพระขรรค์ยุรยาตรคลาศไคล
พระทวารดาลลั่นกระทั่งแตร	ประโคมแซ่ฆ้องกลองปี่ไฉน
กลองแขกปี่ชวาจ้าแจ้วไป	ขุนนางตกใจคึกคักกัน
เจ้าพระยาแลพระยาตามตำแหน่ง	ผู้น้อยนั่งแอบแฝงลับแลกั้น
ให้สงบลงสิจิจุกัน	บ้างตัวสั่นก้มหน้าภาวนาไป
เสด็จรูดม่านกร่างขุนนางกราบ	อกวาบดังเพลิงพระกาลไหม้
ตรัสประภาษเห็นสบายค่อยคลายใจ	ใครมีเค้ามูลก็ทูลพลัน
น้ำท่าฟ้าฝนสะดวกดี	ข้าวปรังนาปีเกษมสันต์
ราษฎรเป็นสุขอยู่ทุกวัน	บรรยายถี่ถ้วนทรงพระสรวลฮา
เจ้าพระยาราชสีห์ก็กราบทูล	ขอพระอนุกูลโปรดเกศา
บัดนี้มีบอกโคราชมา	ว่าพวกลาวดั้นป่ามาถึงเมือง
เป็นข้าของพระเจ้าล้านช้าง	มีสารถวายนางมาตามเรื่อง
บรรณาการพานทองนองเนือง	ให้ยับยั้งอยู่เมืองราชสีมา
ทูลความตามบอกเมืองโคราช	ทราบบาทสมเด็จพระพันวษา
ให้ทราบความตามเรื่องที่มีมา	ยังเบื้องบาทาพระทรงธรรม์ ฯ
๏ ครานั้นพระองค์ผู้ทรงภพ	เลิศลบปรีดิ์เปรมเกษมสันต์
ผินพระพักตร์ตรัสปรึกษาเสนาพลัน	พร้อมกันจะเห็นประการใด
ต่างเมืองเขามาถวายนาง	จะเห็นจริงอยู่บ้างฤๅหาไม่
ฤๅกลศึกนึกแหนงควรแคลงใจ	ใครเห็นอย่างไรให้ว่ามา ฯ
๏ เจ้าพระยาพระหลวงก็รับสั่ง	พร้อมพรั่งประนมก้มเกศา
กราบทูลพระองค์ทรงศักดา	ซึ่งล้านช้างให้มาในครั้งนี้
เห็นจะไม่เป็นทางล่อลวง	ถวายดวงสุดามารศรี
ด้วยหวังใจจะได้พึ่งพระบารมี	ควรที่จะให้ไปรับมา ฯ
๏ พระองค์ทรงฟังเห็นสมควร	ทรงพระสรวลพระทัยให้หรรษา
เฮ้ยตำรวจในอย่าได้ช้า	ขึ้นไปพาราโคราชพลัน
รับราชทูตถือสารมา	กับพลโยธาทั้งปวงนั่น
บรรณาการพานทองสิ่งของนั้น	จัดเรือรับกันล้วนดีดี ฯ
๏ ฝ่ายราชามาตย์ก็รับสั่ง	ถอยหลังคลานออกมาจากที่
จัดเรือดั้งกันทันที	ฝีพายลงเรือพายเฝือไป
คืนหนึ่งมาถึงท่าราบ	ไพร่หาบคานสอดหาช้าไม่
ขึ้นบกยกเดินมาในไพร	ห้าคืนเข้าในโคราชพลัน
วางตราว่าความตามที่	กรมการอึงมี่เป็นจ้าละหวั่น
ตามส่งสิ่งของทองรูปพรรณ	พร้อมกันช้างม้าก็คลาไคล
ถึงท่าพากันมาลงเรือ	พลพายพายเฝือหาหยุดไม่
เตือนกันวุ่นวายเร่งพายไป	มาได้คืนหนึ่งถึงบุรี
พอเรือจอดทอดประทับรับราชสาร	ผู้คนอลหม่านอึงมี่
เชิญราชสารใส่พานทันที	กลองตีประโคมแห่โหมไป
ถึงที่เชิญขึ้นไปบนหอ	อาลักษณ์รับต่อท่านผู้ใหญ่
ให้แปลราชสารเป็นคำไทย	ต้องในสำเนาทุกประการ
แล้วจัดแจงแต่งจวนให้ทูตอยู่	เลี้ยงดูปรีดิ์เปรมเกษมสานต์
เหล้าข้าวเป็ดไก่ชัยบาน	เลี้ยงโต๊ะประทานทุกทุกวัน ฯ
๏ ครานั้นพระองค์ผู้ทรงเดช	ครองนิเวศน์อยุธยาเกษมสันต์
เสด็จออกเสนาข้างหน้าพลัน	ข้าราชการทั้งนั้นก็เข้าไป
พร้อมแล้วถวายอภิวาท	บังคมบาทพระองค์ผู้เป็นใหญ่
หมอบกลาดดาษเฝ้าพระภูวไนย	ตามตำแหน่งน้อยใหญ่เคยเฝ้ามา ฯ
๏ ครานั้นเจ้าพระยาราชสีห์	ยอกรอัญชลีเหนือเกศา
กราบทูลขึ้นพลันมิทันช้า	อันชีวาอยู่ใต้บทมาลย์
ซึ่งโปรดให้ไปยังเมืองโคราช	จมื่นราชามาตย์กับทหาร
รับทูตกับเครื่องบรรณาการ	พระราชสารมาอยุธยา
ถึงแล้วให้หยุดยับยั้งอยู่	เลี้ยงดูพิทักษ์รักษา
แล้วทูลความตามสารที่มีมา	ให้ทราบใต้บาทาพระทรงธรรม์ ฯ
๏ ในสารพระผู้ผ่านนิเวศน์เวียง	พิภพเพียงสมบัติไอศวรรย์
กรุงนาคนะหุตผู้สัจธรรม์	บังคมคัลยังพระเจ้าอยุธยา
อันเป็นใหญ่อยู่ในเศวตฉัตร	สูงกว่ากษัตริย์ทุกทิศา
ขอถวายเครื่องสุวรรณบรรณามา	ยังศรีอยุธยาพระนคร
ด้วยระบือฦๅเกียรติพระทรงเดช	ทุกประเทศเกรงหมดสยดสยอน
ปกเกล้าเหล่าฝูงประชากร	ราษฎรทวยหาญสำราญใจ
หนึ่งพระองค์นั้นทรงทศพิธ	ครองธรรมสุจริตเป็นใหญ่
อันพระเจ้าล้านช้างวางพระทัย	จะขอพระเดชปกไว้คุ้มวันตาย
ขอถวายพระธิดาเป็นข้าบาท	พระอิศราธิราชเรืองฉาย
สืบกษัตริย์อันประเสริฐเพริศพราย	เกล้ากระหม่อมยอมถวายบังคมไป
แต่องค์นางนั้นยังไม่ส่งมา	กลางป่าหาไว้พระทัยไม่
เกลือกจะมีโจรป่ามาในไพร	ชิงไว้จะเสียซึ่งท่วงที
ขอทหารในกรุงอยุธยา	มารับพระธิดามารศรี
เห็นอันตรายสิ่งใดจะไม่มี	จะล่วงตีชิงนางที่กลางไพร
อนึ่งจะเรืองพระเกียรติยศ	ปรากฏฟุ้งเฟื่องเมืองเหนือใต้
คำคนจะระบือฦๅไป	ว่ากรุงไทยไปรับพระบุตรี
