๏ จะกล่าวถึงพระองค์ผู้ทรงศักดิ	ปิ่นปักนัคเรศเขตขัณฑ์
ใจเจ้าแต่ไหนแต่ไรมา	เจ้ารักหนักหนานางวันทอง
เฝ้าเตือนมาแต่ไรให้ดีด้วย	จึงเอออวยรับพามาไว้ห้อง
เลยหลงรักลูกเต้าเข้าประคอง	ถึงจองหองว่ากะไรไม่ได้ยิน
อย่าห้ามเลยข้าหาฟังไม่	กูกับอ้ายไวยนี้สูญสิ้น
ถ้าหากข้าตายล้มลงจมดิน	เจ้าจงปลิ้นไปพึ่งเจ้าจอมไวย ฯ
๏ นางแก้วตอบไปไฮ้คุณตา	อย่ามาพูดใส่หน้าให้มันไส้
ห้ามด้วยสงสารรำคาญใจ	เมื่อไม่ฟังแล้วก็ตามที
มิไปฆ่าฟันกันเสียไย	อย่ามาพักพ้อใส่ให้จู้จี้
จะว่าไรใส่ร้ายทั้งตาปี	อย่าเซ้าซี้ขี้คร้านจะเจรจา
กลัวปากแล้วไม่อยากจะทะเลาะ	รีบเหาะไปเถิดไม่อยากว่า
เสบียงเรียงพร้อมทั้งข้าวปลา	ไปเข่นฆ่ากันเล่นสนุกใจ ฯ
๏ ครานั้นขุนแผนแสนศักดา	สะบัดหน้าลุกเข้าในเรือนใหญ่
แต่งตัวคาดเครื่องเยื้องย่างไป	ขึ้นสีหมอกพอได้เวลาดี
กรมการตามหลังสะพรั่งมา	โยธาอัดอึงคะนึงมี่
โห่สนั่นลั่นฆ้องกระแตตี	ออกจากกาญจน์บุรีรีบยกไป ฯ
๏ ฝ่ายผู้รั้งสุพรรณครั้นแจ้งตรา	ก็ตระเตรียมโยธาทั้งนายไพร่
คอยท่าขุนแผนผู้แว่นไว	ยกทัพขับไปประจบกัน
ครั้นถึงนางบวชก็โบกธง	ทั้งค่ายรายลงเป็นเหล่าหลั่น
สนามเพลาะพูนรอบเป็นขอบคัน	แล้วจัดสรรกองตั้งระวังระไว ฯ
๏ ครานั้นชุมพลรณรงค์	เห็นตั้งค่ายรายลงไม่หวาดไหว
กำเริบฤทธิเชี่ยวชาญชำนาญใจ	จัดหุ่นรายไว้ให้ป้องกัน
จึงให้พลายเพชรกุมารทอง	เข้าอยู่ในท้องสองหุ่นนั่น
ปลอมเป็นชาวบ้านเมืองสุพรรณ	รีบไปค่ายนั้นในทันใด
กำชับสั่งกิริยาจะว่าขาน	ทำให้เหมือนชาวบ้านที่จับได้
ว่าเราให้ถือหนังสือไป	ให้แก่นายใหญ่ที่ยกมา
ถ้าเขาสืบสาวราวเรื่องไซร้	บอกว่าทัพมอญใหม่เมืองหงสา
แล้วสืบว่าผู้ใดใครยกมา	กุมารลารีบถือหนังสือไป
ครั้นถึงหน้าค่ายพระกาญจน์บุรี	ทำทีเป็นกลัวไม่เข้าใกล้
พวกพลเห็นคนมาแต่ไกล	ประหลาดใจก็กรูกันออกมา ฯ
๏ ฝ่ายว่าพลายเพชรกุมารทอง	ทรุดนั่งยองยองแล้วร้องว่า
ชาวบ้านดอกใช่หาไหนมา	กองทัพจับพาเอาตัวไป
เขาใช้ให้ถือหนังสือนี้	มาที่ตัวท่านแม่ทัพใหญ่
ต้องมาสองคนด้วยจนใจ	ข้าไหว้ช่วยพาข้าไปที
อ้ายพวกกองทัพจับสองแขน	มัดแน่นไม่รู้ว่าหุ่นผี
พาเข้าไปแถลงแจ้งคดี	พระกาญจน์บุรีถามมาว่านั่นใคร
พวกไพร่เรียนพลันมิทันช้า	จับได้ว่ามาแต่มอญใหม่
ครั้นถามพูดจาภาษาไทย	ได้ทั้งหนังสือที่ถือมา
พันเภากับผู้รั้งเมืองสุพรรณ	ช่วยกันขู่ซักเป็นหนักหนา
มึงอยู่บ้านไหนมันได้มา	รี้พลโยธามันเท่าใด ฯ
๏ ครานั้นหุ่นมนตร์คนผี	ทำเป็นกลัวตียกมือไหว้
ว่าลูกอยู่บ้านป่าท่าต้นไทร	หนีไปไม่ทันมันจับมา
อันพวกพหลสกลไกร	ประมาณได้สักพันหนึ่งกว่ากว่า
มันพูดกันฟังดูรู้กิจจา	ว่าเป็นชาวหงสามาแต่ไกล
บัดนี้ให้ถือหนังสือมา	ว่าแล้วก็ส่งหนังสือให้
ขุนแผนใส่แว่นเข้าทันใด	คลี่สารอ่านไปตามคดี ฯ
๏ ตัวกูผู้จอมโยธา	ชื่อสมิงมัตราเรืองศรี
อยู่แว่นแคว้นหงสาธานี	มิได้เป็นข้าราชการ
เป็นเจ้าโยธาประสาตัว	คนกลัวฤทธากล้าหาญ
กูก็ไม่หยาบช้าสามานย์	ตั้งมั่นอยู่ในการเมตตาคน
รู้ข่าวว่าชาวอยุธยา	หยาบช้าฆ่าตีกันปี้ป่น
สร้างกรรมทำชั่วทุกตัวคน	เมืองเชียงใหม่อยู่บนก็รุกราน
เห็นทำผิดคิดไปให้เวทนา	จะหลับตาจมลงในสงสาร
จึงยกมาหวังว่าจะทรมาน	ถ้ารู้การงอนง้อไม่ต่อกร
กูไม่ฆ่าฟันให้บรรลัย	หมายใจแต่จะตั้งสั่งสอน
ถ้าแม้นไม่ยอมแพ้ทำแง่งอน	กูจะต้อนคนกลุ้มเข้ารุมฟัน
อันพวกท่านนี้ยกมาตั้งอยู่	มาจะสู้ก็ว่าให้แม่นมั่น
ฤๅจะยอมก็ว่าออกมาพลัน	อย่ามานะจะฟันไม่เหลือเลย ฯ
๏ ขุนแผนทำแค้นทิ้งหนังสือ	ตบมือว่าชิอ้ายมอญเอ๋ย
นี่มันอยู่เมืองไกลมันไม่เคย	มันจึงพูดเฉลยชะล่าใจ
หมาน้อยไม่เคยได้กลิ่นเสือ	ใครบอกมันจะเชื่อเขาที่ไหน
อวดดีว่ามีฤทธิไกร	เหมือนแมลงเม่าเข้าไฟไม่รู้ตัว
จึงตอบไปให้ยกมาแต่เช้า	มัวขี้เซาจะไปสับกะลาหัว
ให้แปดพันกูจะฟันไม่เว้นตัว	อย่าเมามัวว่าจะปลอดรอดชีวา ฯ
๏ หุ่นมนตร์คำนับรับหนังสือ	ชูถือลาแล่นเข้าในป่า
ถึงชุมพลพลันมิทันช้า	หุ่นหญ้าล้มลงด้วยทันใด
ฝ่ายว่าพลายเพชรกุมารทอง	ทั้งสองจึงส่งหนังสือให้
บอกว่าพ่อแผนผู้แว่นไว	เป็นแม่ทัพใหญ่ยกออกมา ฯ
๏ ครานั้นเจ้าพลายชายชุมพล	จึงสั่งพวกหุ่นมนตร์ไว้ถ้วนหน้า
ค่ำวันนี้กูจะตีค่ายบิดา	เอ็งอย่าฆ่าใครให้บรรลัย
กันเอาแต่ท่านกาญจน์บุรี	มาส่งกูนี้ให้จงได้
สั่งแล้วเตรียมกันทันใด	พอพระสุริใสก็พลบลง
สองทัพกำชับพลขันธ์	ลั่นฆ้องกลองสนั่นไพรระหง
จันทรร่อนสว่างกระจ่างดง	เรไรร้องก้องส่งสำเนียงครวญ
อาการประมาณสักสิบทุ่ม	ลมกลุ้มพัดกลับพยับหวน
ชุมพลเห็นฤกษ์พาเวลาควร	จัดกระบวนหุ่นพลันในทันใด
แล้วผูกกะเลียวลงยันต์	ผาดผันขึ้นม้าหาช้าไม่
ดั้นดัดลัดพงตรงเข้าไป	ครั้นใกล้ให้สงบซึ่งโยธา
ย่องเหยียบมิให้เกรียบกรอบดัง	กระทั่งค่ายขุนแผนข้างด้านหน้า
โห่เกรียวฟันค่ายทลายมา	พวกกองทัพก็พากันตกใจ
หลับอยู่ไม่รู้สึกตน	แต่สักคนไม่คว้าอะไรได้
ลุกขึ้นชุลมุนวุ่นกันไป	พวกหุ่นหมุนไล่ตะลุมบอน
เอาด้ามหอกหวดปวดร้องโอย	แบนดาบลงโบยเอาไม้ค่อน
วิ่งหนีล้มลุกเที่ยวซุกซอน	เตะต่อยคอยผ่อนมิให้ตาย ฯ
๏ ผู้รั้งสุพรรณตัวสั่นงก	พลัดตกทับร่อนลงนอนหงาย
เรียกคุณปู่ย่าคุณตายาย	คุณเจ้าคุณนายมาช่วยกู
ผ้าล่อนล่อนโล่งโก้งโค้งคลาน	เข้ามุดในใต้ร้านคุดคู้อยู่
พันเภายองยองขึ้นมองดู	พวกหุ่นหมุนกรูเข้าในทัพ
พันเภาเอาหอกกรอกแทง	หุ่นแย่งหะเหะปะเตะจับ
ลูกตายแล้วหนอล้มคอพับ	ขุนแผนร้องว่ารับอย่าหนีไป
ใครขี้ขลาดขยาดถอยถด	กูจะฟันให้หมดหาไว้ไม่
ขับม้าผ่าพลสกลไกร	พวกพลก็ได้สติมา
โห่กลับจับดาบกระหนาบรัน	ยิงแย้งแทงฟันกันหนักหนา
ปืนเปรี้ยงเสียงโห่เป็นโกลา	เฮฮาโหมฮึกครึกโครมไป
ฟันพลาดฉาดเปล่าไม่เข้าหุ่น	มันกลับหมุนโลดโผนกระโจนไล่
หม้อดินใส่ชุดเอาจุดไฟ	ทิ้งไปหุ่นฮือกระพือมา
ขุนแผนขับม้าเข้าฝ่าฟัน	พวกหุ่นหนุนกันมาหนักหนา
ถลันไล่ไปกระทั่งถึงลูกยา	เห็นหน้ากันเข้าก็ดีใจ
ฝูงคนย่นแยกแตกมา	มิใช่คนหวาสู้ไม่ได้
วิ่งหนีกลับหลังพังไป	พระสุพรรณอยู่ใกล้กับพันเภา
กูตาฟางนักพยักพเยิด	ให้กูขี่ไปเถิดอ้ายพ่อเจ้า
พันเภาฮึดฮัดวัดเหวี่ยงเอา	ตาเถ้าจะมาพากูตาย
ต่างคนต่างกลัวเอาตัวรอด	มุดลอดป่าไม้ไปสูญหาย
ขุนแผนแสนสะท้านกับลูกชาย	เรียกภูตผีพรายกับหุ่นมา
เซ็งแซ่แห่ห้อมพร้อมสะพรั่ง	โห่ดังเกรียวกราวฉาวป่า
ออกทุ่งมุ่งตรงอยุธยา	ล่วงสุพรรณพารามาทันใด
ชาวบ้านร้านช่องอยู่ใกล้ทาง	ละเหย้าเรือนร้างไม่อยู่ได้
แตกตื่นทุกบ้านซานซมไป	ตกใจไม่เป็นสมประดี
ขุนแผนลูกชายพลายชุมพล	ยกพวกหุ่นมนตร์กับฝูงผี
ถึงตาลานพลันด้วยทันที	ตั้งค่ายไว้ที่ริมชายไพร
พวกชาวตาลานทิ้งบ้านเรือน	สะเทือนหนีเข้าป่าไม่อยู่ได้
ขุนแผนกับลูกชายสบายใจ	ทีนี้อ้ายไวยได้เห็นกัน ฯ
๏ ครานั้นพันเภาผู้ทัพแตก	วิ่งแหกป่ากลัวจนตัวสั่น
เซซุดมุดรกอยู่งกงัน	เสียงแกรกกรากพรั่นไม่ไว้ใจ
มีบ่าวสองคนติดก้นมา	พักเดียวดั้นป่าหาหยุดไม่
ล้าเลื่อยเหนื่อยบอบหอบหายใจ	ใกล้รุ่งก็ถึงอยุธยา
ครั้นถึงเรือนพลันทันใด	เรียกเมียแต่ไกลรับด้วยหวา
นางเมียตกใจจุดไต้มา	พันเภาร้องว่าอย่าจุดเลย
นางเมียส่องไต้มาให้ผัว	น่ากลัวจริงจริงพ่อคุณเอ๋ย
ผ้านุ่งแต่สักนิดไม่ติดเลย	พันเภาร้องเฮ้ยกูแทบตาย
ฉวยผ้าพันพุงพอรุ่งเช้า	ตรงเข้าศาลามิให้สาย
เรียนความเจ้าขุนมุลนาย	ตกใจวุ่นวายเป็นโกลา
เสด็จออกบอกกันเข้าไปเฝ้า	พันเภาเก้กังเหมือนดังบ้า
ฝ่ายว่าพระองค์ทรงศักดา	เห็นพันเภาเข้ามาก็ถามไป
อย่างไรเฮ้ยอ้ายพันเภากลับ	อ้ายแผนจับโจรได้ฤๅหาไม่
หน้าตาซีดอยู่ดูอย่างไร	ทำไมไอ้แผนจึงไม่มา ฯ
๏ พันเภาได้ฟังรับสั่งถาม	ถวายบังคมงามสามท่า
ขอเดชะพระองค์ทรงศักดา	ข้าพระพุทธเจ้าเชิญตราไป
พระกาญจน์บุรีพระสุพรรณ	ยกพลประจบกันเป็นทัพใหญ่
ถึงนางบวชพลันทันใด	พอตั้งมั่นมันให้หนังสือมา
บอกว่าเป็นสมิงอยู่ถึงเมืองมอญ	แว่นแคว้นแดนนครเมืองหงสา
ชื่อว่าสมิงมัตรา	ยกมาจะกำราบปราบพวกไทย
พระกาญจน์บุรีตอบท้าให้มารบ	วันนั้นพอพลบจะเข้าไต้
งดทัพยับยั้งระวังระไว	ครั้นใกล้รุ่งสงัดลงบัดดล
มันลอบเข้ามาไม่ทันรู้	กรูเข้าแหกค่ายทลายปล้น
แล่นไล่ห้ำหั่นฟันผู้คน	แตกป่นทุกค่ายกระจายไป
พระกาญจน์บุรีออกรบรับ	คุมไพร่พลกลับเข้าได้ใหม่
ฟาดฟันกันลงในพงไพร	มันมีฤทธิไกรมหิมา
ล้วนคงกระพันฟันไม่เข้า	ไพร่เราเสียลงเป็นหนักหนา
แต่พระกาญจน์บุรีมีฤทธา	ขับม้าไล่ฟันถลันไป
มันกลุ้มรุมจับไม่กลับมา	จะฆ่าฤๅมิฆ่าหาทราบไม่
จงทราบบาทบงสุ์พระทรงชัย	ชีวิตอยู่ใต้พระบาทา ฯ
๏ ครานั้นพระองค์ได้ทรงฟัง	กริ้วสุรเสียงดังเป็นฟ้าผ่า
กระทืบบาทตวาดก้องโกลา	ฟังว่าดูเป็นไม่เจนทัพ
จนแลเห็นค่ายอยู่ใกล้กัน	ยังมัวไว้ใจมันมุดหัวหลับ
มันย่องมาฆ่าฟันไม่ทันรับ	ดับหมดคบไฟไม่ส่องดู
แต่ก่อนไรไม่เห็นเหมือนเช่นนี้	ดูเป็นทีนอนใจไม่คิดสู้
นานไปก็จะพลัดเป็นศัตรู	คิดกันเล่นกูให้วุ่นวาย
ตัวอ้ายพันเภาเข้ามาก่อน	ชอบแต่ค่อนเฆี่ยนซ้ำสักสองหวาย
ไม่พอที่โตใหญ่ไปมากมาย	มันได้ใจจะหมายมากรุงไกร
คิดคิดขึ้นมาก็น่าแค้น	ที่มันจับอ้ายแผนกูไปได้
กูเสียดายทหารชาญชัย	หาไหนไม่มีจะเหมือนมัน
เสียทีด้วยอ้ายนี่มันแก่เถ้า	ถ้าเหมือนแต่ก่อนเก่าที่ไหนนั่น
ทุดอ้ายขี้ปิ้งจะยิงฟัน	เราเสียทีให้มันกำเริบใจ
มันคงตามติดประชิดมา	ด้วยคิดว่าคนดีหามีไม่
เรียกอ้ายไวยมาจะช้าไย	กูจะให้ไปจับอ้ายรามัญ ฯ
๏ ฝ่ายตำรวจในได้รับสั่ง	วิ่งออกจากวังขมีขมัน
ครั้นถึงจึงบอกพระไวยพลัน	รับสั่งทรงธรรม์ให้เข้าไป
พระไวยได้ฟังเป็นการเร็ว	ฉวยผ้าพันเอวหาช้าไม่
รู้ข่าวการทัพขยับใจ	บ่าวไพร่ตามหลังเข้าวังพลัน
นุ่งสมปักลนลานคลานเข้าไป	บังคมไหว้ก้มหน้าอยู่ที่นั่น
ฝ่ายว่าพระองค์ผู้ทรงธรรม์	ผันพระพักตร์ดำรัสไปบัดดล
คิดคิดขึ้นมากูน่าแค้น	ผิดด้วยอ้ายแผนนั้นเป็นต้น
ให้เป็นแม่ทัพบังคับพล	เลินเล่อลืมตนจนเสียการ
เสียทีให้มันจับเอาไปได้	เสียนายเสียไพร่เสียทหาร
อ้ายมอญต้อนเข้ามาจนตาลาน	จะได้ใครไปต้านไปตอบแทน
พระองค์เห็นพระไวยอาลัยพ่อ	น้ำพระเนตรคลอคลอถึงขุนแผน
ยอดทหารผลาญย่อยมาร้อยแดน	กริ้วแค้นตรัสสั่งพระไวยพลัน
บัดนี้อ้ายสมิงมัตรา	ฆ่าอ้ายแผนพ่อมึงอาสัญ
เร่งเกณฑ์กองทัพไปจับมัน	รุ่งวันพรุ่งนี้เอ็งยกไป ฯ
๏ พระไวยรับราชบัญชา	ตรึกตราแล้วทูลเฉลยไข
กระหม่อมฉันคิดคิดให้ผิดใจ	มอญมีฤทธิไกรกะไรมา
ถึงชนะคนอื่นก็ตามที	ที่ตรงพระกาญจน์บุรีเห็นเกินหน้า
ไม่ควรที่ย่อยยับอัปรา	ด้วยพระเวทวิทยานั้นเจนใจ
ถึงสุดสิ้นกำลังจะรั้งรบ	คงจะหายตัวหลบเข้ามาได้
บิดามรณาจะอยู่ไย	กระหม่อมฉันจะไปประจัญบาน
ทูลแล้วเท่านั้นมิทันช้า	ถวายบังคมลากลับมาบ้าน
ให้เตรียมทัพสรรพเสร็จสำเร็จการ	ล้วนทหารที่เคยไปเชียงอินท์
สั่งเสบียงจัดวางทั้งช้างม้า	แล้วไปเล่ากิจจาแก่ย่าสิ้น
ว่าบัดนี้มอญใหม่ใจทมิฬ	ฆ่าพ่อแผนเสียสิ้นชีวาลัย ฯ
๏ ทองประศรีตีอกเข้าต้ำผาง	ตกจากหอกลางไม่ลุกได้
กลิ้งอยู่เหมือนตายไม่หายใจ	แก้ไขช้านานจึงฟื้นตัว
โอ้พ่อขุนแผนของแม่เอ๋ย	ละเลยแม่แล้วพ่อทูนหัว
จิตรใจแม่ให้ระริกรัว	สิ้นตัวทองประศรีแต่นี้ไป
กำพร้าบิดามาแต่เล็ก	เด็กอยู่แม่เลี้ยงเจ้าจนใหญ่
ไปกินเมืองกาญจน์บุรีแม่ดีใจ	หมายจะได้ฝากผีของมารดา
กลับหนีแม่ไปเสียอิกเล่า	ถึงกะไรได้เผาก็ไม่ว่า
มาตายด้วยมอญใหม่ไกลตา	เสียสง่าราศีทุกสิ่งไป
ลูกตายหลานหายไม่เห็นหน้า	ยังแต่ย่านี้จะอยู่ไปถึงไหน
เช้าเย็นเห็นหน้าแต่ออไวย	จะยกไปไม่รู้ว่าร้ายดี
โอ้สงสารออไวยน่าใจหาย	น้องชายก็มัวเอาแต่หนี
จะหันหน้าหาใครก็ไม่มี	ย่านี้ไปได้ก็จะไป
บิดามอญฆ่าเสียมอดม้วย	หามีใครจะช่วยเจ้ารบไม่
ยังเป็นเด็กเล็กอ่อนจะสอนไว้	ท่านขุนไกรตัวปู่เป็นครูบา
ถ้ายกออกไปให้สืบก่อน	จะหยุดนอนระวังให้หนักหนา
ถึงทัพจงพิจารณา	พอจะเข้าไล่ฆ่าก็เข้าไป
ถ้าเห็นกำลังศึกนั้นฮึกหาญ	ดากระดานรับไว้ให้จงได้
กระบวนรบครบตั้งระวังภัย	ถ้าล้อมได้ก็อ้อมล้อมไพรี
ถ้าเห็นหนักชักช่องให้ออกไป	ถ้าไพร่เราแตกตายกระจายหนี
เอาดาบบั่นฟันต้อนเข้าราวี	ดูทีก่อนจะล่าอย่าตกใจ
ด้วยว่าขุนไกรปู่เป็นครูเถ้า	ขวัญข้าวจงจบกระหม่อมใส่
พ่อจงไปสวัสดีให้มีชัย	พระไวยกราบแล้วก็ลุกมา
เข้าห้องสั่งสองสายสวาดิ	อย่าเกรี้ยวกราดฟังคำพี่ร่ำว่า
เป็นผู้ใหญ่ให้ดีศรีมาลา	เจ้าสร้อยฟ้ามิใช่คนแง่งอน
ผิดมั่งพลั้งนิดอย่าด่าว่า	ให้พี่กลับมาถึงบ้านก่อน
สร้อยฟ้าเป็นลาวชาวดงดอน	ช่วยสั่งสอนงามปลื้มอย่าลืมความ ฯ
๏ สร้อยฟ้าศรีมาลายกมือไหว้	ไปเถิดน้องมิให้เป็นเสี้ยนหนาม
จะถนอมกล่อมใจกันให้งาม	คร้ามแต่หม่อมจะเข้ารณรงค์
แต่พ่อขุนแผนยังแพ้เขา	พ่อเจ้าระวังระไวอย่าให้หลง
สังเกตพระเวทที่ทนคง	ปลงอารมณ์ข่มไว้ให้จงดี ฯ
๏ พระไวยเสร็จสั่งทั้งสองนาง	ยังชำเลืองเยื้องย่างออกจากที่
จับดาบเคยปราบซึ่งไพรี	ขึ้นที่หอพระนมัสการ
แล้วอ่านพระเวทวิเศษประสิทธิ	ขันสำริดน้ำหอมย้อมว่าน
เอาโสรจสรงองค์นารายณ์อวตาร	แล้วโอมอ่านคาถาเรียกภูตพราย
เป่าสังข์บูชาวราฤทธิ	เสร็จกิจนุ่งห่มดูเฉิดฉาย
รดน้ำมนตร์ที่สรงองค์นารายณ์	แล้วเยื้องกรายเดินมาน่าเอ็นดู ฯ
๏ ศรีมาลาสงสารรำคาญใจ	นี่ศึกใครผัวรักจักไปสู้
พ่อแผนแค้นขัดเป็นศัตรู	น่าจะรู้จะเห็นเป็นอุบาย
พระไวยใหลหลงเจ้าสร้อยฟ้า	ยังมึนเมามนตร์ยาไม่เหือดหาย
ถ้าหลงไปรบบิดาจะฆ่าตาย	พ่อพลายของเมียไม่รู้ตัว
ขอเดชะความสัตย์บริสุทธิ	จงชักพาอาวุธให้พ้นผัว
ร่ำพลางใจนางระริกรัว	ให้กลัวท่านบิดาจะฆ่าฟัน ฯ
๏ พระไวยได้ฤกษ์ให้เลิกทัพ	พวกพลโห่รับเสียงสนั่น
ช้างม้าอัดแอแจจัน	พระไวยแสนกระสันถึงสร้อยฟ้า
โอ้เพื่อนพิสมัยมาไกลอก	จะวิตกเศร้าสร้อยละห้อยหา
กริ่งใจทางนี้ศรีมาลา	จะทำแก้วแววตาประการใด
ผัวอยู่คอยดูทุกเช้าค่ำ	เขายังทำเจ้าถึงอย่างนั้นได้
ทีนี้อยู่เดียวเปลี่ยวเปล่าใจ	ข้าไทมันจะกลุ้มรุมกันตี
แม้นมิกลัวพระองค์ผู้ทรงธรรม์	จะเลิกทัพกลับหันเข้ากรุงศรี
แล้วหวนคิดกลับแค้นแสนทวี	อันมอญใหม่ฆ่าตีบิดากู
มันดีละจะเล่นให้เห็นกัน	ฮึดฮัดกัดฟันจะต่อสู้
ชักสีนวลเร่งไปไพร่พรั่งพรู	ถึงวัดลาดหยุดหมู่พลไกร ฯ
๏ ให้พวกไพร่หุงข้าวเผาปลา	กินแล้วเวลาจะเข้าไต้
ผูกหุ่นครบพลันทันใด	พระไวยเสกซัดข้าวสารมนตร์
