๏ ปางพระหน่อขัตติยวงศ์พงศ์อาทิตย์	พระทัยคิดถึงสายสวาทไม่ขาดถวิล
ตะวันดับจึงจะกลับมาหาแก้ว	สว่างแล้วพี่จะอยู่กระไรได้
โฉมอำพันปั่นป่วนรัญจวนใจ	พลางพิไรครวญคร่ำด้วยคำวอน
มิเสียทีที่พระว่าการุญน้อง	จะจากห้องแรมร้างห่างสมร
ดังฝูงผึ้งคลึงกลิ่นแล้วบินจร	สมสุนทรที่พระเริ่มแต่เดิมที
หรือห่วงหลังหวังรักไปนัคเรศ	ประจักษ์เหตุแล้วไม่ต้องให้หมองศรี
น้องโฉดเขลาเบาจิตผิดสตรี	ก็ตามทีเถิดเคราะห์จำเพาะเป็น ฯ
๏ นั่นมิใช่หรือมาใส่เอาเปล่าเปล่า	ใครบอกเล่าว่าห่วงมาล่วงเห็น
นี่จำใจจำลาน้ำตากระเด็น	ถ้าใครเห็นด้วยพี่บ้างแทบคลั่งตาย
มิใช่ชังจะมาร้างนิราศนุช	มาวิมุตินึกหมางระคางหมาย
อารมณ์รักอุตส่าห์หักความเสียดาย	กลัวจะอายที่จะอึงพี่จึ่งจร
ไม่เห็นทุกข์แล้วก็แท้ว่าแม่แกล้ง	ไม่เคลือบแคลงแล้วจะร้างห่างสมร
แม่ฟังคำพี่ว่าอย่าอาวรณ์	แม้นไม่จรเขาเห็นกายจะอายคน ฯ
๏ พระทรงโฉมโลมลูบแล้วจูบสั่ง	น้ำเนตรหลั่งไหลนองดังฟองฝน
ลงจากอาสน์กรเผยพระแกลบน	ฤทธิรณรีบรุดมาอุทยาน
พอถึงสวนจวนสางสว่างแสง	กระจ่างแจ้งพื้นภพจบสถาน
พระเข้าห้องกอดน้องแล้วพจมาน	พ่อตื่นนานแล้วหรือน้องอย่าหมองใจ
อรุณยิ้มพริ้มพรายภิปรายเปรียบ	ทูลประเทียบเปรียบเปรยเฉลยไข
ไม่หาวนอนเลยสักนิดน้องผิดใจ	ราวกับได้นางฟ้าลงมาเชย
พระเยื้อนบอกยิ้มย่องกับน้องแก้ว	ถึงตัวบ้างก็ไม่แคล้วแล้วน้องเอ๋ย
เป็นประถมธรรมดาอย่าว่าเลย	แล้วชมเชยตอบสนองกันสองรา ฯ
๏ สงสารนุชสุดสวาทในวังหลวง	สว่างดวงสุริยนบนเวหา
ไม่วายคิดจิตประหวัดถึงภัสดา	ประคองกอดสาลิกาไว้กับกาย
ขุนทองเอ๋ยเป็นไรเลยไม่พูดบ้าง	ให้แม่สร่างโศกเศร้าบรรเทาหาย
นกฉลาดช่างเฉลยภิเปรยปราย	ไม่สบายสุดจะบอกให้ใครฟัง
เมื่อคืนนี้อัศจรรย์เหมือนฝันเห็น	เผอิญเป็นให้พิกลกว่าหนหลัง
ราวกับลมเพชหึงพัดตึงตัง	พึ่งหายดังลงเมื่อดึกรู้สึกพลัน ฯ
๏ นางแย้มยิ้มพริ้มพักตร์ลูกรักแม่	ช่างพูดแก้ขอบจิตนิมิตฝัน
เจ้านอนนี่มีเหตุขึ้นอัศจรรย์	ถ้ากระนั้นค่ำลงนอนพงพี ฯ
๏ อนิจจาขุนทองมาต้องขับ	ช่างอาภัพไปห่างจากปรางค์ศรี
แต่ปางก่อนนั้นสาลิกาดี	ตั้งแต่นี้เห็นอาภัพจะลับแล้ว ฯ
๏ นางฟังพลอดกอดสาลิกาน้อย	ช่างชดช้อยส่งเสียงสำเนียงแจ้ว
ถึงตัวตายก็ไม่วายสวาทแล้ว	นางกอดแก้วสาลิกาว่าน่ารัก
จงเฝ้าห้องนะขุนทองอย่าไปไหน	แม่จะไปเฝ้าองค์พระทรงศักดิ์
สั่งพลางแต่งองค์นางนงลักษณ์	พอสมศักดิ์สมองค์นางนงคราญ
ภูษาทรงวงสร้อยสะอิ้งรัด	นิ้วพระหัตถ์ธำมรงค์วิเชียรฉาน
ดำรัสเรียกฝูงกำนัลพนักงาน	เยาวมาลย์ย่างเยื้องชำเลืองมา
ถึงปราสาทสององค์พระทรงภพ	นางเคารพอัญชลีเหนือเกศา
ภูวนาถหวาดจิตเห็นธิดา	ทั้งกายาพระยุพินสิ้นละออง
แต่ก่อนงามยามดูดังเดือนฉาย	มาระคายระคางมีราคีหมอง
ดังโกสุมภุมรินบินประคอง	เป็นรอยต้องซ้ำมีราคีพาน
พระลูกรักดีร้ายมีชายชิด	จึงดูผิดผิวพรรณในสัณฐาน
จะถามนางเห็นจะพรางไม่ต้องการ	นฤบาลนิ่งพิศดูธิดา
เห็นแน่ใจแล้วมิได้โองการแจ้ง	ครั้นสายแสงสุริยนบนเวหา
พระทรงเครื่องเยื้องย่องจากห้องมา	ออกนั่งหน้าพระโรงรัตน์ชัชวาล
สะพรั่งพร้อมเสนาพฤฒามาตย์	ภูวนาถตรัสเรียกมนตรีทหาร
เคียงบัลลังก์กระซิบสั่งให้จัดการ	ท่านผู้ชาญจงช่วยล้างในทางอาย
ผูกพยนต์กลในให้ลึกล้ำ	ข้างนอกทำให้เป็นแท่นวิเชียรฉาย
ยักษ์พยนต์ตนหนึ่งให้แฝงกาย	คอยจับชายชู้ชิดพระธิดา ฯ
๏ ขุนทหารฟังสารที่ท้าวสั่ง	ถวายบังคมคัลมาเคหา
เอาเชือกวงดำรงเสกด้วยวิทยา	มัดหุ่นหญ้าวางไว้เหมือนใจจง
บริกรรมซ้ำเสกข้าวสารซัด	เชือกวิบัติเป็นบัลลังก์ที่นั่งหงส์
ทั้งหุ่นหญ้าก็เป็นมารชาญณรงค์	แล้วบรรจงให้เป็นกลองของสำคัญ
ภาวนาสั่งผ้าพยนต์ยักษ์	บุรุษใดมาร่วมรักสาวสวรรค์
เมื่อไสยาสน์จงพิฆาตกลองสำคัญ	จับกระสันมัดไว้ดังใจจง
ครั้นสำเร็จเสนาเอามาถวาย	จอมนารายณ์ชื่นชมสมประสงค์
พจมานให้ประทานนางโฉมยง	ฝูงอนงค์นำหน้าเสนาจร
ครั้นถึงปรางค์นางทูลถวายอาสน์	ภูวนาถเธอจำนงให้องค์สมร
โฉมอำพันมาลาพะงางอน	เห็นบรรจถรณ์งามดีก็ปรีดา
บรรจงจัดผลัดแท่นที่สถิต	ไม่แจ้งจิตนงลักษณ์ว่ายักษา
แต่คิดเร่งสุริยนให้สนธยา	ภัสดาจะได้ย่างเข้าปรางค์ทอง
อันท้าวหลวิราชอำมาตย์ทหาร	เกษมศานต์ยินดีไม่มีสอง
คอยเงี่ยโสตฟังเสียงสำเนียงกลอง	อยู่ในท้องพระโรงรัตน์ชัชวาล ฯ
๏ ปางบพิตรอิศเรศเกศมงกุฎ	พระโคบุตรสุริยวงศ์ยอดสงสาร
กับอรุณน้องยาปรีชาชาญ	แสนสำราญอยู่ในห้องตำหนักจันทน์
ครั้นสุริยงลงลับเหลี่ยมสิงขร	พระภูธรครวญคิดจิตกระสัน
รำลึกถึงขนิษฐาวิลาวัณย์	นางแจ่มจันทร์เห็นจะคอยละห้อยใจ
เข้านั่งแนบแอบน้องประคองถนอม	แล้วแกล้งกล่อมเพลงขับให้หลับใหล
พระทรงเครื่องเยื้องย่องจากห้องใน	ฤทธิไกรเหาะตรงมาลงปรางค์
พระกรกรีดดีดแกลเสียงดังกัก	นางนงลักษณ์แจ้งจิตไม่คิดหมาง
นางเผยแกลรับองค์พระทรงปรางค์	พระจูงนางเยื้องย่องเข้าห้องใน
ถนอมแนบแอบน้องประคองกอด	นาสาสอดสมสนิทพิสมัย
ต่างยวนยีปรีดิ์เปรมเกษมใจ	บรรทมในแท่นทองทั้งสองรา ฯ
๏ นางนบนอบตอบสนองต้องทำเนียบ	ภิปรายเปรียบสรวลสันต์ด้วยหรรษา
ข้างฝ่ายแท่นแสนเล่ห์ของเสนา	ก็มารยาส่งเสียงประสานเพลง
มโหรีปี่แก้วจะแจ้วเจื้อย	ระรี่เรื่อยฟังเสนาะอยู่เหมาะเหมง
พระโคบุตรนุชนางให้วังเวง	สดับเพลงฟังเพลินเจริญครัน ฯ
๏ ทั้งสององค์ทรงหลับไม่ลืมเนตร	ด้วยต้องเวทมนตราเหมือนอาสัญ
ยักษ์พยนต์รนตีเภรีพลัน	แท่นสุวรรณรวบรัดจะมัดองค์
ก็กึกก้องห้องปรางค์ปราสาทรัตน์	สองกระษัตริย์หลับสนิทพิศวง
แต่เครื่องเทพศาสตรารักษาองค์	ธำมรงค์สุริยกาญจน์สังวาลพราย
เป็นจักรพัดตัดเชือกกระชากขาด	วิปลาสลุ่ยแหลกละลายหาย
ที่รูปหุ่นก็เป็นจุณแหลกทำลาย	ต่างวุ่นวายหวั่นไหวในไพชยนต์ ฯ
๏ นางสาวสาวชาววังกำลังหลับ	สะดุ้งวับหวีดวิ่งอยู่สับสน
ฝ่ายทหารชาญเวทวิเศษมนต์	ยินพยนต์พิฆาตกลองเข้าสองที
แล้วกลับนิ่งกริ่งจิตผิดประหลาด	ขุนอำมาตย์วิ่งวางมาปรางค์ศรี
เห็นพยนต์ยับลงเป็นผงคลี	ขุนมนตรีโกรธใจดังไฟกัลป์
ดูพระองค์ทรงฤทธิ์สนิทหลับ	กระโจมจับด้วยกำลังดังกังหัน
สังวาลวงเป็นภุชงค์กระหวัดพัน	เสนาดันดึงเชือกลงเสือกกาย
แทบขาดจิตด้วยฤทธิ์ภุชงค์รัด	ดิ้นสะบัดก็ไม่ไหวให้ใจหาย
จึงอ่านเวทแก้มนต์สะกดกาย	ทั้งสองสายสุดที่รักรู้สึกพลัน
ดูแท่นหายเห็นแต่สายสังวาลรัด	เป็นนาคมัดเสนาจะอาสัญ
พระหยิบเครื่องประดับมาฉับพลัน	เสนานั้นหมอบตัวด้วยกลัวตาย
แล้วทูลความตามโทษที่ทำผิด	ได้ประดิษฐ์ทำแท่นมาถวาย
แม้นมิโปรดโทษข้าก็ควรตาย	หน่อนารายณ์อิศราได้ปรานี ฯ
