๏ พระฟังสารเสนาสารภาพ	ก็ซับทราบฤทัยพระโฉมศรี
ได้เหาะตามเชษฐาทางอากาศ	นางน้อมหัตถ์อภิวาทพระโฉมศรี
พระตรัสชวนอรุณสกุณี	จรลีจากสวนด่วนจรัล
ถนอมนวลชวนเหาะขึ้นอากาศ	ดูโอภาสเพียงเทพรังสรรค์
เจ้าอรุณขุนทองประคองกัน	นางแจ่มจันทร์เคียงมากับสามี
ดาวเดือนเลื่อนลับไศลจะใกล้รุ่ง	รีบหมายมุ่งตรงมาพาราณสี
แสนวิเวกมาในเมฆเมฆี	ลับบูรีเข้าป่าพนาวัน ฯ
๏ จะกลับกล่าวถึงเสนาอันสามารถ	เห็นภูวนาถอุ้มนางมาทางสวรรค์
ให้ครั่นคร้ามขามเข็ดขยาดครัน	ทั้งกำนัลฝูงนางที่ปรางค์ใน
บ้างยกกรข้อนอกสะอึกสะอื้น	ออกครึกครื้นไห้หาน้ำตาไหล
ทั้งเสนาอำมาตย์เพียงขาดใจ	ก็วิ่งไขว่รีบจรมาจากปรางค์
พวกผู้หญิงวิ่งตามกันอึกทึก	สะอื้นสะอึกตีอกมาผางผาง
เหมือนเจ้าเซ็นเต้นหลามมาตามทาง	ตรงมาปรางค์จักรพรรดิกระษัตรา ฯ
๏ ท่านท้าวหลวิราชอนาถนิ่ง	สำเนียงวิ่งก้องวังให้กังขา
จากบัลลังก์เสด็จเลยมาเกยชาลา	เห็นเสนาสาวสนมออกกลมกัน
มนตรีวิ่งกลิ้งเกลือกมากอดบาท	ยังมิอาจออกนุสนธิให้อ้นอั้น
พวกผู้หญิงวิ่งตามพัลวัน	พระทรงธรรม์ขันขึงตะลึงแล
แล้วจึ่งมีสิงหนาทประภาษถาม	ก็ทูลความขึ้นระเบ็งออกเซ็งแซ่
คนหนึ่งตั้งคนหนึ่งต่อออกจอแจ	มันไม่แน่ตรงไหนจะใคร่ฟัง ฯ
๏ ครั้นสร่างโศกเสนาอันสามารถ	อภิวาททูลตามเนื้อความหลัง
เมื่อแรกจับสัประยุทธ์สุดกำลัง	จนเธอสั่งสรรพเสร็จเสด็จไป ฯ
๏ ได้ฟังสารให้ระคายเสียดายยศ	ดังแสงกรดกรีดศอให้ตักษัย
พระฮึดฮัดตรัสกริ้วเสนาใน	เอ็งมิใช่ช้างงาปรีชาชน
ถึงใครดีมีฤทธิ์ให้ล้นฟ้า	อยู่สุธาแล้วไม่อาจขยาดย่น
เวลารุ่งพรุ่งนี้จะกรีพล	ตามประจญจับตัวไม่กลัวตาย ฯ
๏ มนตรีฟังท้าวสั่งให้เตรียมทัพ	ดังตามจับมัจจุราชเหมือนมาดหมาย
แสนขยาดหวาดหวั่นให้พรั่นกาย	ทูลถวายชีวิตไม่คิดการ
เอาหม่อมฉันฟันเศียรเสียเอาฤกษ์	แล้วจึ่งเลิกพลไกรไปสังหาร
พระทรงฤทธิ์เลี้ยงมาก็ช้านาน	เป็นทหารชิงชัยมาหลายครั้ง
ทั้งร้อยเอ็ดพระนครมาอ่อนเกศ	เพราะพระเวทฤทธิรณพระมนต์ขลัง
แต่ตรงพระโคบุตรสุดกำลัง	ด้วยชีวังจะมรณาแต่ราตรี
หากเธอรักธิดาของฝ่าพระบาท	ข้าอำมาตย์จึ่งได้มาถึงบทศรี
แล้วดูองค์ทรงภุชกับบุตรี	ควรเป็นที่คู่ควรสงวนงาม
ทั้งสมทรงวงศาศักดาเดช	มงกุฎเกศตรีภพจบสยาม
ซึ่งพระทัยของพระองค์จะสงคราม	ไม่ทำตามเกล้ากระหม่อมจะยอมตาย
พระฟังข่าวกล่าวโฉมประโลมจิต	แล้วหยุดคิดดับเดือดค่อยเหือดหาย
เสด็จขึ้นแท่นสุวรรณพรรณราย	แสนเสียดายธิดาพะงางาม
รุ่งอุทัยไขแสงทุกแหล่งหล้า	สั่งให้หาโหรเฒ่าเข้ามาถาม
โหรพินิจคิดคูณแล้วทูลความ	นางโฉมงามคงจะมาถึงธานี ฯ
๏ พระฟังคำโหรทายค่อยคลายคิด	รัญจวนจิตจำจากนางโฉมศรี
แต่ตั้งคอยธิดาอยู่ธานี	เมื่อเข้าที่โศกาลงจาบัลย์ ฯ
๏ จะกล่าวกลับจับความสามกระษัตริย์	พ้นจังหวัดกรุงไกรเข้าไพรสัณฑ์
พอรุ่งแสงรังสีรวีวรรณ	พระรับขวัญนุชน้องประคองเคียง
นางสาวน้อยคอยแลละลานเนตร	ในขอบเขตเขาไม้ชายเฉลียง
สกุณร้องก้องดงส่งสำเนียง	จนแดดเที่ยงแผดเผาในอัมพร
พระนำนวลชวนน้องขุนทองน้อย	ค่อยเลื่อนลอยลงหยุดยอดสิงขร
พระชวนแก้วแววตาพะงางอน	ชมนิกรปักษาในป่ารัง
ทั้งแนวน้ำลำธารละหานหิน	เป็นน้ำรินแผ่นผาคงคาขัง
ที่ไหลเชี่ยวเป็นเกลียวกระทบดัง	ศิลาพังกลิ้งลั่นสะท้านดิน
บ้างฟุ้งฟูปรูปรายเป็นเกลียวปัด	กระเด็นซัดทรายเม็ดเหมือนเพชรหิน
ที่รอยแตกแทรกซึมมารินริน	แล้วภูมินทร์ชี้ชมสกุณา
ฝูงอีลุ้มแฝงพุ่มอุโลกเลียบ	กระจาบเหยียบยอดพุทธรักษา
นกเขานิ่งจับกิ่งกรรณิการ์	อีร้าร่ารำปีกอยู่กรีดกราย
บ้างเหล่าสัตว์เสือสิงห์กระทิงโดด	กิเลนโลดเลียงผาวิ่งผันผาย
นรสิงห์ลิงโลดละมั่งทราย	ทั้งแรดร้ายเรียงเดินเนินลำเนา
กระบือเปลี่ยวเที่ยวพบกับเสือโคร่ง	ควายก็โก่งหางรับขยับเขา
เสือขยิกควายขยดกระทดเท้า	เสือตรงเข้าควายขวิดด้วยจิตมุ
เสียงเขาขวับกับกักพยัคฆ์กัด	เสือสะบัดควายขวิดด้วยฤทธิ์ดุ
เสือถูกพุงทลายควายทะลุ	กำลังมุมุ่นมัวสองตัวตาย
นางกระษัตริย์ทัศนาก็ผาสุก	สว่างทุกข์โศกเศร้าบรรเทาหาย
นางอุ้มนกอิงแอบไว้แนบกาย	แล้วโฉมฉายตรัสถามเจ้าทรามเชย
โน่นนกแก้วแจ้วพลอดบนยอดไม้	ว่ากระไรนั่นสาลิกาเอ๋ย
นั่นหรือเจ้าฉันจะบอกไม่หลอกเลย	เขาชมเชยเจ้าแม่ว่าแท้งาม
ว่าดูดู๋ขุนทองคะนองนัก	เห็นว่ารักแล้วว่าเล่นไม่เกรงขาม
อนิจจาว่าจริงมากริ่งความ	กระนั้นตามแต่จะทำให้หนำใจ ฯ
๏ พระโคบุตรสุริยวงศ์ทรงพระสรวล	สำราญชวนสาลิกาแล้วปราศรัย
นกปรอดพลอดเกรียวอยู่กิ่งไทร	ว่ากระไรบอกพ่อจะขอฟัง
สาลิกาว่าลูกไม่บอกได้	จะเคืองใจหม่อมแม่เหมือนแต่หลัง
เจ้าบอกพ่อเถิดจะขอโทษประทัง	ขุนทองฟังสัพยอกบอกรำพัน
เขาชมว่าทั้งสองพี่น้องแท้	ทั้งเจ้าพ่อเจ้าแม่ดูคมสัน
เขาว่าเห็นเหมือนจะเป็นอะไรกัน	กลัวท่านจะว่าแกล้งแคลงขุนทอง
สองพระองค์ทรงพระสรวลสำรวลร่า	ขนิษฐาค้อนคมอารมณ์หมอง
ใครจะรู้เท่าเล่าเจ้าขุนทอง	ทำคะนองเชื่อพ่อพูดล้อคน
ต่างสำรวลชวนชื่นระรื่นจิต	แสงอาทิตย์บ่ายคล้อยพระเวหน
แดดพยับอับพื้นโพยมบน	พระชวนมิ่งนิรมลให้แต่งองค์
ล้วนแต่แก้วแกมสีมณีสอด	ออกจากยอดเขาใหญ่ไพรระหง
ลอยละลิ่วปลิวตามกันสามองค์	อรุณทรงอุ้มสาลิกามา ฯ
๏ สุริยแสงใกล้ดับพยับคล้อย	ชะนีห้อยโหนไม้ร้องไห้หา
วิเวกวาบซาบเสียวเส้นโลมา	พระพายพาพัดส่งตรงบูรี
กำหนดสิบห้าคืนที่แรมค้าง	บรรลุทางถึงเมืองพาราณสี
พระชวนแก้วกัลยาลงธานี	จรลีเยื้องย่างเข้าปรางค์ปรา ฯ
๏ พรหมทัตขัตติยาวราเดช	ทอดพระเนตรเห็นสองโอรสา
กับโฉมยงนงลักษณ์วิไลตา	เสด็จมาต้อนรับด้วยฉับพลัน
จูงสองบุตรสุดสวาทขึ้นอาสน์รัตน์	กรุงกระษัตริย์กอดจูบแล้วรับขวัญ
พ่อแรมร้างนครามาช้าครัน	นางแจ่มจันทร์เจ้าได้มาพาราใด ฯ
๏ พระโคบุตรสุริยวงศ์ทรงสดับ	จึงกล่าวกลับความหลังมาทูลไข
ครั้งจากเมืองเรื่องแรกนิราศไกล	จนไปได้กัลยามาธานี ฯ
๏ พรหมทัตแจ้งอรรถว่าอัคเรศ	พูนเทวษตรึกตรองแล้วหมองศรี
พระเนตรคลอชลนาไม่พาที	โอ้ครั้งนี้วาสนาธิดาเรา
ได้จินดามาถือถึงมือแล้ว	เสียดายแก้วกลับคืนเป็นของเขา
แล้วหักจิตคิดความตามสำเนา	เมื่อลูกเราบุญน้อยจะโทษใคร
จึงเอื้อนอรรถตรัสสั่งกับสาวศรี	บอกมณีสาครผู้พิสมัย
ว่าเชษฐาเจ้ามาถึงเวียงไชย	ให้ทรามวัยจรจรัลมาวันทา ฯ
๏ สาวสนมต่างก้มบังคมสนอง	มาสู่ห้องบรรทมขนิษฐา
กราบทูลความตามมีโองการมา	พระเชษฐาอนุชาถึงธานี ฯ
๏ ปางมณีสาครบวรนาฏ	สุดสวาทแรกรุ่นเจริญศรี
คิดระคายอายองค์พระภูมี	นางเทวีจำใจต้องไคลคลา
ประดับองค์ทรงสร้อยงามจรัส	เนาวรัตน์เรียบนิ้วพระหัตถา
แล้วเยื้องย่างดังนางกินรา	นัยนาลอบเหลือบชำเลืองชาย
แลเห็นองค์ทรงฤทธิ์กับน้องรัก	กับนงลักษณ์เคียงข้างพระโฉมฉาย
นางนั่งแอบบิดรแล้วอ่อนกาย	กรถวายอัญชุลีพระพี่ยา
๏ พรหมทัตตรัสเตือนพระลูกรัก	นั่นนงลักษณ์อัคเรศของเชษฐา
บังคมคัลกันเสียเถิดนะแก้วตา	ตามประสาพี่น้องกันสองนาง ฯ
๏ ยุพาพาลฟังสารบิดาสั่ง	ให้แค้นคั่งเคืองในพระทัยหมาง
แกล้งสำรวญสรวลร่าต่อหน้านาง	แล้วเยื้องย่างเข้าในที่ไสยา ฯ
๏ พระโคบุตรสุริยวงศ์ผู้ทรงเดช	ชำเลืองเนตรเพ่งพิศขนิษฐา
พึ่งแรกรุ่นรูปงามอร่ามตา	กิริยางามงอนชะอ้อนองค์
แค้นจิตที่ยังพิศไม่เต็มพักตร์	กำเริบรักจิตรำพึงตะลึงหลง
แต่แรกรู้ว่างามอร่ามทรง	ไม่เดินดงไปให้ยากลำบากใจ
คิดแค้นตาน่าจะตำให้แตกหัก	ไม่รู้จักคนงามก็เป็นได้
ให้กลัดกลุ้มรุมรึงตะบึงไป	ด้วยพระทัยร้อนร่านในการรัก ฯ
๏ โฉมอำพันมาลาน้ำตาตก	ให้เจ็บอกใหญ่หลวงเพียงทรวงหัก
แรกก็หมายว่าพระไร้นารีรัก	จึ่งหาญหักตามติดไม่คิดอาย
นึกนึกแล้วสะอึกสะอื้นไห้	ชลนัยน์นองเนตรนางโฉมฉาย
พรหมทัตขัตติยาปรีชาชาย	เห็นนางฟายชลนาโศกาลัย
ก็รู้แจ้งแกล้งกล่าวประโลมเล้า	พ่อจะเล่าโฉมยงอย่าสงสัย
อันลูกข้ากับสามีของสายใจ	ใช่จะได้สู่สมภิรมยา
อันความหลังเจ้ายังไม่แจ้งจิต	รักสนิทเหมือนหนึ่งญาติวงศา
จะเสกเจ้าเสาวภาคย์แก่ภัสดา	เป็นมหาจักรพรรดิสวัสดี
อันพี่น้องสององค์โอรสข้า	ก็ให้แก่ภัสดาของโฉมศรี
จะเลี้ยงไว้ใช้สอยก็ตามที	แต่เทวีจะภิเษกเป็นเอกองค์ ฯ
๏ พระโคบุตรฟังสุดสารกระษัตริย์	ชุลีหัตถ์ตอบความตามประสงค์
ลูกเปล่าใจไร้ญาติประยูรวงศ์	หมายพระองค์ทศมิตรเหมือนบิดา
นางมณีสาครนางนงลักษณ์	ลูกก็รักเหมือนนัยนาขวา
ซึ่งโปรดปรานจะให้ผ่านซึ่งพารา	ลูกจะให้อนุชาอยู่แทนกาย
จะเชิญเสด็จบิดาของข้าบาท	มาสร้างราชเวียงไชยเหมือนใจหมาย
จะแต่งการสยมพรขจรจาย	ตามสบายมิให้ไพร่ได้รำคาญ
อรุณน้องจะได้ครองพารานี้	แม่มณีวรนุชสุดสงสาร
มิให้เคืองเบื้องบาทพระภูบาล	จะรับการให้ตลอดจนวอดวาย
ถึงคนอื่นหมื่นแสนจะแค่นให้	ไม่เหมือนใจลูกรักสมัครหมาย
สุจริตจนชีวิตลูกจากกาย	มิให้คลายรักน้องทั้งสองรา ฯ
๏ พรหมทัตฟังสารสำราญสุด	รู้ว่าบุตรจะได้เป็นฝ่ายขวา
ครั้นรอนรอนอ่อนแสงพระสุริยา	สั่งคณาสาวสรรค์กำนัลใน
ประจงจัดปัจถรณ์ให้ลูกรัก	กับนงลักษณ์เยาวยอดพิสมัย
เครื่องเสวยคาวหวานสำราญใจ	บรรทมในปรางค์รัตน์ชัชวาล
สนั่นก้องกลองชนะปี่ไฉน	วิเวกในปรางค์มาศราชฐาน
ประโคมยามตามศักดิ์จักรพาล	สุริยกาลเยี่ยมยอดยุคุนธร ฯ
๏ พระโคบุตรสุริยาวราฤทธิ์	สำราญจิตตื่นจากปัจถรณ์
ชวนอำพันมาลาพะงางอน	ชุลีกรกระษัตราเจ้าธานี
ขอพระองค์จงจัดบัลลังก์อาสน์	อันโอภาสไว้ในพระโรงศรี
พร้อมพระญาติวงศาในธานี	มายังที่ท้องพระโรงจงเสร็จพลัน
จะเชิญองค์บิดาของข้าบาท	ให้ลินลาศมาพระโรงนรังสรรค์
จะได้พบกับองค์พระทรงธรรม์	ปรึกษากันที่จะแต่งวิวาห์การ ฯ
๏ พรหมทัตขัตติยวงศ์ทรงสดับ	ประคองรับคำพลางต่างบรรหาร
แต่งบัลลังก์ทั้งพลับพลาตรงหน้าลาน	งามตระหง่านด้วยสุวรรณอันบรรจง
ครั้นสำเร็จเสร็จชวนมเหสี	พระบุตรีเยื้องย่องเข้าห้องสรง
เครื่องประดับวับวามอร่ามองค์	พระญาติวงศ์พร้อมพรั่งทั้งข้างใน
เสด็จมายังที่หน้าพระโรงรัตน์	เป็นขนัดนั่งเรียงเคียงไสว
พร้อมสาวสรรค์กัลยาเสนาใน	คอยท้าวไทสุริยาวราฤทธิ์ ฯ
๏ พระโคบุตรสุริย์วงศ์ทรงสวัสดิ์	ประสานหัตถ์นบนิ้วด้วยสุจริต
รำลึกถึงบิตุรงค์องค์อาทิตย์	พระทรงฤทธิ์มาช่วยลูกด้วยพลัน
จะแต่งการบ้านเมืองให้เลื่องชื่อ	ตลอดลือแหล่งหล้าสุธาสวรรค์
ด้วยสองนางขนิษฐาวิลาวัณย์	พระทรงธรรม์จงมาช่วยลูกด้วยรา ฯ
